Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;80;4;0.00042369916883;0.3648355972798981
log2;None;2;0.000229817851603;0.3522274233493894
log2;50;1;0.00162408502853;0.3454633889101887
sqrt;None;3;0.000326160855749;0.33829504230243485
log2;10;4;0.000281220980944;0.3180835911226776
sqrt;100;3;0.000355567901414;0.3113540855916007
sqrt;50;2;0.00118506060083;0.3089367453072169
sqrt;90;2;0.000118666299286;0.3065683787604165
log2;100;1;0.00125303724107;0.30534818197570335
sqrt;100;2;0.00402007193827;0.29825481654786495
None;90;1;0.000324907849163;0.29540525958654085
None;60;1;0.000495789175717;0.29329820787507266
sqrt;20;2;0.00295140345564;0.2931693853761666
log2;50;5;0.000413997591585;0.28957213568296525
sqrt;60;2;0.000927288842387;0.28739431383002356
log2;30;1;0.0223683746414;0.2859529134887007
None;60;1;0.000119782181188;0.28525870734598463
log2;90;3;0.000460037449423;0.28464926809030944
log2;10;1;0.000211546261344;0.2813934493482965
log2;40;1;0.00320134978486;0.2813934493482965
None;80;1;0.000318273099411;0.2811086653479095
sqrt;10;3;0.000344608848334;0.2791838590723935
log2;30;3;0.0332794495614;0.2776339835573208
None;50;1;0.000300473842937;0.2751675760860244
None;20;4;0.000283948274828;0.27336705451172466
None;30;2;0.000189337050014;0.2732582682780778
sqrt;None;3;0.00255943941519;0.26877552054251025
None;60;5;0.00628613923829;0.2679321065741253
None;90;4;0.00511980452839;0.2679321065741253
log2;90;3;0.000970263818212;0.26749032849062965
None;60;1;0.00690484507844;0.2667031252563673
None;70;4;0.00129878860571;0.26531906769749625
None;20;4;0.000261418937226;0.26531906769749625
log2;40;1;0.00194024505713;0.26531906769749625
None;None;4;0.000207450544405;0.2645861646787512
None;100;4;0.00011584900949;0.2645861646787512
None;90;4;0.00147454446442;0.2645861646787512
sqrt;80;2;0.0229299839488;0.2643748262457164
sqrt;90;3;0.00210990834767;0.26209858173847495
log2;100;4;0.0001909569899;0.26209858173847495
None;30;5;0.00811180485937;0.2602870930167075
None;90;2;0.00388230746753;0.2602870930167075
None;70;1;0.0245703489046;0.259872425378585
sqrt;50;1;0.00508976112518;0.25786276889912374
log2;60;5;0.0596749603028;0.25769449361625696
log2;60;4;0.000642202637517;0.25769449361625696
log2;100;2;0.0023808352473;0.25769449361625696
log2;10;4;0.0017612353925;0.25751950775558463
None;50;4;0.000157651542854;0.25634767566736144
log2;40;2;0.000936932284503;0.25629456338032686
log2;30;2;0.000137570919966;0.2543871093785643
sqrt;20;4;0.00424256375758;0.2534763233558798
None;30;5;0.000253812584295;0.25318512134169485
log2;100;5;0.00157447394011;0.2526254098112152
None;10;2;0.0124124780374;0.2523998071780196
None;10;2;0.0124463408618;0.2523998071780196
None;30;2;0.011492911416;0.2523998071780196
sqrt;80;4;0.0187266346448;0.2514328131049923
sqrt;50;3;0.00187931736227;0.2514328131049923
log2;10;3;0.0451268126178;0.2514328131049923
None;20;4;0.0236350539519;0.2509272796106185
log2;40;2;0.00989893554025;0.24872062000454023
None;80;1;0.00426081755859;0.24872062000454023
None;20;4;0.00372119457186;0.24656317991962917
None;60;5;0.000230575486006;0.24656317991962917
log2;80;5;0.0001865590152;0.24656317991962917
None;50;5;0.00092952801943;0.24656317991962917
None;40;5;0.00105055621138;0.24656317991962917
None;40;5;0.0099863927972;0.2463408596711959
log2;40;3;0.00068168170849;0.2463408596711959
None;90;5;0.00928463559691;0.2463408596711959
None;10;3;0.00835223496875;0.24399395966146273
None;40;4;0.0304315481354;0.24399395966146273
None;70;4;0.0293541751961;0.24399395966146273
None;60;2;0.0034029218156;0.24399395966146273
log2;30;1;0.000575878740978;0.24399395966146273
log2;30;4;0.000335187834787;0.24366139726130304
sqrt;90;4;0.000656947856749;0.2436563280441433
None;80;3;0.000737413775208;0.24184165773107372
log2;40;5;0.00747287091452;0.24184165773107372
None;80;3;0.000146322413619;0.24184165773107372
sqrt;10;5;0.0607089651258;0.241812491397498
sqrt;80;3;0.00722216913884;0.24170382229924461
log2;80;2;0.000278616925684;0.24036807159124032
log2;80;3;0.0427841473472;0.24036807159124032
sqrt;100;4;0.000515048477873;0.2402830039104416
None;10;3;0.012174441327;0.23959285530351643
None;60;3;0.0121358724783;0.23959285530351643
None;30;3;0.0111046486474;0.23959285530351643
log2;70;1;0.00305635085442;0.2394681277663263
sqrt;50;4;0.000142155459824;0.2394681277663263
log2;None;1;0.00851386801031;0.2394681277663263
None;None;3;0.00162225152065;0.23932829682299822
None;60;1;0.00139853804794;0.23838986486588287
sqrt;20;4;0.0243149884795;0.23838986486588287
log2;90;5;0.000123721662984;0.23728468733134186
None;70;5;0.0208092553193;0.23728468733134186
log2;30;4;0.00140133766859;0.23728468733134186
None;None;1;0.000641555881814;0.2364524949833402
log2;30;3;0.0277354416351;0.23515143396486968
None;10;3;0.000170010181937;0.23449778354175713
sqrt;30;4;0.00376618760447;0.23449778354175713
sqrt;70;1;0.0786968047352;0.23102777810078334
None;10;2;0.0643340822691;0.23102777810078334
sqrt;50;4;0.0530456862807;0.23102777810078334
log2;100;3;0.0675173178768;0.23087142801471058
log2;10;5;0.0304326854633;0.23087142801471058
sqrt;90;2;0.00060790026937;0.23087142801471058
sqrt;60;2;0.000292020980449;0.23087142801471058
log2;10;1;0.0997947479528;0.23087142801471058
log2;40;2;0.000357463203123;0.23087142801471058
sqrt;100;3;0.00479828496801;0.2299100644252761
None;50;3;0.000246111254514;0.22957458875580466
log2;60;4;0.000364470140345;0.22957458875580466
None;10;1;0.00013046284475;0.22908375840506284
None;50;1;0.057057303652;0.22903377643602604
sqrt;60;1;0.0404210843406;0.22770082630621796
sqrt;10;4;0.00744634776326;0.22770082630621796
None;30;1;0.083444738476;0.2273304194146691
None;60;2;0.00245326736006;0.22708560277775014
None;None;2;0.00257522898035;0.22708560277775014
log2;30;3;0.0812422992126;0.22708274971235948
log2;70;4;0.0257347856751;0.22708274971235948
sqrt;50;5;0.00467735259681;0.22708274971235948
None;90;1;0.00212686146908;0.2255448756993655
log2;10;4;0.00151086710903;0.223440035937108
log2;30;4;0.000243570642914;0.22330340637588594
None;100;3;0.000109245349484;0.22230891797863497
None;None;1;0.000682836149219;0.22226539864616351
sqrt;60;2;0.000639901892814;0.22138425332098882
sqrt;10;5;0.00529922127135;0.22001512551739327
log2;90;2;0.00203189903951;0.21944794755178335
None;70;3;0.0642084352506;0.21937558831912085
sqrt;None;4;0.0163439530276;0.21937558831912085
None;50;4;0.0387026912319;0.21778062202557302
None;70;3;0.0524654614092;0.21778062202557302
None;10;4;0.0385228251778;0.21778062202557302
log2;20;4;0.0874684499035;0.21741220752218787
sqrt;30;5;0.0338464270738;0.21560281516205038
sqrt;100;3;0.000142592210728;0.21450611954882268
sqrt;50;5;0.00561181119427;0.21361445196474654
log2;70;5;0.00408091507163;0.2114076929509732
sqrt;None;4;0.0223614303102;0.20938592909948636
sqrt;50;3;0.000291705886012;0.20748786537272898
log2;100;4;0.0303584140507;0.2074119441078897
log2;60;1;0.00951645675216;0.2074119441078897
sqrt;80;1;0.00042810367852;0.206491858740036
log2;70;3;0.0911542107518;0.206491858740036
sqrt;90;5;0.00288117449376;0.2054838193106358
log2;90;4;0.0563459442703;0.2054838193106358
log2;None;5;0.00335564999499;0.20383143239622234
log2;30;1;0.0933657948783;0.20359974267337203
sqrt;10;4;0.000956573303925;0.2017580012810117
sqrt;70;5;0.0180305842678;0.20106346050938892
log2;90;4;0.0157915284202;0.19995697446309174
log2;40;3;0.000586525390858;0.19992848069258248
sqrt;40;1;0.00244080882695;0.1990612675680159
sqrt;40;4;0.0113971693211;0.1990612675680159
log2;80;2;0.000156687045319;0.196471005808462
None;50;2;0.0154940161484;0.1952662977496922
None;100;2;0.0201002059641;0.1952662977496922
log2;30;5;0.0349825586966;0.19511455959572846
log2;20;2;0.00910969696694;0.19511455959572846
sqrt;80;4;0.0741710002574;0.1931304893958921
log2;None;2;0.0606048106834;0.1931304893958921
None;60;1;0.0170354181017;0.1927332686591015
None;None;1;0.0177667788561;0.1927332686591015
log2;10;5;0.0618916924032;0.1915115406183839
sqrt;80;1;0.00018581099761;0.1895833853002828
log2;100;2;0.0389965734041;0.1895833853002828
log2;80;1;0.00892941853486;0.18827016028990853
log2;None;5;0.021395842133;0.1878238970276232
log2;10;3;0.000416286746156;0.1827758030221876
sqrt;30;5;0.0433794059896;0.18116513385651326
None;20;3;0.0189635406415;0.1810980047775369
None;100;3;0.0205961665465;0.1810980047775369
None;None;4;0.0197151479216;0.1810980047775369
None;70;4;0.0142510203862;0.1810980047775369
None;30;5;0.0188200765394;0.1810980047775369
None;None;3;0.0180864848006;0.1810980047775369
None;90;3;0.0160925753469;0.1810980047775369
log2;60;5;0.000101180751757;0.1806176786875166
sqrt;30;4;0.00441772418622;0.17910221994589987
sqrt;None;5;0.000233921616553;0.1786182499718551
log2;90;5;0.0619851687949;0.1780440309058952
log2;90;5;0.0156903473508;0.17705722487138492
sqrt;None;3;0.00311373136146;0.17044958879865935
sqrt;50;3;0.000972559601299;0.164393335095473
sqrt;30;5;0.000294597158792;0.16418688344159676
sqrt;70;1;0.00110107044508;0.16335183940588305
log2;100;2;0.000162036908832;0.16090908929984898
sqrt;40;1;0.00108031760504;0.16090908929984898
log2;30;3;0.000758751302736;0.1595514369099117
sqrt;30;4;0.0185843744776;0.15778251727957676
log2;10;3;0.000326683670931;0.15627220573612557
sqrt;70;3;0.0163743657792;0.15507456746079906
sqrt;90;3;0.0118238561737;0.1441904240592807
log2;100;5;0.000703259057233;0.14374697652800794
sqrt;50;5;0.000493615698913;0.14188208326922375
log2;100;1;0.0071869199945;0.12160338447686712
