Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;30;3;0.00204032194485;0.37105260540360574
None;20;1;0.000125642890075;0.3154777514577231
None;80;1;0.000246708264538;0.3152108375932986
None;60;1;0.000123417104;0.30782082310036096
None;60;1;0.000109031561731;0.3058924044567227
None;100;1;0.000117531877808;0.29607561264622023
sqrt;100;5;0.00284664351828;0.2951962125127308
sqrt;100;4;0.00353437254935;0.28922537501316675
log2;80;3;0.00366377616455;0.2872630138562504
None;80;2;0.000292491406014;0.2826654910128527
None;60;2;0.000329395782585;0.2826654910128527
None;90;1;0.000406576154958;0.2826654910128527
log2;60;5;0.00052572532797;0.2819896637111314
log2;70;2;0.000733743503735;0.27758087982348595
None;100;4;0.0118890031047;0.27545735185560594
None;40;2;0.000338760762787;0.2745320642594217
None;100;2;0.00160456765545;0.2736207522831956
None;50;2;0.000168018039144;0.27215755697883326
None;100;2;0.00095658513031;0.27147376303863524
log2;40;3;0.0347829005639;0.26983521962833723
None;50;2;0.000313855678467;0.26983521962833723
None;90;1;0.000239436765753;0.26983521962833723
log2;70;1;0.00245648075489;0.2695642670149356
None;100;1;0.00123986373404;0.2686514755721934
None;30;3;0.00289592653952;0.26834801677118464
sqrt;50;1;0.00124949865369;0.26767010197136876
None;None;2;0.000115765803857;0.2675631116694112
sqrt;90;5;0.00215061212554;0.2675631116694112
log2;30;1;0.000937694018713;0.2673060165194867
None;100;1;0.00277912277206;0.2661755771708243
sqrt;20;2;0.000451033319642;0.2658092575346198
None;80;3;0.000463209468633;0.2653501762021776
None;90;3;0.00240891264755;0.2653501762021776
log2;70;3;0.00322525022107;0.26533939250599725
None;40;1;0.00216950921364;0.26533939250599725
None;70;3;0.000111443731682;0.2652961846539641
sqrt;90;1;0.0114897694031;0.26398073458536386
None;50;1;0.000806232754359;0.26316231495385317
sqrt;None;1;0.00131623154153;0.2613952822712245
log2;20;5;0.00274673226701;0.2613952822712245
None;10;2;0.000126346158448;0.261030219224323
sqrt;40;1;0.0121441816387;0.25943760611008965
None;70;1;0.00029127163065;0.2590864268680473
sqrt;100;2;0.000507882726644;0.2575606290988989
None;100;2;0.00318382069534;0.2568289939568618
sqrt;10;5;0.000119873378026;0.2551124511276118
log2;20;3;0.00301606528563;0.2546210423518753
None;20;2;0.000239557160351;0.2546210423518753
log2;60;3;0.0147920797041;0.25390704670068776
log2;70;1;0.000885813876465;0.25292121845612
log2;20;5;0.00350649461338;0.25292121845612
sqrt;10;1;0.00791462679898;0.25292121845612
None;None;1;0.00279838055262;0.2527084341432183
None;80;1;0.00221663925551;0.2524607323259697
None;None;3;0.000383107477768;0.2512881653632698
None;10;3;0.00013199994717;0.2512881653632698
sqrt;80;1;0.00134838999165;0.25099182818517013
log2;70;3;0.000594845033839;0.25099182818517013
log2;50;3;0.000652751810139;0.2503805893472417
log2;20;5;0.000267603158543;0.2503805893472417
None;None;2;0.000222814068471;0.25034631888367065
log2;10;2;0.000591484912305;0.24909901328905634
sqrt;30;5;0.00344947429812;0.24909901328905634
