Max features;Max depth;Min samples leaf;Min samples split;MCC
log2;80;4;0.00201284965753;0.442386162568158
log2;60;3;0.000850536040264;0.39473664087448673
sqrt;20;4;0.0034733477201;0.39240769893202904
sqrt;70;2;0.00326057389312;0.3627270429350377
log2;100;2;0.00298859426137;0.3623008992767881
log2;60;1;0.000155586969219;0.33363068688682757
log2;20;5;0.000759436932608;0.33309171214800076
sqrt;60;1;0.000125760425082;0.329946342788311
log2;30;4;0.000242505509472;0.32815528289134993
sqrt;20;3;0.00376720809638;0.327310274646558
log2;70;3;0.00491954612602;0.31796368729396585
log2;10;1;0.00134974894459;0.31669692725069254
sqrt;100;4;0.00162919640436;0.31669692725069254
sqrt;80;5;0.00032652442582;0.31453556809218763
log2;60;3;0.0004278080086;0.3131124461488197
None;100;2;0.000188719307811;0.3088679737044004
None;60;2;0.000130290065254;0.30457867705587965
log2;10;3;0.0021570177922;0.30457867705587965
log2;60;4;0.000238369132327;0.30298270321019755
log2;60;5;0.000971695387175;0.30044734578777377
log2;80;5;0.00133637525306;0.30044734578777377
log2;30;3;0.00102399392729;0.2997973072548789
log2;40;4;0.000324178311123;0.29646433265482364
sqrt;30;5;0.00200881902957;0.29596473479075347
None;10;3;0.000971261939258;0.29431473604074637
None;70;3;0.000559500284455;0.29431473604074637
None;70;3;0.000215831897897;0.29431473604074637
None;20;3;0.00191467729702;0.29431473604074637
None;60;3;0.0016751671817;0.29431473604074637
None;70;3;0.000187710475774;0.29431473604074637
None;10;3;0.000772771130737;0.29431473604074637
None;40;3;0.000583629901817;0.29431473604074637
None;40;3;0.000302332167527;0.29431473604074637
sqrt;50;5;0.000560161918293;0.2934179542779621
log2;80;3;0.00154233751257;0.29262079760354615
sqrt;100;2;0.00752983673019;0.28999504136124815
None;10;2;0.000969579405576;0.28999504136124815
sqrt;90;2;0.000105503188992;0.28890862289032815
sqrt;90;2;0.000127840315562;0.28511360347602965
log2;None;2;0.000160612311456;0.2818490588659614
None;60;2;0.00342971759811;0.2818470794652013
log2;80;4;0.000236443504279;0.2818470794652013
