Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;70;3;0.0079354414583;0.9849441476444877
None;20;4;0.000660066679117;0.9844584749878581
None;70;2;0.00261936621909;0.984296584102315
None;100;4;0.00663422426587;0.9839728023312287
None;40;1;0.000165720452929;0.9838918568884573
None;80;4;0.00339252718633;0.983891856888457
None;20;5;0.00171078953058;0.983568075117371
None;30;1;0.000930245727747;0.9834871296745993
None;10;5;0.00148444183662;0.9834871296745993
None;10;2;0.000604127418436;0.9834061842318279
None;40;1;0.000156100661227;0.9833252387890562
None;20;5;0.000901874185269;0.9832442933462846
None;80;4;0.000210038712009;0.9832442933462846
None;10;4;0.000557608942874;0.983163347903513
None;10;5;0.00351989182952;0.983163347903513
None;60;3;0.000195323343515;0.983163347903513
None;None;4;0.000488820476038;0.983163347903513
None;20;1;0.0235514495443;0.9830824024607415
None;20;2;0.00141663795815;0.9830014570179699
None;60;5;0.000153392069645;0.9829205115751983
None;80;3;0.00359165442506;0.9829205115751983
None;10;4;0.000457481404664;0.9829205115751982
None;60;4;0.00199270592008;0.9829205115751982
None;80;4;0.0084954988131;0.9829205115751982
None;10;2;0.00265145786844;0.9828395661324266
None;20;3;0.0120920841795;0.9827586206896552
None;10;2;0.000123485959247;0.9827586206896552
None;30;3;0.000784974562123;0.9827586206896551
None;None;2;0.00242133294141;0.9826776752468837
None;10;5;0.00755935716094;0.982596729804112
None;70;2;0.000161050335229;0.9823538934757973
None;10;2;0.00016194153147;0.9823538934757973
None;40;1;0.000739314364108;0.9823538934757973
None;30;2;0.00144367026434;0.9823538934757973
None;10;1;0.000669722325881;0.9821920025902542
None;50;5;0.00371922129716;0.9821110571474826
None;90;2;0.00016943904953;0.9821110571474826
None;100;3;0.000838514759373;0.9821110571474826
None;60;5;0.000330800004959;0.9820301117047111
log2;30;2;0.000686873556448;0.9820301117047109
None;50;2;0.000191405863058;0.9819491662619395
None;30;2;0.013106902023;0.9819491662619395
None;30;3;0.00103870896355;0.9819491662619395
None;70;5;0.000745787802651;0.9818682208191679
log2;None;4;0.00507437006846;0.9818682208191678
None;50;1;0.000289924035604;0.9817872753763962
sqrt;100;4;0.000126532173016;0.9817063299336247
None;80;1;0.00134067830031;0.9815444390480815
log2;90;2;0.000300380890947;0.9815444390480815
None;100;2;0.0108368590733;0.9815444390480815
log2;60;2;0.00480199248924;0.9815444390480815
None;90;5;0.0186480217184;0.9815444390480815
None;20;1;0.0181114183471;0.9814634936053102
sqrt;60;1;0.00203700574935;0.9812206572769954
None;100;4;0.0011135883898;0.9812206572769954
log2;10;3;0.00183080099711;0.9812206572769954
sqrt;50;1;0.00772812159495;0.9811397118342238
log2;60;5;0.000216436069396;0.9811397118342237
sqrt;20;5;0.00195593230698;0.9811397118342237
sqrt;80;5;0.000477461806364;0.9810587663914522
None;50;3;0.000797610619981;0.9809778209486807
None;20;5;0.0170169923073;0.9809778209486805
log2;70;1;0.0059683223706;0.9809778209486805
sqrt;100;3;0.000320750359581;0.9808968755059091
log2;20;4;0.000230007543729;0.9808968755059091
None;70;2;0.0125565537122;0.980896875505909
sqrt;20;5;0.000171223061056;0.9808159300631374
None;80;5;0.0134194089748;0.9808159300631374
sqrt;None;4;0.00018683317684;0.9807349846203658
sqrt;90;1;0.000422955034149;0.9807349846203658
sqrt;50;3;0.000120234296324;0.9806540391775943
None;20;3;0.0253625050265;0.9805730937348227
log2;90;1;0.00194041570341;0.9805730937348227
sqrt;50;4;0.000690763420031;0.9804921482920511
log2;10;4;0.000448603458957;0.9804921482920511
log2;10;2;0.000203178450639;0.9804921482920511
sqrt;10;1;0.0018300243146;0.9804921482920511
log2;60;4;0.000190247469632;0.9804921482920511
log2;30;5;0.00399855069493;0.9804112028492796
sqrt;90;3;0.00646084345843;0.9804112028492796
log2;90;1;0.00231869357311;0.980330257406508
None;70;5;0.018340477627;0.980330257406508
sqrt;70;3;0.00436434764864;0.980330257406508
log2;30;1;0.00169720727015;0.9802493119637364
sqrt;20;5;0.000216791824978;0.9802493119637364
sqrt;40;3;0.00106486634522;0.9802493119637364
log2;60;1;0.000146147627952;0.9802493119637363
