Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;None;2;0.00294078432081;0.985286310200986
None;100;1;0.00713568871852;0.9852104664391353
None;80;5;0.00229590419793;0.9850587789154343
None;30;4;0.00386303803316;0.984907091391733
None;10;3;0.00677130409804;0.9846795601061812
None;100;1;0.00342895299658;0.9844520288206295
None;30;1;0.00351253799297;0.9843003412969283
None;40;2;0.00549099878962;0.9842244975350777
None;60;3;0.00861515108262;0.9841486537732272
None;40;2;0.00102035480312;0.9841486537732272
None;20;1;0.00561039235601;0.984148653773227
None;100;1;0.00464459284429;0.9840728100113765
None;50;5;0.00391659380151;0.9839211224876753
None;80;4;0.0011960337077;0.9839211224876753
None;30;5;0.0078527935615;0.9837694349639742
None;70;5;0.00246858547548;0.9837694349639742
None;40;1;0.0125256765479;0.9836935912021235
None;20;1;0.0121673026983;0.9836935912021235
None;70;4;0.00557486197591;0.983617747440273
None;100;4;0.00240430123145;0.983617747440273
None;10;4;0.00147125509458;0.9835419036784224
None;10;4;0.00264105046556;0.9835419036784224
None;80;4;0.00142586364681;0.9833143723928707
None;50;5;0.00856774003097;0.9833143723928707
None;20;5;0.00744422197295;0.9833143723928707
None;20;2;0.00229240189239;0.98323852863102
None;80;4;0.00297234691874;0.98323852863102
None;None;2;0.0107588754232;0.98323852863102
None;50;3;0.010627678192;0.983086841107319
None;40;2;0.00204696404703;0.9830868411073189
None;60;5;0.00320722602744;0.9830868411073189
None;80;4;0.00305741079054;0.9830868411073189
None;80;5;0.015980858803;0.9830109973454683
None;40;5;0.00183480618524;0.9830109973454683
None;60;1;0.00742599587771;0.9830109973454683
None;10;5;0.00474038618458;0.9828593098217672
None;80;4;0.00116307336283;0.9828593098217672
None;20;1;0.00136616476794;0.982707622298066
None;20;5;0.0011730104514;0.9826317785362154
None;90;2;0.0128989693837;0.9825559347743648
None;100;5;0.00245826161777;0.9824042472506637
None;10;3;0.00114313133514;0.982328403488813
None;10;5;0.00232554868871;0.9822525597269625
None;80;5;0.0020827402653;0.9822525597269625
None;30;5;0.0118610627306;0.9822525597269625
None;50;4;0.00169548562701;0.9821767159651119
None;30;1;0.00111076776521;0.9821008722032613
None;40;3;0.0231202890092;0.9820250284414107
None;70;5;0.019278716835;0.9820250284414107
None;50;5;0.0213198501282;0.9817216533940084
None;100;4;0.0150588286103;0.9816458096321578
None;30;2;0.0197594480985;0.9815699658703072
log2;10;1;0.00261191981218;0.9812665908229047
None;20;3;0.0178091156637;0.9809632157755024
log2;None;2;0.014338624588;0.9807356844899506
log2;90;4;0.00194267059884;0.9806598407281002
log2;30;2;0.0031195327738;0.9806598407281001
sqrt;40;2;0.00988775849498;0.980508153204399
None;50;2;0.0179805373045;0.9805081532043989
sqrt;20;5;0.00834662037467;0.9804323094425483
log2;None;2;0.00128955552085;0.9803564656806977
sqrt;10;5;0.00128298203849;0.9802806219188471
sqrt;50;3;0.00133051465134;0.9802047781569967
None;90;2;0.0297462821192;0.9802047781569966
log2;70;5;0.00241784860511;0.9802047781569966
log2;60;4;0.00292086759736;0.9799772468714448
sqrt;20;1;0.0125083508364;0.9799772468714448
log2;100;1;0.0016771734778;0.9797497155858931
sqrt;20;3;0.0141356757715;0.9797497155858931
log2;30;2;0.00202124424789;0.9797497155858931
log2;100;3;0.00909342502574;0.9795980280621919
sqrt;None;1;0.00141565525807;0.9795221843003413
sqrt;20;4;0.00161610222497;0.9795221843003413
None;30;5;0.0327327412093;0.9795221843003413
log2;70;3;0.00486049744025;0.9792946530147896
sqrt;50;2;0.00209702302342;0.9792946530147896
None;90;5;0.0319745655273;0.9792946530147896
sqrt;30;1;0.00252400808703;0.9792188092529389
sqrt;60;5;0.00303952975531;0.9792188092529388
log2;20;5;0.00293967790616;0.9790671217292378
sqrt;50;4;0.00278835999019;0.9790671217292378
sqrt;10;2;0.018966456395;0.9790671217292378
sqrt;None;4;0.00160249116897;0.9790671217292376
sqrt;40;2;0.00126168122791;0.9789912779673872
sqrt;90;2;0.00735922208871;0.9789912779673872
sqrt;80;1;0.0182764210509;0.9789912779673872
sqrt;50;5;0.00281529217161;0.9789912779673872
log2;50;5;0.0200348208984;0.9789154342055365
log2;None;5;0.00310241159116;0.9789154342055365
log2;80;4;0.00186132368871;0.9788395904436861
log2;50;1;0.0157047836;0.9788395904436861
log2;30;3;0.0238906593522;0.9788395904436861
sqrt;40;3;0.00392662666726;0.9787637466818354
sqrt;60;1;0.0110135165621;0.9787637466818354
log2;80;3;0.0155539389266;0.9787637466818353
log2;50;3;0.00464846279654;0.9785362153962837
log2;20;4;0.00163727769115;0.9784603716344331
sqrt;None;5;0.00365350572823;0.978460371634433
sqrt;100;3;0.00321474171056;0.978460371634433
log2;40;4;0.0270196685622;0.9783845278725826
sqrt;10;1;0.00124498407801;0.9783845278725826
sqrt;40;2;0.00850905889914;0.9783086841107318
sqrt;30;3;0.00117617889098;0.9783086841107318
sqrt;40;1;0.00329042283869;0.9782328403488814
log2;70;1;0.0189871021734;0.9782328403488814
log2;30;1;0.0229275801433;0.9781569965870308
log2;70;5;0.0153638756195;0.9781569965870308
log2;70;5;0.00921974888938;0.9781569965870306
sqrt;40;4;0.0274896662631;0.9781569965870306
log2;40;5;0.00171930671854;0.9780811528251802
log2;90;2;0.00113165347095;0.9780811528251802
sqrt;80;3;0.00139676067611;0.9780811528251802
log2;80;1;0.00288454804678;0.9780053090633295
log2;80;4;0.00222903576022;0.9780053090633295
sqrt;70;3;0.00920387274212;0.9778536215396283
log2;20;1;0.0176056715461;0.9778536215396283
log2;90;2;0.0262543392196;0.9778536215396283
sqrt;20;2;0.0222233257326;0.9778536215396283
log2;50;5;0.0116066879629;0.9778536215396283
log2;100;3;0.00259774040574;0.9777777777777779
sqrt;70;2;0.0228848379533;0.9777777777777777
sqrt;None;4;0.00929580756662;0.9777019340159271
log2;30;4;0.00873345492392;0.9777019340159271
sqrt;None;2;0.00130628474694;0.9776260902540765
sqrt;30;1;0.00111284742241;0.977550246492226
log2;100;4;0.00462044155136;0.977550246492226
log2;60;5;0.0236909122249;0.9774744027303756
sqrt;90;5;0.00712908606465;0.9773985589685248
sqrt;10;2;0.00356057634067;0.9773985589685248
log2;10;4;0.00964807310858;0.9773227152066744
log2;10;3;0.0140858227051;0.9773227152066744
log2;10;1;0.0409304692602;0.9771710276829731
log2;80;5;0.0252318550966;0.9771710276829731
sqrt;10;5;0.016544718643;0.977171027682973
log2;90;4;0.0228994603718;0.977171027682973
sqrt;90;3;0.046037892619;0.9770951839211225
log2;70;4;0.0205546212464;0.9770951839211225
log2;50;5;0.0289957293422;0.9770193401592718
sqrt;40;2;0.00503677311757;0.9769434963974213
log2;90;2;0.00220383187271;0.9768676526355707
sqrt;None;4;0.00750110095033;0.9768676526355707
sqrt;20;2;0.0412464503406;0.9767159651118695
sqrt;None;4;0.0228879334078;0.9767159651118695
sqrt;40;3;0.0622977077448;0.976640121350019
log2;60;4;0.0555561428673;0.9765642775881683
sqrt;90;1;0.0386608999344;0.9765642775881683
log2;70;3;0.0333029040293;0.9764884338263178
log2;100;1;0.00156082412312;0.9764884338263178
log2;60;3;0.0183485842259;0.9764884338263178
log2;90;2;0.0224698813112;0.9764125900644672
log2;30;2;0.0266177791161;0.9763367463026166
log2;50;2;0.0507047446087;0.9763367463026166
sqrt;60;5;0.0105406541264;0.9763367463026166
None;40;2;0.0364094374429;0.976260902540766
sqrt;30;4;0.0662331951563;0.9761850587789155
sqrt;10;3;0.0154446527595;0.9761850587789155
log2;None;2;0.0290118394795;0.9761850587789155
log2;100;5;0.0576184114159;0.9760333712552143
sqrt;30;5;0.0135347686342;0.9760333712552143
log2;20;5;0.0427996417971;0.9760333712552143
log2;90;5;0.0570676923387;0.9760333712552143
log2;None;4;0.0388867913836;0.9759575274933637
log2;50;4;0.0493956723911;0.9758816837315131
log2;90;4;0.0574265733043;0.9758816837315131
log2;60;4;0.0568088267207;0.9758058399696625
sqrt;80;4;0.0668525905418;0.9758058399696625
None;20;1;0.0702541278402;0.9758058399696625
sqrt;None;3;0.099104703628;0.975729996207812
log2;None;5;0.0829255574908;0.9756541524459613
log2;None;3;0.0807871296694;0.9756541524459613
sqrt;50;1;0.00103487062136;0.9756541524459612
sqrt;60;5;0.0471701737317;0.9756541524459612
log2;40;1;0.0868006525971;0.9755024649222602
log2;50;4;0.0589429284165;0.9755024649222602
sqrt;30;5;0.0658748431413;0.9755024649222602
log2;60;2;0.0514043782338;0.9755024649222602
sqrt;80;5;0.0335676493382;0.9754266211604095
log2;50;2;0.0862708193624;0.9754266211604095
log2;10;5;0.0464564388069;0.975350777398559
sqrt;80;2;0.035523702554;0.975350777398559
log2;None;4;0.0429662160142;0.975350777398559
sqrt;30;3;0.0715329710095;0.9752749336367085
sqrt;60;5;0.0933289642882;0.9752749336367083
sqrt;None;4;0.0601175559987;0.9751232461130072
sqrt;30;5;0.0926949300936;0.9751232461130072
log2;80;3;0.0870057589439;0.9750474023511565
sqrt;100;3;0.0387130957678;0.9749715585893061
None;20;4;0.0453360857125;0.9749715585893061
log2;30;5;0.084312817054;0.9748957148274554
log2;60;1;0.0416300253227;0.974819871065605
log2;90;5;0.0597982978907;0.9748198710656047
None;20;3;0.0511627680362;0.9748198710656047
log2;90;2;0.099155483858;0.9746681835419038
None;100;1;0.0666268051984;0.974592339780053
None;60;3;0.0533689911051;0.974592339780053
sqrt;70;1;0.0638221238556;0.9744406522563519
None;40;5;0.0845615658833;0.9742131209708002
None;20;1;0.0414874369661;0.9741372772089495
None;90;1;0.0900441156516;0.9737580583996966
None;30;3;0.0854270408997;0.9724687144482367
