Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;20;3;0.002750960298;0.9850312205970404
None;30;1;0.00195733712752;0.984432469420922
None;None;4;0.00100999087837;0.9842613976563168
None;90;2;0.0108434242815;0.9842613976563168
None;90;4;0.0062278634893;0.9841758617740141
None;10;5;0.000714500757039;0.9840903258917115
None;40;1;0.00823158994764;0.9839192541271062
None;60;4;0.000355087798325;0.9837481823625011
None;None;2;0.00336777030594;0.9837481823625011
None;40;1;0.000134727257816;0.9836626464801984
None;70;4;0.0013830867797;0.9836626464801984
None;30;5;0.00276462109573;0.9836626464801984
None;20;3;0.0119951723201;0.9835771105978958
None;20;4;0.00744550569806;0.9834915747155932
None;90;3;0.00289512584069;0.9834060388332905
None;30;2;0.0129616788342;0.9833205029509879
None;70;5;0.000442303418258;0.9832349670686854
None;90;2;0.00070679535465;0.9832349670686854
None;80;1;0.00230521506678;0.9832349670686852
None;80;3;0.000332457844829;0.9830638953040801
None;10;2;0.000835000694776;0.9829783594217775
None;60;1;0.000605009099625;0.9829783594217775
None;50;4;0.0040137106689;0.9829783594217774
None;100;2;0.000130690982466;0.9828928235394748
None;30;5;0.00280731962796;0.9828072876571722
None;80;3;0.00687935648967;0.9828072876571722
None;60;5;0.000140327319459;0.9828072876571722
None;30;1;0.00573512353506;0.9827217517748696
None;50;5;0.00230533647958;0.9827217517748696
None;30;2;0.00980837836185;0.9827217517748696
None;20;1;0.000220298216119;0.9827217517748696
None;70;2;0.000120167910523;0.9827217517748696
None;50;2;0.0020377948867;0.9827217517748695
None;40;2;0.00978655627109;0.9826362158925669
None;40;5;0.00565287178635;0.9825506800102644
None;20;3;0.000236035418543;0.9825506800102642
None;70;4;0.00109154856101;0.9823796082456591
None;None;2;0.00228326941711;0.9823796082456591
None;10;1;0.000162518559882;0.9823796082456591
None;30;4;0.000113121619383;0.9822940723633563
None;90;5;0.0157533608355;0.9822085364810538
None;None;1;0.000321355533267;0.9821230005987512
None;None;3;0.0123997163217;0.981951928834146
sqrt;100;5;0.00502868379361;0.9818663929518433
None;None;4;0.0168928674385;0.9818663929518433
None;None;4;0.0147782240424;0.9818663929518433
None;80;3;0.000197023571941;0.9818663929518433
None;50;1;0.000124334246378;0.981695321187238
None;100;1;0.000997035706199;0.9816097853049355
None;80;3;0.000125638396334;0.9816097853049355
sqrt;20;4;0.000178173175344;0.9814387135403302
None;30;3;0.0035424724476;0.9813531776580277
sqrt;60;4;0.00338476200264;0.9811821058934224
None;60;5;0.00026954631277;0.9809254982465143
None;70;5;0.0230810757842;0.9807544264819091
None;80;3;0.0213426451941;0.9807544264819091
sqrt;70;1;0.00930893439615;0.9807544264819091
sqrt;10;4;0.00292217979074;0.9806688905996066
log2;None;3;0.0127928727153;0.9806688905996066
log2;10;2;0.00698233907458;0.9806688905996065
sqrt;30;3;0.00504311957047;0.9806688905996065
sqrt;60;4;0.00134682420508;0.9805833547173038
sqrt;100;2;0.00325470206399;0.9805833547173038
log2;70;4;0.000186011068926;0.9805833547173038
None;90;2;0.0219526276123;0.9805833547173038
sqrt;70;4;0.000456038552048;0.9804978188350013
sqrt;70;3;0.00108234762682;0.980326747070396
sqrt;20;5;0.00176476891625;0.9802412111880935
sqrt;None;5;0.00590050060941;0.9802412111880935
sqrt;40;3;0.00193634707648;0.9802412111880935
log2;50;3;0.00548231434228;0.9801556753057907
sqrt;50;5;0.00819258495836;0.9801556753057907
log2;70;2;0.000171664096895;0.9801556753057907
log2;70;2;0.000102648257844;0.9800701394234882
log2;80;1;0.00214788875617;0.9799846035411856
sqrt;40;2;0.00470988599216;0.9798135317765803
sqrt;80;4;0.00427637587107;0.9798135317765803
