Alpha;MCC
0.100;0.286775311925
0.110;0.270386869635
0.105;0.270386869635
0.095;0.262809505149
0.090;0.25757887069
0.075;0.250474049117
0.080;0.250474049117
0.085;0.249905674401
0.070;0.234157394948
0.065;0.226105830547
0.060;0.205791372393
0.055;0.200028611007
0.045;0.187417634142
0.050;0.180582464098
0.120;0.178313338556
0.115;0.178313338556
0.040;0.168583562267
0.035;0.160976500357
0.010;0.150541658185
0.025;0.138413275521
0.015;0.138083547725
0.145;0.136888144809
0.190;0.136888144809
0.165;0.136888144809
0.160;0.136888144809
0.155;0.136888144809
0.150;0.136888144809
0.175;0.136888144809
0.140;0.136888144809
0.135;0.136888144809
0.130;0.136888144809
0.125;0.136888144809
0.180;0.136888144809
0.185;0.136888144809
0.170;0.136888144809
0.030;0.135576518767
0.005;0.12631251258
0.020;0.116079908964
0.195;0.0831519666814
0.000;0.0103368622452
