Alpha;MCC
0.100;0.331756038432
0.095;0.307721668678
0.080;0.307718325554
0.075;0.301323779043
0.090;0.299581149699
0.105;0.296739514571
0.110;0.296739514571
0.085;0.291510999948
0.065;0.28919469894
0.070;0.281666792545
0.060;0.262968705278
0.055;0.256565695443
0.045;0.232381043012
0.050;0.229705676005
0.115;0.213944570106
0.120;0.213944570106
0.040;0.209580153633
0.035;0.199715356812
0.125;0.179079331837
0.130;0.179079331837
0.135;0.179079331837
0.140;0.179079331837
0.145;0.179079331837
0.150;0.179079331837
0.155;0.179079331837
0.030;0.163320332801
0.025;0.162428060509
0.010;0.145305886993
0.015;0.143717605011
0.185;0.137384327273
0.180;0.137384327273
0.160;0.137384327273
0.165;0.137384327273
0.170;0.137384327273
0.175;0.137384327273
0.190;0.137384327273
0.020;0.126492175016
0.005;0.12286543943
0.195;0.0832890433068
0.000;0.01311629834
