Alpha;MCC
0.195;nan
0.185;nan
0.180;nan
0.175;nan
0.170;nan
0.165;nan
0.160;nan
0.190;nan
0.080;0.328837037969
0.075;0.318566932089
0.065;0.308774821814
0.100;0.303333952144
0.085;0.298424400152
0.090;0.298424400152
0.070;0.290483182332
0.095;0.2886431509
0.060;0.275307226802
0.055;0.270646219265
0.105;0.269078317014
0.110;0.269078317014
0.045;0.249132034783
0.050;0.236514386665
0.040;0.218699971573
0.035;0.214799978632
0.010;0.174413052115
0.025;0.171954451973
0.115;0.170118039865
0.120;0.170118039865
0.030;0.169274725069
0.015;0.165425341869
0.020;0.140629749134
0.005;0.139832106116
0.155;0.120277009568
0.150;0.120277009568
0.145;0.120277009568
0.140;0.120277009568
0.135;0.120277009568
0.130;0.120277009568
0.125;0.120277009568
0.000;0.0111002338583
