Alpha;MCC
0.100;0.360421665055
0.080;0.335198030939
0.095;0.334601996348
0.075;0.328343722213
0.090;0.32606841324
0.105;0.322174218254
0.110;0.322174218254
0.085;0.317411750972
0.065;0.315762278709
0.070;0.307500107294
0.060;0.287730711124
0.055;0.280895175096
0.045;0.255358689234
0.050;0.252263796751
0.120;0.232402173704
0.115;0.232402173704
0.040;0.231400034426
0.035;0.220953307932
0.125;0.194603868398
0.130;0.194603868398
0.135;0.194603868398
0.140;0.194603868398
0.145;0.194603868398
0.150;0.194603868398
0.155;0.194603868398
0.030;0.182475418617
0.025;0.172159238615
0.015;0.150680608059
0.180;0.149407816049
0.190;0.149407816049
0.185;0.149407816049
0.175;0.149407816049
0.160;0.149407816049
0.165;0.149407816049
0.170;0.149407816049
0.020;0.144547919037
0.010;0.14039409306
0.005;0.111145897743
0.195;0.0907851667672
0.000;0.00764051802685
