ATFD;LAA;FDP;F-measure
2;3;3;0.5235294117647059
3;3;3;0.5168539325842697
3;3;4;0.512280701754386
2;3;4;0.5109890109890108
3;3;5;0.49829351535836175
2;3;5;0.496
3;2;3;0.4742268041237114
3;2;4;0.4591194968553459
1;4;3;0.4524590163934426
2;4;3;0.4524590163934426
2;4;4;0.44859813084112143
1;4;4;0.44859813084112143
3;2;5;0.44242424242424244
2;4;5;0.43768996960486317
1;4;5;0.43768996960486317
4;3;4;0.43103448275862066
2;3;2;0.4305555555555555
2;2;3;0.4298642533936652
3;4;4;0.42975206611570244
4;3;5;0.42553191489361697
3;4;3;0.4224137931034483
3;4;5;0.42105263157894735
4;3;3;0.4107142857142857
2;2;4;0.4074074074074074
4;4;4;0.4054054054054054
3;3;2;0.4000000000000001
4;4;5;0.4
1;5;3;0.4
2;5;3;0.4
1;4;2;0.39552238805970147
2;4;2;0.39552238805970147
1;5;4;0.39473684210526316
2;5;4;0.39473684210526316
2;2;5;0.38899803536345773
4;4;3;0.38709677419354843
1;5;5;0.3858520900321543
2;5;5;0.3858520900321543
3;2;2;0.3790322580645161
2;2;2;0.37746478873239436
4;2;4;0.37735849056603776
4;2;3;0.3709677419354839
3;1;3;0.36787564766839376
4;2;5;0.36764705882352944
3;5;4;0.35555555555555557
3;4;2;0.35348837209302325
3;5;3;0.35023041474654376
3;5;5;0.34934497816593885
3;1;4;0.34802784222737826
1;5;2;0.3359375
2;5;2;0.3359375
1;3;3;0.3310344827586207
2;1;3;0.3263327948303716
1;3;4;0.3263327948303716
4;5;4;0.3219512195121951
3;1;5;0.32119914346895073
4;5;5;0.3188405797101449
1;3;5;0.3151326053042122
4;3;2;0.3137254901960784
3;1;2;0.3116883116883117
5;3;4;0.3106796116504854
4;4;2;0.31
5;3;5;0.30769230769230765
4;5;3;0.3069306930693069
4;1;4;0.3067484662576687
4;1;3;0.3066666666666667
2;1;2;0.3034188034188034
2;1;4;0.3028571428571428
1;3;2;0.30000000000000004
1;2;3;0.29912023460410564
4;2;2;0.2949308755760368
5;3;3;0.29
1;2;4;0.28879892037786775
4;1;5;0.28571428571428575
5;2;4;0.2857142857142857
1;2;2;0.2808349146110057
5;2;5;0.2807017543859649
2;1;5;0.2796833773087071
2;3;1;0.27649769585253453
1;2;5;0.2761290322580645
3;5;2;0.27586206896551724
5;4;4;0.2755102040816327
5;2;3;0.27358490566037735
5;4;5;0.27272727272727276
5;5;4;0.26041666666666663
5;4;3;0.25906735751295334
5;5;5;0.25773195876288657
2;4;1;0.2571428571428571
1;4;1;0.2571428571428571
4;1;2;0.2570281124497992
2;2;1;0.25
5;1;4;0.24521072796934865
2;5;1;0.24271844660194178
1;5;1;0.24271844660194178
5;5;3;0.24210526315789474
5;1;3;0.2396694214876033
2;1;1;0.23003194888178913
5;1;5;0.22857142857142856
4;5;2;0.22340425531914893
1;3;1;0.2118380062305296
3;3;1;0.20652173913043478
5;3;2;0.20430107526881722
3;2;1;0.20105820105820105
1;2;1;0.19999999999999998
1;1;3;0.19914163090128753
5;4;2;0.19780219780219777
5;2;2;0.19587628865979378
1;1;4;0.1882716049382716
1;1;2;0.18735891647855532
3;1;1;0.18604651162790697
3;4;1;0.1807909604519774
5;5;2;0.1787709497206704
1;1;5;0.1782608695652174
5;1;2;0.17674418604651163
3;5;1;0.16184971098265893
1;1;1;0.15167548500881833
4;3;1;0.1511627906976744
4;2;1;0.14689265536723164
4;4;1;0.14201183431952663
4;1;1;0.1368421052631579
4;5;1;0.12121212121212123
5;3;1;0.1097560975609756
5;2;1;0.10714285714285715
5;1;1;0.10465116279069767
5;5;1;0.1
5;4;1;0.09937888198757763
