ATFD;LAA;FDP;MCC
2;3;3;0.5251516370568208
3;3;3;0.5195010852322727
2;3;4;0.5163302796301901
3;3;4;0.5112614113665547
2;3;5;0.5027320367614797
3;3;5;0.49599617530765666
3;2;3;0.47571882437291446
3;2;4;0.46180832369374636
1;4;3;0.453914825912466
2;4;3;0.453914825912466
2;2;3;0.4537294224908687
4;3;4;0.4505440864892756
1;4;4;0.450488140877968
2;4;4;0.450488140877968
3;2;5;0.4460338330850463
3;4;4;0.4451555721078478
3;4;3;0.4448532065473527
2;2;4;0.44063444547007835
2;4;5;0.4401621316621308
1;4;5;0.4401621316621308
4;3;5;0.43999942501764
4;3;3;0.4387047322854108
4;4;4;0.4375058095994436
3;4;5;0.4337671933335392
2;3;2;0.43059069767148905
4;4;5;0.42822864099186075
2;2;5;0.42606356537859197
4;4;3;0.4242509259708983
3;3;2;0.4189275241615882
2;4;2;0.4026383551039599
1;4;2;0.4026383551039599
2;5;3;0.4014928262859513
1;5;3;0.4014928262859513
2;5;4;0.39564929232121726
1;5;4;0.39564929232121726
3;2;2;0.3955144484713193
3;4;2;0.39223047539406936
4;2;4;0.3876134288642281
1;5;5;0.3866806764324675
2;5;5;0.3866806764324675
4;2;3;0.38661006607218934
2;2;2;0.3845724407118466
1;3;4;0.38445383299586555
3;5;3;0.3836067717885525
1;3;3;0.3833853765757403
3;5;4;0.38122819416059195
2;1;3;0.3797547196714913
3;1;3;0.37875337668346803
4;2;5;0.3755181767955353
1;3;5;0.3752159838841679
3;5;5;0.37146967235293854
4;5;4;0.36981727411619164
4;4;2;0.36815488463352025
4;3;2;0.3672953716937468
2;1;4;0.36720825872599216
3;1;4;0.3662945446725755
1;2;3;0.3638818083179439
4;5;5;0.3623988121199683
1;2;4;0.3608926692288857
4;5;3;0.3586117405261582
1;2;5;0.3505445001219201
2;1;5;0.3490403485707242
5;3;4;0.34637355752786564
1;5;2;0.3460178601147832
2;5;2;0.3460178601147832
3;1;5;0.34509753682987154
4;2;2;0.3385036338713014
5;3;5;0.3374151830930708
5;3;3;0.3348327956919828
2;1;2;0.3300390729824594
5;4;4;0.32783146907147476
1;3;2;0.32629339659749645
3;5;2;0.3253311484928351
3;1;2;0.32298213800087944
4;1;3;0.3206738011087902
5;4;5;0.320251088447759
4;1;4;0.31971601036577496
5;5;4;0.31804589263442057
1;2;2;0.3156481960193801
5;4;3;0.3153730196683332
5;5;5;0.3102181517687644
5;2;4;0.30732978800011057
5;2;3;0.30463760175384974
5;5;3;0.30248414032053494
4;1;5;0.29984256334570664
5;2;5;0.2979037585431328
4;5;2;0.29453546651054274
2;3;1;0.29434912806732944
4;1;2;0.292450251158761
1;1;3;0.2897888969449487
1;1;4;0.28662944000193036
1;4;1;0.28432732847003295
2;4;1;0.28432732847003295
1;1;5;0.2789005204082016
1;5;1;0.2732353669790622
2;5;1;0.2732353669790622
5;3;2;0.26996678488295317
5;4;2;0.2694391720730386
3;3;1;0.2693196472898454
3;4;1;0.2613156322368641
3;2;1;0.25807176301255175
2;2;1;0.25638445625510287
5;5;2;0.25465061789577437
5;1;4;0.2538716668426093
5;2;2;0.2536106378642962
5;1;3;0.2530150480520019
3;5;1;0.24903601227830116
1;1;2;0.24439561878389388
4;3;1;0.24267425887220817
4;4;1;0.24041613848183635
5;1;5;0.23515879880736357
2;1;1;0.2340177868398952
4;2;1;0.22808101689179855
4;5;1;0.22725062954968575
5;1;2;0.21501403290259996
1;3;1;0.21331482874716381
3;1;1;0.20943535794728435
5;5;1;0.20624936320095852
1;2;1;0.20443530067885923
5;3;1;0.20329439700587107
5;4;1;0.20064266344713794
4;1;1;0.19821701702698316
5;2;1;0.19043140840450662
5;1;1;0.16775058985524077
1;1;1;0.15707397294801229
