ATFD;LAA;FDP;MCC
2;3;3;0.5273463204154856
2;3;4;0.5083343936123987
3;3;3;0.5063708582563259
2;3;5;0.49483743073091446
3;3;4;0.4862852802534811
3;3;5;0.47165918985982813
3;2;3;0.4647244374741554
2;4;3;0.46069863826419005
1;4;3;0.46069863826419005
2;2;3;0.4571877060752038
2;4;4;0.4497930249457109
1;4;4;0.4497930249457109
4;3;3;0.4425635680955411
3;2;4;0.4406949444879236
1;4;5;0.4398812625440642
2;4;5;0.4398812625440642
4;3;4;0.4369281589768754
2;2;4;0.4358733746849855
3;4;3;0.4346007617538789
4;3;5;0.42783001391080033
3;4;4;0.4256549073950642
4;4;4;0.4250050487252861
3;2;5;0.42496343169075235
4;4;3;0.42334291394722257
2;3;2;0.42323505759999536
2;2;5;0.42054985268193096
4;4;5;0.4175518679511762
3;4;5;0.41556366927165617
1;5;3;0.4133697455941018
2;5;3;0.4133697455941018
2;4;2;0.4008243791114449
1;4;2;0.4008243791114449
1;5;4;0.39880819999561806
2;5;4;0.39880819999561806
3;3;2;0.39521394149249633
4;2;3;0.3917464425178886
1;5;5;0.39028057200139543
2;5;5;0.39028057200139543
1;3;3;0.38765163735193836
2;1;3;0.3858342674137404
1;3;4;0.37953915372806174
4;2;4;0.37815126495567186
3;5;3;0.3781174792929255
2;2;2;0.3761094446434961
3;4;2;0.3732829433856083
3;2;2;0.3707867318016799
1;3;5;0.3699168204676244
3;1;3;0.3683292581085975
2;1;4;0.36744343855686573
1;2;3;0.3673049641960556
4;2;5;0.36637907636254746
3;5;4;0.3645446681521399
4;5;3;0.3639209014694194
4;3;2;0.3611771018338282
4;5;4;0.3611771018338282
4;4;2;0.35890975888775317
1;2;4;0.35660588863947923
3;5;5;0.35624617228622835
4;5;5;0.35586570010214613
1;5;2;0.3498635863636495
2;5;2;0.3498635863636495
2;1;5;0.348836331312802
3;1;4;0.34739209902442886
1;2;5;0.3455836779677729
5;3;3;0.33753746521029476
4;2;2;0.33023590698357425
5;3;4;0.3273744852233222
3;1;5;0.32675677476384624
1;3;2;0.32557276605531665
2;1;2;0.3240489542034997
5;3;5;0.3203103548783408
4;1;3;0.3174156379210739
5;4;3;0.31252799034565204
1;2;2;0.31235736824734706
2;3;1;0.3115449102567965
3;5;2;0.3112912130742792
5;4;4;0.3098040457978568
5;4;5;0.30455690830702903
4;1;4;0.30419569722993817
5;2;3;0.30343971200829867
3;1;2;0.3014146338435005
2;4;1;0.29848610429582706
1;4;1;0.29848610429582706
5;5;3;0.2979087349857574
5;5;4;0.2979087349857574
2;5;1;0.29479287785537783
1;5;1;0.29479287785537783
5;5;5;0.2925041453412185
1;1;3;0.29199608614562117
4;5;2;0.2917830184510361
5;2;4;0.2889050645948014
4;1;5;0.2853722675915903
1;1;4;0.2836914891143789
5;2;5;0.28078013597536866
1;1;5;0.2763242583627377
4;1;2;0.27563350800505426
3;3;1;0.27547143537889185
2;2;1;0.2668722622734671
5;3;2;0.26408095811749166
3;4;1;0.2625695824298253
5;4;2;0.26003769895825685
3;2;1;0.26003769895825685
3;5;1;0.2597955289828996
5;1;3;0.2492547338629418
2;1;1;0.24607524104484482
4;3;1;0.24563941729063335
5;2;2;0.2446633182445889
5;5;2;0.24302157896628418
1;1;2;0.2384851493004619
4;4;1;0.23826831825689457
1;3;1;0.23724552045397554
4;5;1;0.23597758405334343
5;1;4;0.2340316374041855
4;2;1;0.22517652329535054
1;2;1;0.2212987123628434
5;1;5;0.21730371826763023
3;1;1;0.2141649837616286
5;3;1;0.20923982983618822
5;5;1;0.2064628665056449
5;1;2;0.20313902462169783
5;4;1;0.20052148235171044
5;2;1;0.1905797251942681
4;1;1;0.18466799581977633
5;1;1;0.16702670432526442
1;1;1;0.1649146248330364
