ATFD;LAA;FDP;MCC
2;3;3;0.526116699749555
2;3;4;0.5143072298974098
2;3;5;0.49775444194841506
3;3;3;0.4837415782835735
3;3;4;0.47549605401254774
2;3;2;0.46461423085459086
1;4;3;0.4639271049976773
2;4;3;0.4639271049976773
3;3;5;0.4577520923823261
2;4;4;0.4549282653274143
1;4;4;0.4549282653274143
1;4;5;0.44246753176525133
2;4;5;0.44246753176525133
2;2;3;0.44004580009543254
4;3;4;0.43691074900382815
3;2;3;0.4365613942022592
1;4;2;0.4269407703947901
2;4;2;0.4269407703947901
2;2;4;0.4265483682972884
4;3;3;0.4265388685049631
3;3;2;0.4246587170080347
4;3;5;0.4246587170080347
3;2;4;0.4233306166980867
1;5;3;0.41666468717217797
2;5;3;0.41666468717217797
3;4;3;0.4134222428577542
4;4;4;0.4130467222671141
2;2;5;0.41128073486018096
2;5;4;0.41037403315426413
1;5;4;0.41037403315426413
3;4;4;0.41014938697131953
3;2;5;0.40693159492353176
2;2;2;0.405078730839565
4;4;5;0.4023997949070615
4;4;3;0.40199122578778324
2;5;5;0.39953450274664276
1;5;5;0.39953450274664276
3;2;2;0.39892613690384415
3;4;5;0.3974072507860108
3;4;2;0.38266288209912885
2;5;2;0.37464307734376334
1;5;2;0.37464307734376334
4;3;2;0.37303504201731924
4;2;4;0.3707809417890378
4;2;3;0.3707321728124402
4;4;2;0.36991503344408744
1;3;3;0.3666789549555194
2;1;3;0.3647230864118482
5;3;4;0.36467840859776574
1;3;4;0.3642778519211108
4;2;5;0.35871692589998305
3;5;4;0.3550562262666727
4;5;4;0.3549905252584105
3;5;3;0.3543428439615826
5;3;5;0.3543428439615826
1;3;5;0.3540371171431297
2;1;4;0.3539038449394287
5;3;3;0.34862289927113416
3;1;3;0.3471995380784669
4;5;5;0.3467908906016051
2;1;2;0.34578651645006275
3;5;5;0.34447169208464945
1;2;3;0.3430296029772506
4;2;2;0.3425513288039456
4;5;3;0.33926698808872185
3;1;4;0.33849420623098414
1;2;4;0.3375669634197618
2;1;5;0.3375669634197618
1;3;2;0.3373729749751387
5;4;4;0.3355348804374355
5;5;4;0.3318369745220927
2;3;1;0.33105346690363996
3;1;2;0.32739432361658566
5;4;5;0.327008572914988
1;2;5;0.3269996728714483
5;2;4;0.32392967943594303
1;2;2;0.323024400652151
5;5;5;0.32296434648913575
3;1;5;0.31977745774895855
3;5;2;0.3190849377262547
5;4;3;0.3189290962767652
5;2;3;0.31630889503024706
1;4;1;0.31316444984996633
2;4;1;0.31316444984996633
5;2;5;0.31303529162876825
5;5;3;0.31186622339341674
4;1;4;0.30715026835994136
4;1;3;0.3060758124490595
4;5;2;0.3016394553920631
1;5;1;0.29871769158454203
2;5;1;0.29871769158454203
5;3;2;0.2942056389313787
5;4;2;0.2896896418895419
4;1;5;0.2886572851898227
4;1;2;0.28712562175891626
5;5;2;0.28192758331248063
5;2;2;0.275124403036707
3;3;1;0.27263737935585064
5;1;4;0.2721657651801322
1;1;3;0.27024203884203624
2;2;1;0.26869261128212873
1;1;4;0.26720209997041106
5;1;3;0.26345134247590946
1;1;5;0.2613508581791484
3;2;1;0.25936238224677893
4;3;1;0.2551057530517749
5;1;5;0.2534042234901314
3;4;1;0.250822054137099
1;1;2;0.2489722879552142
4;4;1;0.2461723446480062
2;1;1;0.2411191014461105
4;2;1;0.23773732790323843
5;1;2;0.23256312327986456
3;5;1;0.23234000422725837
4;5;1;0.2272686673812377
5;3;1;0.21721005265415294
1;3;1;0.2164492185238927
3;1;1;0.213217268231271
5;5;1;0.2131534048948427
5;4;1;0.2066710607275168
5;2;1;0.2015476561087985
1;2;1;0.1992366102431985
4;1;1;0.1919656288671493
5;1;1;0.1749153487637524
1;1;1;0.1487770620387387
