ATFD;LAA;FDP;F-measure
3;3;3;0.5421245421245421
3;3;4;0.5342465753424658
3;3;5;0.5165562913907285
2;3;3;0.5078369905956114
2;3;4;0.4970760233918128
3;2;3;0.4933333333333333
2;3;5;0.480225988700565
3;2;4;0.47560975609756095
4;3;4;0.4661016949152542
3;4;4;0.4634146341463415
3;4;3;0.4595744680851064
3;2;5;0.4574780058651026
4;3;5;0.4564315352697096
3;4;5;0.4523809523809524
4;3;3;0.44933920704845814
4;4;4;0.44642857142857145
4;4;5;0.4385964912280702
1;4;3;0.4341637010676157
2;4;3;0.4341637010676157
1;4;4;0.4324324324324324
2;4;4;0.4324324324324324
4;4;3;0.4292237442922375
3;3;2;0.42677824267782427
2;2;3;0.4233576642335766
2;4;5;0.42105263157894735
1;4;5;0.42105263157894735
2;3;2;0.4202898550724638
1;3;3;0.41134751773049644
4;2;4;0.4044117647058824
1;3;4;0.40350877192982454
3;2;2;0.4031620553359684
2;2;4;0.40176600441501104
4;2;3;0.40157480314960636
3;4;2;0.3944954128440367
4;2;5;0.3928571428571429
2;4;2;0.39215686274509803
1;4;2;0.39215686274509803
1;3;5;0.3881856540084388
3;5;4;0.3876651982378855
3;5;3;0.3853211009174312
2;2;5;0.38315789473684214
3;5;5;0.3793103448275862
3;1;3;0.37530864197530867
2;2;2;0.3727810650887574
1;5;3;0.37121212121212116
2;5;3;0.37121212121212116
2;5;4;0.368231046931408
1;5;4;0.368231046931408
1;2;3;0.3611650485436893
4;5;4;0.36097560975609755
4;3;2;0.35922330097087374
1;5;5;0.3591549295774648
2;5;5;0.3591549295774648
4;4;2;0.3564356435643565
4;5;5;0.3557692307692308
3;1;4;0.3547671840354767
1;3;2;0.3545706371191136
4;5;3;0.3465346534653465
1;2;4;0.345679012345679
5;3;4;0.3444976076555024
5;3;5;0.3380281690140845
4;2;2;0.33636363636363636
3;1;2;0.3312101910828025
1;2;5;0.32941176470588235
4;1;3;0.32797427652733124
3;1;5;0.32786885245901637
5;3;3;0.32673267326732675
1;2;2;0.326241134751773
4;1;4;0.3254437869822485
2;5;2;0.3236514522821577
1;5;2;0.3236514522821577
2;1;3;0.31543624161073824
5;4;4;0.3147208121827411
5;2;4;0.31441048034934493
3;5;2;0.3137254901960785
5;4;5;0.31
5;2;5;0.3076923076923077
5;2;3;0.3055555555555555
2;1;2;0.30357142857142855
4;1;5;0.30303030303030304
5;5;4;0.3005181347150259
5;4;3;0.29896907216494845
5;5;5;0.29591836734693877
4;1;2;0.2936507936507936
2;1;4;0.29289940828402367
5;5;3;0.2827225130890052
2;1;5;0.27012278308321963
2;3;1;0.27
4;5;2;0.26595744680851063
5;1;4;0.2656826568265683
5;1;3;0.26294820717131473
3;3;1;0.25414364640883974
2;4;1;0.25130890052356025
1;4;1;0.25130890052356025
2;2;1;0.25
5;1;5;0.24742268041237117
3;2;1;0.24731182795698928
5;3;2;0.24598930481283424
5;4;2;0.24043715846994537
1;3;1;0.23809523809523808
2;1;1;0.23693379790940766
5;2;2;0.2358974358974359
2;5;1;0.23529411764705885
1;5;1;0.23529411764705885
3;4;1;0.23255813953488372
1;1;3;0.22590673575129536
1;2;1;0.22535211267605634
3;1;1;0.2232558139534884
5;5;2;0.22222222222222224
3;5;1;0.2142857142857143
1;1;4;0.21276595744680848
1;1;2;0.2120418848167539
5;1;2;0.2119815668202765
4;3;1;0.20481927710843373
1;1;5;0.20086580086580086
4;2;1;0.19883040935672514
4;4;1;0.19631901840490795
4;1;1;0.1827956989247312
4;5;1;0.1761006289308176
1;1;1;0.16032064128256512
5;3;1;0.15286624203821655
5;2;1;0.14906832298136646
5;5;1;0.1437908496732026
5;4;1;0.14285714285714285
5;1;1;0.14285714285714285
