ATFD;LAA;FDP;F-measure
2;3;3;0.5235294117647059
3;3;3;0.5111111111111111
2;3;4;0.510989010989011
3;3;4;0.5069444444444443
2;3;5;0.4973262032085561
3;3;5;0.4932432432432432
3;2;3;0.46779661016949153
3;2;4;0.45768025078369906
2;4;3;0.45602605863192186
1;4;3;0.45602605863192186
1;4;4;0.4520123839009288
2;4;4;0.4520123839009288
3;2;5;0.4437689969604863
1;4;5;0.4424242424242424
2;4;5;0.4424242424242424
4;3;4;0.43881856540084385
4;3;5;0.42975206611570244
3;4;4;0.4291497975708502
2;2;3;0.42824601366742593
2;3;2;0.42611683848797255
3;4;3;0.42194092827004226
3;4;5;0.42063492063492064
4;3;3;0.41739130434782606
4;4;4;0.41592920353982304
2;5;3;0.4109589041095891
1;5;3;0.4109589041095891
2;2;4;0.41090146750524115
4;4;5;0.40869565217391307
2;5;4;0.40522875816993464
1;5;4;0.40522875816993464
2;4;2;0.40293040293040294
1;4;2;0.40293040293040294
2;5;5;0.39743589743589736
1;5;5;0.39743589743589736
4;4;3;0.39639639639639634
2;2;5;0.39595959595959596
3;3;2;0.39330543933054396
4;2;4;0.3880597014925373
4;2;5;0.3781818181818182
4;2;3;0.3764705882352941
3;2;2;0.37301587301587297
3;1;3;0.370757180156658
2;2;2;0.3697478991596639
3;5;4;0.36521739130434777
3;4;2;0.3619909502262444
3;5;3;0.3603603603603604
3;5;5;0.3589743589743589
3;1;4;0.35377358490566035
1;5;2;0.35249042145593873
2;5;2;0.35249042145593873
4;5;4;0.34449760765550236
1;3;3;0.3405017921146953
4;5;5;0.33962264150943394
1;3;4;0.33670033670033667
2;1;3;0.3361344537815126
4;3;2;0.33333333333333337
4;4;2;0.3300970873786408
3;1;5;0.32967032967032966
4;5;3;0.32850241545893716
1;3;5;0.32679738562091504
5;3;4;0.3222748815165877
3;1;2;0.31893687707641194
5;3;5;0.31627906976744186
2;1;4;0.31626506024096385
4;1;4;0.31610942249240126
4;2;2;0.31390134529147984
4;1;3;0.3127035830618892
2;1;2;0.3111111111111111
1;2;3;0.30441400304414
5;3;3;0.3024390243902439
1;3;2;0.3022222222222222
1;2;4;0.297029702970297
5;2;4;0.296943231441048
3;5;2;0.2966507177033493
4;1;5;0.2962962962962963
2;1;5;0.2953586497890295
5;2;5;0.29059829059829057
5;4;4;0.29
1;2;5;0.286493860845839
5;4;5;0.2857142857142857
5;2;3;0.2831050228310502
2;3;1;0.27906976744186046
1;2;2;0.27906976744186046
4;1;2;0.2788844621513944
5;5;4;0.2755102040816326
5;4;3;0.27411167512690354
5;5;5;0.271356783919598
2;4;1;0.2705314009661836
1;4;1;0.2705314009661836
4;5;2;0.25773195876288657
5;5;3;0.25773195876288657
5;1;4;0.25660377358490566
1;5;1;0.2561576354679803
2;5;1;0.2561576354679803
2;2;1;0.25196850393700787
5;1;3;0.24899598393574296
5;1;5;0.24028268551236748
2;1;1;0.2337662337662338
5;3;2;0.23036649214659688
5;4;2;0.22459893048128343
5;2;2;0.22110552763819094
1;3;1;0.21587301587301586
3;3;1;0.2087912087912088
5;5;2;0.20652173913043478
1;2;1;0.2033898305084746
3;2;1;0.2032085561497326
5;1;2;0.20276497695852536
1;1;3;0.19621342512908777
3;4;1;0.19540229885057472
1;1;4;0.1889763779527559
3;1;1;0.18779342723004697
1;1;2;0.18101545253863136
1;1;5;0.18073188946975352
4;3;1;0.17751479289940827
3;5;1;0.1764705882352941
4;2;1;0.17241379310344826
4;4;1;0.16867469879518074
4;1;1;0.16042780748663105
4;5;1;0.14814814814814814
1;1;1;0.14052287581699346
5;3;1;0.125
5;2;1;0.12195121951219512
5;1;1;0.1183431952662722
5;5;1;0.11538461538461536
5;4;1;0.11464968152866241
