ATFD;LAA;FDP;MCC
2;3;3;0.5225762340860024
3;3;3;0.5162579981358695
2;3;4;0.5138788381160637
3;3;4;0.508168283701065
2;3;5;0.500288303507997
3;3;5;0.49290274420389946
3;2;3;0.4710517688394591
3;2;4;0.4575630509974134
2;4;3;0.4506020736612637
1;4;3;0.4506020736612637
2;2;3;0.44856542551420314
1;4;4;0.4473132254814456
2;4;4;0.4473132254814456
4;3;4;0.44628345740123954
3;2;5;0.44192756925619464
3;4;4;0.44101582338459655
3;4;3;0.4405295851666351
2;4;5;0.43700568750694524
1;4;5;0.43700568750694524
2;2;4;0.4360269915333534
4;3;5;0.4357390024836278
4;3;3;0.4341854379989481
4;4;4;0.432918600997216
3;4;5;0.4296351698528235
2;3;2;0.42697555119798686
4;4;5;0.4236397576663598
2;2;5;0.42171004914315197
4;4;3;0.4194449055964688
3;3;2;0.4144846833947404
2;5;3;0.40278271719862485
1;5;3;0.40278271719862485
1;4;2;0.3985635444351492
2;4;2;0.3985635444351492
2;5;4;0.3969203741736111
1;5;4;0.3969203741736111
3;2;2;0.3894735003763694
1;5;5;0.3879226310083512
2;5;5;0.3879226310083512
3;4;2;0.3871135097410493
3;5;3;0.3848381298389558
1;3;4;0.3844589923247167
1;3;3;0.38343747172811454
3;5;4;0.38245176677525294
4;2;4;0.3820548144507621
4;2;3;0.38056980293128806
2;2;2;0.3779866079200096
2;1;3;0.3775542342581779
3;1;3;0.37641785351938134
1;3;5;0.37511210884852014
3;5;5;0.37266152409623965
4;5;4;0.3710040634136417
4;2;5;0.3701263546724929
2;1;4;0.3658546219330873
3;1;4;0.3645365676073687
4;5;5;0.3635614852603689
4;4;2;0.36237337123222974
1;2;3;0.3623036369040693
4;3;2;0.3616255072804572
4;5;3;0.3597622489883818
1;2;4;0.35940643657246757
1;2;5;0.34906485374371804
2;1;5;0.34796708259497744
2;5;2;0.34712688926029267
1;5;2;0.34712688926029267
3;1;5;0.3437277435484152
5;3;4;0.3405259564744225
5;3;5;0.33160215965942197
4;2;2;0.3309860197127412
5;3;3;0.32863649733945827
2;1;2;0.3271814226565517
3;5;2;0.32637367974838516
1;3;2;0.32596064953178294
5;4;4;0.3213742352560008
3;1;2;0.3203772463077525
5;5;4;0.3190652160703158
5;4;5;0.3138258842162796
1;2;2;0.31344054742051713
5;5;5;0.3112119955023533
4;1;4;0.31118060261363334
4;1;3;0.31110994627260746
5;4;3;0.3086526213120186
5;5;3;0.3034531125231276
5;2;4;0.3000757849930392
5;2;3;0.29675571103569065
4;5;2;0.29547872490664834
2;3;1;0.29529099506767337
4;1;5;0.2922264282207324
5;2;5;0.29086405641157426
1;1;3;0.2899236881116378
1;1;4;0.2869704297521885
2;4;1;0.2852369825556672
1;4;1;0.2852369825556672
4;1;2;0.27980910021298655
1;1;5;0.27926896291718795
1;5;1;0.27410921153604356
2;5;1;0.27410921153604356
3;3;1;0.27018178927720493
5;3;2;0.2623570258617523
3;4;1;0.26215245575588436
5;4;2;0.2615893600070688
3;2;1;0.25628408038167355
5;5;2;0.25546519675494767
2;2;1;0.25272281739686864
3;5;1;0.24983340770381862
5;1;4;0.2478291608864391
5;1;3;0.24641957685718793
1;1;2;0.24439789748807644
5;2;2;0.2440939996383573
4;3;1;0.24345124020463405
4;4;1;0.24118608858595975
2;1;1;0.23320480209696523
5;1;5;0.22953759523002804
4;5;1;0.22797840171592187
4;2;1;0.22553436085575282
1;3;1;0.21711824927532186
3;1;1;0.210838693383746
5;5;1;0.206909952685449
5;1;2;0.2068939798678406
1;2;1;0.2055760624187402
5;3;1;0.20394492242580894
5;4;1;0.20128499144619832
5;2;1;0.18723946985327625
4;1;1;0.18664687950971645
5;1;1;0.16563518473346545
1;1;1;0.15960703911451093
