ATFD;LAA;FDP;MCC
2;3;3;0.5528952230339349
2;3;4;0.5517016115331139
3;3;3;0.5454226110579246
3;3;4;0.5438243217288187
2;3;5;0.5392961756285358
3;3;5;0.5303956170682997
3;4;4;0.5024358665587475
2;4;4;0.501369540714818
1;4;4;0.501369540714818
3;2;3;0.5001776206746015
2;4;3;0.49612971773892073
1;4;3;0.49612971773892073
3;4;3;0.49263804702889996
3;4;5;0.4912372437232661
3;2;4;0.49111195051436807
1;4;5;0.4910627527415813
2;4;5;0.4910627527415813
4;4;4;0.47429522568872734
3;2;5;0.4734928240407925
2;3;2;0.467042244223356
4;4;5;0.4659302428086222
4;3;4;0.461789418189243
2;2;3;0.45950516480400133
3;3;2;0.4583760194168971
4;4;3;0.45522757212338444
2;2;4;0.4530211323064634
4;3;5;0.4508435886832369
2;4;2;0.44888244005725364
1;4;2;0.44888244005725364
3;4;2;0.4472053276775121
4;3;3;0.4424574108787018
2;2;5;0.4396326058396495
3;2;2;0.43855277367732326
2;5;4;0.43829327120477785
1;5;4;0.43829327120477785
1;5;3;0.43807777374795104
2;5;3;0.43807777374795104
3;5;4;0.43041671489097105
1;5;5;0.4281093522950087
2;5;5;0.4281093522950087
3;5;3;0.42696742898271683
3;5;5;0.4183310169809712
4;4;2;0.4057448973713648
4;5;4;0.39681767717460154
4;3;2;0.39648833994720867
4;2;4;0.3956810577445538
2;2;2;0.3955102520134194
4;2;3;0.3885758787476538
4;5;5;0.3875545068723154
2;5;2;0.38558692968288255
1;5;2;0.38558692968288255
4;5;3;0.38337927847467773
4;2;5;0.3798357717321805
1;3;4;0.3746147557727692
2;1;3;0.3741137620224795
3;5;2;0.3737656556327989
3;1;3;0.3728807560866882
4;2;2;0.372048316064473
3;1;4;0.36851514106208744
1;3;5;0.36729492165763317
1;3;3;0.366755309948184
2;1;4;0.3654974807243422
5;4;4;0.36499728116249897
5;4;5;0.35455573678134533
1;2;4;0.35022767284760237
5;3;4;0.3502019626512938
2;1;5;0.34984996049319383
3;1;5;0.3497796828069752
1;2;3;0.3465430324422019
5;4;3;0.3447849547685309
5;5;4;0.3447849547685309
1;2;5;0.3418216407508435
5;3;5;0.337548992532843
5;5;5;0.33432668848248576
3;1;2;0.3307022216394218
5;3;3;0.32943523042325873
2;1;2;0.3276835053224292
4;5;2;0.32387204487057025
5;5;3;0.3236184824601802
1;3;2;0.32238252054467004
2;4;1;0.3095435272257359
1;4;1;0.3095435272257359
1;2;2;0.30661661946046287
2;3;1;0.30339363788563567
5;2;4;0.30339363788563567
4;1;4;0.30329389152094904
5;4;2;0.3013664123530076
1;5;1;0.2997720552680753
2;5;1;0.2997720552680753
4;1;3;0.2968894336630971
5;2;3;0.29663144962972987
4;1;2;0.2918310388043571
5;3;2;0.2909701791130711
5;2;5;0.28971180500562765
4;1;5;0.2859176624871664
3;4;1;0.28481977033703604
5;2;2;0.28155884788220975
5;5;2;0.2778666421649137
1;1;3;0.2770642729329486
1;1;4;0.27666785132327043
3;5;1;0.2716724215846797
1;1;5;0.26865960865431715
3;3;1;0.2655873531044618
3;2;1;0.25537214216253545
2;2;1;0.25427750413013706
4;4;1;0.2518308724009397
4;5;1;0.23691615786533451
4;3;1;0.23631129201925935
1;1;2;0.23565757816408206
2;1;1;0.2344817518983912
5;1;4;0.23369043024164415
5;1;3;0.2259825346551414
4;2;1;0.22329858570407166
5;1;2;0.21737676371719747
5;1;5;0.21530618400008897
5;4;1;0.21383860442823316
5;5;1;0.21383860442823316
1;3;1;0.20660867993170517
1;2;1;0.1985254913354714
5;3;1;0.19642205389144995
3;1;1;0.19280051395478656
5;2;1;0.1825974969487553
4;1;1;0.17091316083114785
5;1;1;0.1575678515372226
1;1;1;0.15499814276081564
