Learning rate;Beta;Gamma;Dense sizes;MCC
0.0292658754816;0.846711532843;5;[29, 19, 9];nan
0.044344393946;0.76179843563;6;[56, 38, 17];nan
0.10415947821;0.854662553135;2;[53, 9];nan
0.29614056724;0.228485840972;2;[50, 26, 23];nan
0.241605868724;0.3934242171;2;[67, 59, 47];nan
0.0328506838994;0.0273384119596;8;[86, 25, 15];0.5895510061364433
0.0441646352588;0.032835167535;5;[48, 26, 20];0.5815012005373611
0.0164267192099;0.0622277219365;9;[48, 42, 36];0.5800283500726716
0.0735697893471;0.00451642988775;7;[19];0.57167361286165
0.16511406594;0.0286464728273;7;[99, 58, 36];0.5701237137581945
0.378699142057;0.306489963129;6;[100, 42];0.559648872079689
0.0516813050465;0.0199324714843;6;[41];0.5574469856954175
0.274269631085;0.00857476144909;2;[9, 4];0.5563140053309312
0.160173510675;0.00601988283176;3;[87, 68];0.5558912630493501
0.297756275276;0.0593182830159;8;[7];0.5555237629103564
0.0490326769827;0.00747698690357;5;[64, 49, 34];0.5554306808466187
0.0782617210404;0.0345026586058;7;[11, 9];0.5548438619722766
0.412229892994;0.0198261766124;2;[77];0.5539837296778359
0.209111075554;0.00603074048315;10;[70, 52];0.5518947354522442
0.0464679486142;0.042853399821;5;[48, 46];0.5491167838553049
0.192608264604;0.0565295178419;3;[98, 5, 4];0.5490334181910582
0.194421139218;0.00780463312426;10;[55, 5];0.5468707071312556
0.349281404601;0.0104010283887;8;[30, 19, 6];0.5461507111357179
0.0560422118622;0.0461233107327;7;[80];0.5455224135918909
0.0429474506332;0.00606470860195;4;[84, 71];0.5452555247711325
0.0916923482281;0.0170165852023;4;[19, 10];0.5449124104022586
0.385339463832;0.0127124050875;6;[20, 8];0.5449093703989812
0.0179333394418;0.010389917893;6;[81, 26, 10];0.5435214385970112
0.039732955357;0.00867585678673;3;[66, 45];0.5416588123405057
0.615515442852;0.060305409265;3;[17, 11, 9];0.5399887599833719
0.170500765863;0.00538966154986;9;[16, 15];0.538581164863805
0.0189687536837;0.00578213168774;6;[93];0.5384910235649957
0.0972415701947;0.0067141714503;6;[76];0.5368034605364607
0.0609073229312;0.0182851248208;10;[93];0.5355281131806796
0.011380212329;0.00340057670572;9;[98, 22];0.5355281131806796
0.273900505351;0.067548686609;4;[17];0.5354027763440916
0.0476469367784;0.0071546828257;6;[74, 21];0.5348158389091007
0.584943559029;0.173957225892;4;[67, 39, 17];0.5343982488501763
0.0576124930616;0.00760572367971;4;[50, 6];0.5330480340868149
0.0305131573862;0.130239248676;7;[67, 54, 32];0.532612250934867
0.258445985381;0.0104896979535;9;[21];0.5319492614281894
0.119274765411;0.00408106356685;7;[98];0.5295630581020772
0.212987774469;0.660634920021;7;[79, 51];0.5294621693688454
0.0281062957081;0.0074977186845;6;[76, 23];0.5282735420430401
0.685906679274;0.0659890866797;6;[98];0.5282479077313339
0.0273595270882;0.0175857266647;10;[37, 28];0.5279558218030441
0.0478557670886;0.642921500562;10;[84, 25];0.5279558218030441
0.0190938609146;0.00519141771848;5;[85, 25];0.5271116299888344
0.130918769242;0.021332393464;5;[7, 6];0.5270361089596216
0.744997230719;0.00386364317408;8;[59];0.5260377376719482
0.0716792435515;0.0424884328333;10;[81, 52, 28];0.5246169797238637
0.0293189597427;0.182596062984;5;[42, 33, 19];0.5236383654526046
0.0583836518477;0.300390180321;10;[86, 48];0.5233758518845107
0.0703589722251;0.0691779413139;6;[92, 43, 11];0.52268221139538
0.109342740709;0.220921315319;7;[94, 74, 23];0.5202004206313751
0.10064082013;0.161998265715;8;[54, 9];0.5198701704842934
0.0243757236054;0.109681169902;8;[54, 41, 17];0.5193259724458846
0.0549808415707;0.439288724811;7;[68, 7];0.5189300051909498
0.055304771807;0.323284872941;9;[93, 32];0.5179581082157643
0.0114959099124;0.670642009992;9;[100, 40, 39];0.5177622750247587
0.0653799636064;0.209755476587;9;[94];0.5168905577602901
0.0426565006598;0.392392354923;8;[28];0.5160647831729435
0.0748158756962;0.229111688335;7;[58, 44];0.5156791617950969
0.284492512312;0.0437083976487;1;[46, 16, 9];0.5156703444001987
0.0553955732758;0.772576265177;10;[77];0.5156466906862046
0.0664889353332;0.778880797974;10;[31];0.5156466906862046
0.631000163355;0.125910608408;4;[91, 38, 35];0.5150888081954746
0.0408756152222;0.444891468694;5;[50];0.5143299200667139
0.0350003534407;0.00514596735489;10;[54];0.513908517011185
0.0286596773057;0.00468856600944;4;[57];0.5116876542658854
0.172383927686;0.0129317608477;3;[4, 4];0.5108610305156169
0.111129635229;0.041972443209;8;[51];0.510754881701448
0.0127670115271;0.0162744366312;7;[21, 20, 17];0.5104440472711853
0.0921879848025;0.0169066502268;2;[76, 32];0.5101331284753946
0.0268460649601;0.114253925867;5;[70, 66, 66];0.5100002634948184
0.0232947657867;0.00945862784913;9;[18, 16, 10];0.5093440367465686
0.454760306863;0.0299195652566;3;[92];0.5093440367465686
0.0160425507907;0.727924941734;8;[43, 37];0.5093440367465686
0.0930790632555;0.0222912684078;7;[24, 23];0.508281123821849
0.155051007665;0.10033206213;10;[69, 62];0.5072510080064774
0.197350276277;0.0211029485151;1;[87, 8];0.5067266381613186
0.350229717988;0.010611893895;4;[57];0.5058227306920148
0.318696107946;0.0424660384955;8;[17, 16];0.5053737945151754
0.0174014528171;0.310718476699;6;[91, 27];0.5048178070714732
0.0113986998498;0.546251045447;10;[70, 50, 41];0.5046969954463689
0.023791754474;0.789411958702;9;[22];0.5046969954463689
0.0470971981424;0.0095443587949;3;[67, 59];0.5034952226590227
0.048259472052;0.149190708393;4;[75, 31];0.5017145185399373
0.315568315417;0.00906871240027;4;[74];0.5016609885478613
0.701947275845;0.0200690273264;2;[45];0.5002978062872667
0.029501045952;0.00388916115099;4;[88, 20];0.4948090347403712
0.331631281177;0.341426060735;4;[69];0.49259515026449563
0.33709285071;0.209223011478;3;[89];0.49109579263451797
