Learning rate;Beta;Gamma;Dense sizes;MCC
0.00936840280888;0.00326438238783;9;[71, 37, 32];0.5767486533089738
0.0847889490891;0.0181035808167;5;[69, 19];0.5767457626540918
0.0805572415956;0.01358955807;6;[61];0.5744936534013377
0.0548321093433;0.0669252945016;9;[51, 48];0.5728217282410752
0.0705650712766;0.00357558092233;7;[42, 12];0.5696397518710775
0.0200835521515;0.00833074906316;6;[92, 92, 45];0.569235531303879
0.0239189772783;0.0163160738633;8;[29, 27, 21];0.5668476670026082
0.144535881948;0.0107935649537;6;[63, 48];0.5641862868406687
0.040568996341;0.0165512178737;8;[92];0.562304787564495
0.0178058173113;0.00371721608407;9;[97, 46, 24];0.5606940516876271
0.0350530561773;0.0136663131068;9;[28];0.5604682769520773
0.0738740447706;0.0171539428893;10;[91, 35];0.5597934097633468
0.0622712601516;0.00403369993405;6;[73, 47];0.5597108240804525
0.712295160516;0.052961228704;5;[58];0.5588385598246193
0.248757915041;0.0368393521839;3;[75, 61, 33];0.5566496329054479
0.08088990693;0.0159959489715;7;[43, 6, 5];0.5526506348751501
0.207738082167;0.00633048681481;6;[23, 18, 12];0.5510860532367245
0.494471928489;0.189939787923;8;[49, 10, 8];0.5503350068195082
0.249358432351;0.0206815532609;5;[72, 64];0.5480001331350326
0.280984980773;0.00324176210285;7;[99, 23, 11];0.5457470662574748
0.786279761694;0.00614084045336;7;[18, 8];0.5438393442896517
0.129810457378;0.0548110218499;5;[46, 19];0.5437618683911516
0.512914152995;0.0140679411127;9;[66, 30, 30];0.5429894992178568
0.522052432665;0.0131879910209;9;[49, 42];0.5418369346800721
0.34866215936;0.01823066532;7;[29];0.540963757753619
0.333619709026;0.0151045863543;3;[29, 18];0.5405793312269299
0.365180600302;0.0102268180085;8;[68];0.5398926396906618
0.0539176726175;0.350764982406;9;[98, 22, 13];0.5387934901057556
0.116555946355;0.332307358626;5;[98, 95, 60];0.5381453434379752
0.0935910189867;0.00411907993845;10;[9];0.5367634412660233
0.181196176019;0.330776408925;9;[29, 7, 4];0.5359477764594988
0.0569435293323;0.672934285714;9;[56, 29];0.5358493122087479
0.0177404051171;0.792182773666;8;[71, 69];0.5355398231934471
0.287277008884;0.0164552647914;2;[95, 71];0.5353523865236437
0.437013809637;0.0234270422026;6;[37];0.5339219257982675
0.30007494592;0.00929370559619;5;[97, 64, 37];0.5338184307201044
0.030909119358;0.0830972663035;4;[64, 43];0.533508848001658
0.0368999483503;0.656089876456;9;[51, 33];0.5334403831391371
0.191868849065;0.395478316559;7;[85, 34, 8];0.5334403831391371
0.0186902317049;0.115091620848;7;[58, 13];0.5328580475191554
0.0527400298911;0.0392719183277;3;[95, 35];0.5327182671771665
0.317591284748;0.345464048292;10;[52];0.5316930911892898
0.16051065332;0.0106573817771;5;[32, 25];0.5315433915866764
0.327611686531;0.0038640140848;8;[28];0.5307310262318197
0.690621024497;0.0229973917455;4;[5, 4, 4];0.5303940295643839
0.017014377634;0.0675922747238;8;[60, 49];0.5299006858415587
0.0445800691511;0.0176461019518;2;[71, 48];0.5298038739288621
0.0255611455439;0.122458028396;4;[34, 16, 12];0.5283810885869801
0.217386591767;0.00413997204173;4;[49];0.5280547471619468
0.00607943924376;0.420358253164;9;[80, 49, 5];0.5267229026936552
0.373304603367;0.15543451022;5;[10, 10];0.5266279735956454
0.260793763182;0.0510105594214;6;[66, 62, 47];0.5255804501994852
0.110119795303;0.063245788229;5;[37];0.525058288266951
0.0316147775107;0.00595137942888;6;[77];0.5235007256650793
0.231653336981;0.268976518768;8;[69, 45];0.5234060114184697
0.0329300370817;0.432235437375;10;[48, 38];0.5229455863494454
0.106598095261;0.121520659679;5;[13, 6, 4];0.5227014164397945
0.043294940774;0.319567751214;9;[10];0.5226577185828454
0.052562885001;0.345347683902;3;[37, 9, 6];0.5224840728072823
0.044371185638;0.0424632384999;6;[21];0.5223672592995607
0.102174894689;0.116305692518;9;[88, 47];0.5217519320015628
0.239572788617;0.0445028203179;2;[17, 12];0.5199891788602232
0.0335879912056;0.067483991555;3;[70, 57];0.5197257051388797
0.0578305637867;0.420402548641;9;[48];0.5187260504069284
0.111861012534;0.00445714969463;8;[4, 4, 4];0.5183228756030174
0.0795524723832;0.682196356704;7;[43];0.518003767954917
0.0301513401788;0.0324330988593;6;[97];0.5171647614009937
0.0681781591024;0.696134150858;9;[43];0.5167522835803172
0.0922886940282;0.0753836197277;5;[80];0.5162902321482414
0.324765188458;0.0158963278292;7;[82, 58, 55];0.515764523111972
0.0500056829492;0.326478673613;8;[84];0.5150685101310608
0.0587318518049;0.184774516873;6;[72];0.5148203999623738
0.136055652478;0.157694704337;8;[62, 42];0.5137777116439894
0.134391484308;0.0251044500232;2;[28];0.5125654463170896
0.127632488685;0.0171864559763;2;[69];0.5125532134135995
0.177505829706;0.0648127414579;2;[90];0.5104806413895056
0.39326287539;0.281612582152;6;[4];0.5099321886846551
0.16904531677;0.0124850574165;1;[97, 42];0.5088224773453072
0.122985302217;0.353933828525;7;[20];0.5084381933385428
0.0321389750993;0.209123598197;6;[50];0.5079362794909366
0.0115203578398;0.432061574995;10;[72, 26];0.5074972485745272
0.209834890152;0.105993123225;10;[63, 57];0.5055060036217328
0.0290080531023;0.707706994778;10;[5, 4];0.505469564186436
0.340891794031;0.0395451438864;2;[89, 39];0.5052477294347897
0.00956431172595;0.00354141199542;7;[91, 58];0.5052141536116187
0.0452177567436;0.160069328854;4;[75, 50, 16];0.5050306685679805
0.0196512655882;0.125135390256;5;[80, 4];0.5046651362368665
0.257443298504;0.250582203863;4;[12, 7];0.5046177723037815
0.0309644116019;0.200204851013;5;[75, 37];0.5042162109330565
0.0290257903285;0.0661596368078;9;[40, 11];0.5041222561577299
0.607621320828;0.0739214454684;7;[68, 34, 7];0.5028622600511837
0.407788751961;0.00607272051521;6;[80];0.49944029700020465
0.286072602586;0.0645435707512;1;[100, 56, 48];0.4994085909751577
0.423285180107;0.00538403116167;3;[74, 31, 20];0.4971583544664535
0.224696662098;0.00953672249049;7;[60];0.49575013701291976
0.0528640538545;0.20321475508;10;[5, 4];0.4946066700920393
0.00909290152697;0.0794903009302;9;[76, 42, 25];0.4930578059610246
0.00747177383232;0.336404171362;10;[81];0.49156333863382073
0.225660464857;0.00996793960377;1;[31];0.49148629245151276
0.00646623947273;0.242640523887;8;[78, 22, 5];0.49120567079108424
0.477606700991;0.0745451428207;9;[14];0.49062867658814596
0.40143487067;0.0903208393402;7;[10, 5, 5];0.4893685994561131
0.693773654278;0.112173531635;3;[11];0.48469546953224785
0.34547083708;0.72021715951;9;[20];0.4823214094595593
0.503148315358;0.107977805896;6;[24];0.48061926326793636
0.630493627628;0.0584817502958;10;[46, 6, 6];0.47543359805776125
