Learning rate;Beta;Gamma;Dense sizes;MCC
0.121972333309;0.622872562314;2;[65, 65, 8];nan
0.176221321357;0.547044183328;4;[36, 31, 16];nan
0.0428923106822;0.895669054298;4;[27, 4, 4];nan
0.0637656210073;0.983782477966;8;[59, 29, 15];nan
0.420188255583;0.289090248723;2;[87, 69];nan
0.0377334846146;0.831039638618;2;[62, 30, 22];nan
0.0122761777615;0.0550541691078;10;[43, 19, 8];0.5882518928608337
0.050115534242;0.0419168678646;10;[30];0.5842452573862663
0.0775574031411;0.0505239796807;7;[45, 36];0.5841022428806896
0.297507734477;0.00609140925952;5;[97, 38];0.5775899157396328
0.0612905153002;0.0298716377442;7;[55, 37];0.5768734585816852
0.0513289834829;0.00493217544402;8;[99, 44];0.5765044587132115
0.0941087432682;0.018485027517;3;[43, 38];0.5759655306000675
0.151456451646;0.00762182958474;9;[91, 75, 15];0.5744989509356448
0.269034365439;0.0364176682746;4;[9];0.57260867992624
0.0516639000268;0.0615013613243;5;[43, 41, 9];0.5716391228989017
0.0744394530207;0.00472681851159;8;[88, 49];0.5709805576994649
0.097780574504;0.00651198313068;6;[61];0.5702401280192406
0.395715306162;0.0229281465491;1;[98, 16, 8];0.5674419933217234
0.19459903003;0.00385152144872;9;[34];0.567066912108578
0.172933669322;0.00462164537629;7;[91];0.5652959595742792
0.082818969118;0.00942541715254;9;[33, 19, 15];0.5651578657766133
0.0341477081923;0.0426808987268;5;[95, 47, 16];0.5649291827833383
0.0704247480158;0.00722389430058;4;[81, 20, 20];0.5610638820537915
0.00938678427108;0.0717353508649;10;[80, 10];0.5606157186102895
0.668896145548;0.00811132384937;7;[90];0.5602195792690847
0.00640019065585;0.310730759684;8;[100, 94, 80];0.5590450200220354
0.171938210274;0.00600581584298;4;[10];0.5588146890467186
0.0211094686618;0.119024969527;7;[56, 46];0.5587601698108507
0.124209897168;0.0259102759258;10;[31, 12, 4];0.5587601698108507
0.178841545644;0.0618019820453;10;[6, 4];0.5569837105224655
0.028885196384;0.00382754200786;9;[56, 24];0.5558189388576424
0.0199074879543;0.0208997129283;8;[78, 20, 15];0.5539964268348031
0.144885836997;0.0257365169511;4;[40, 8, 4];0.5536188806851773
0.140338211847;0.0708007232096;4;[86, 15, 5];0.5513830243208304
0.0160427416127;0.0275801336179;8;[76, 60];0.5506729086078636
0.229009293377;0.0161683522856;8;[68, 42, 21];0.5498615807003167
0.0132016814539;0.054358932042;5;[46, 32, 21];0.5491545125185915
0.166624333034;0.00448347975914;8;[89, 64];0.5474777697667925
0.0318581709726;0.00691575939548;10;[93];0.5461397668463405
0.0151399845785;0.259762653367;9;[66, 43, 33];0.5457051273191321
0.1188785679;0.00851255612092;5;[11, 6];0.5457051273191321
0.899569023604;0.0260200460527;2;[25];0.544577730581922
0.238685102843;0.103127988646;9;[48];0.5443014452604601
0.294620453185;0.0105258332402;7;[76, 58, 42];0.5438657964936354
0.647797338885;0.00822859848673;6;[84, 22];0.5435708902860016
0.0830788585637;0.0446642077862;3;[19, 4, 4];0.5428712801852135
0.0898670006567;0.074731602951;2;[18, 14, 11];0.542740768630755
0.0199909835285;0.0459543243424;4;[60, 58, 36];0.5424988606607523
0.565484187807;0.0131461148855;4;[7];0.5420367240435705
0.149626057829;0.0473781373761;7;[62];0.5410924335885893
0.030906946454;0.123960083433;5;[84, 27, 9];0.5409321770599623
0.479598143319;0.177483014608;6;[43];0.5399151962288435
0.105667729715;0.0513007661646;5;[93, 27];0.5378002810023182
0.171734037853;0.0712913917078;4;[16];0.5376743160258252
0.133766822667;0.0826477972213;8;[31];0.5361027463385464
0.136773419713;0.0340265265608;9;[65, 49];0.5347381261336723
0.01722747518;0.0895695465376;6;[90, 42];0.5336568394968713
0.128355411624;0.078808338289;5;[67];0.5332572611248783
0.0199822619943;0.0365530885855;5;[99];0.5328777290319755
0.255176613998;0.0128007653854;8;[93, 13, 5];0.532804173726095
0.162698189139;0.0578996040268;4;[37, 12];0.5297408986481571
0.0138952620236;0.296771087297;10;[54, 22, 11];0.5293374913931502
0.953128524692;0.00684774304815;8;[18];0.5275375760834047
0.0471140989459;0.0317521346238;5;[66];0.5260462224606632
0.69881560466;0.0375160030856;1;[37, 23];0.5253756754493073
0.107188469123;0.0242387909836;10;[51, 18, 10];0.5250208426331648
0.86641998312;0.020390029567;10;[14];0.523951379230022
0.0631945854217;0.0763293232623;7;[95];0.5237943664258966
0.0170559519196;0.179037864876;8;[76, 7];0.5233239808890395
0.0106940499538;0.00463510480174;9;[97];0.5220976202386278
0.231111330084;0.0206869829483;8;[43, 36, 5];0.521612810245125
0.068464332678;0.594729469428;8;[45, 22];0.5210826893813452
0.0509083020996;0.00861081549319;9;[38, 8];0.5194682119795827
0.466002184974;0.249696814258;8;[31];0.5194682119795827
0.0213018303897;0.0552054907638;10;[27];0.518149125713512
0.408348408187;0.395771199238;4;[84];0.5166194410094092
0.134479945849;0.319827452281;8;[84, 48];0.5145025042788972
0.206667048874;0.0320503943076;8;[60];0.5136825473052864
0.0059163578679;0.0960339164177;10;[95, 62, 12];0.5129947173233351
0.212641912148;0.00666557338331;10;[74, 46, 10];0.5101366482828934
0.0665366464926;0.221513880335;6;[27];0.5074177256287596
0.238081009069;0.221636984504;8;[71, 44, 6];0.507221178476098
0.116392493893;0.209702221643;7;[69, 35];0.5063011289811681
0.0753564074084;0.0850718382844;4;[41];0.5060994625252027
0.749826573332;0.0168405716723;4;[65];0.5046472287530942
0.736115189561;0.00407964307483;4;[31, 31];0.5035640135846776
0.393909680858;0.116187488585;3;[92, 75, 40];0.5033539282124023
0.0602576551618;0.468015468145;10;[83];0.5030826737754692
0.392459545568;0.207284799783;6;[20, 19];0.5003330884895975
0.0434636580611;0.00701376829611;10;[87, 72];0.49988900035676154
0.493256020244;0.0344595724525;7;[71, 44];0.49804387392905236
0.0181107839568;0.0525413204101;9;[95, 90, 57];0.4965963143447657
0.940962040134;0.0229188653828;2;[79, 45, 44];0.49579876239835435
0.0132601432416;0.701950780599;7;[63];0.49558354171391056
0.141524791028;0.222294036691;5;[44, 40];0.49543106178455276
0.777835937107;0.0550305429489;4;[27, 15];0.49461910354629246
0.149552224903;0.116547607104;3;[51, 22, 8];0.49428546133577894
0.119231222686;0.270071837765;9;[15, 9, 9];0.49375924080776595
0.373309508468;0.00752634290858;10;[66, 54, 4];0.4935167656343838
0.510978343643;0.0210133242143;9;[83, 16, 7];0.4933404680981944
0.0250248180399;0.010937647782;9;[41, 8];0.4932095649383187
0.180109112672;0.298197002048;6;[41, 14];0.49268785882682675
0.0488493780088;0.819203688312;7;[14];0.49231582855160605
0.115703804584;0.0197508706988;10;[6, 5];0.4912980687907569
0.161388369384;0.655901023983;6;[99];0.49026778374755603
0.63848664979;0.273111213528;9;[49, 24, 6];0.4900277620374018
0.863981158724;0.100586437002;4;[5, 4];0.4894626687428671
0.0245614794491;0.0160973074568;8;[73];0.4883958307101728
0.00925887630845;0.176557760887;10;[88];0.4873331191231875
0.0319987046039;0.275972826216;5;[90, 63, 47];0.4859060753048118
0.429367680482;0.0395964043668;5;[60, 15, 7];0.4840592565241246
0.0618169627238;0.0556328546001;10;[48];0.4813818563465353
0.402618537622;0.0060197308277;7;[11, 10];0.4803272174675381
0.745295531095;0.147603823458;7;[91];0.4779761173654907
0.0259708144208;0.12907943395;6;[77];0.47750923932480493
0.60614007594;0.10999191075;10;[46];0.47747656511093833
0.0467389308684;0.209778558791;8;[43];0.4743171006691126
0.078938723484;0.790975899524;5;[93];0.47399824239497096
0.037709965587;0.00550491315738;8;[22];0.46898530065452404
0.676746955391;0.342132367924;8;[31, 27];0.45935532494090303
0.987481416825;0.0069391625293;6;[97];0.45818302720879445
0.725899443657;0.006234085764;8;[77, 64, 40];0.45796909114533596
0.328281253847;0.0473959009405;7;[41];0.4530304122267021
0.193775458321;0.00323858526151;8;[6, 6];0.45027900381735403
0.465916509537;0.370462923015;9;[57];0.4217233935506847
0.173284095544;0.31241953029;4;[23, 23, 19];0.41983099508676225
