Learning rate;Beta;Gamma;Dense sizes;MCC
0.26722629899;0.296537500673;3;[51, 6, 4];nan
0.195288213435;0.424402378154;5;[7, 6];nan
0.288593965206;0.188215102421;2;[8, 6, 4];nan
0.265117458315;0.0924188440702;10;[28];0.5678313344990797
0.0876598961281;0.22884930299;8;[97, 15, 13];0.5550105904426846
0.766464526246;0.00443531803456;4;[96, 36, 28];0.5534258151640403
0.858476831424;0.0527130687652;4;[87, 61, 40];0.5461728053434449
0.0287263581678;0.00554918636411;9;[72];0.5452675280987693
0.249202449983;0.00574334844112;9;[34, 18, 17];0.5443436350818304
0.914978007889;0.0044152813416;5;[37];0.5402684530733952
0.203951591918;0.312935278653;5;[56, 10];0.5381795635509055
0.022181828716;0.182663711717;4;[71, 49, 20];0.5378790181675075
0.330020826109;0.091550919806;4;[31, 25, 13];0.5344686013458783
0.0383417007877;0.231196708767;6;[10, 10, 4];0.5335079558020352
0.30885313557;0.0688784714927;3;[81, 56];0.5318548813315166
0.514878604342;0.0324741886112;7;[96];0.5310742674445263
0.0394756339054;0.0915648918394;8;[51, 32];0.5308170995673936
0.314435128229;0.2989004137;6;[35, 22, 18];0.5307345871264074
0.307691080034;0.204300239118;5;[74, 19];0.5298304018187291
0.0352872003585;0.128683255004;4;[24, 7];0.5293917574422129
0.033634562827;0.289229323699;8;[59, 39];0.528429808310119
0.164713623873;0.368110303176;9;[66];0.5280273263220588
0.144176317248;0.279250623313;7;[81];0.52695112782865
0.339160678948;0.158305496116;5;[81, 24, 23];0.52695112782865
0.0510556573701;0.077216544491;6;[99];0.5253310419283651
0.072275358955;0.381902418435;9;[71, 45, 17];0.5247092505138008
0.167592524928;0.426063968002;6;[35, 20, 11];0.5246617548658714
0.252197262781;0.299348011957;10;[40, 39];0.5230500976256016
0.09258797759;0.161707270026;9;[61];0.5227639538719207
0.533593531588;0.136473457602;8;[87, 47, 41];0.521292662190086
0.228615436272;0.0962351167939;9;[83];0.5211164962535604
0.132147526771;0.0576711615285;4;[65, 60];0.519733518227317
0.148305295436;0.0957793374088;10;[65, 13, 12];0.519733518227317
0.219998613652;0.168473258403;4;[36];0.5183268353076937
0.391454865808;0.00405838403498;4;[14];0.5171869619106899
0.0539995547154;0.0708388087877;7;[81];0.5170709278821043
0.288477461386;0.0047398384028;1;[93, 62];0.5145281929480633
0.0419089019337;0.439363107141;6;[76];0.5143072298974097
0.046252149722;0.29514208692;5;[93, 4, 4];0.5143072298974097
0.0134383388374;0.80082245018;8;[63, 58];0.514167006622883
0.0352704628654;0.0152701777346;8;[51];0.514167006622883
0.0514203300365;0.0141253929507;7;[50, 9];0.5133596114328987
0.0484244196094;0.0446173407779;10;[64];0.512801981076288
0.133452926184;0.158032651735;9;[87];0.5127127696830656
0.0777017896379;0.0510412485387;4;[89, 47];0.5114475144115411
0.125998966511;0.0381352817008;8;[61, 39, 28];0.511414316872279
0.0303855413279;0.124036610194;5;[85, 68];0.5113226286870223
0.698993227503;0.0114009933214;10;[42, 6];0.5108158987945177
0.554799926469;0.0589613374687;6;[70, 45];0.5102848597241223
0.0816515426832;0.0735071520762;10;[98, 67];0.5099434688058488
0.0188158362961;0.822403739876;10;[33];0.5090435812966216
0.01479194634;0.00368870379411;8;[97, 75, 9];0.5090435812966216
0.0404743901735;0.162252556119;6;[89];0.5085751455280033
0.0700963500179;0.0615954451132;4;[81, 52];0.5081298383596946
0.0178073350836;0.0541258908508;9;[70];0.5074461190136047
0.569977962029;0.016393838422;7;[96, 75, 15];0.5072175169922056
0.269937309146;0.0113627147157;7;[99];0.5066949866895085
0.16136005545;0.0136153479447;4;[40, 38];0.5057102359756508
0.0513751291896;0.0458063294907;10;[89, 42, 4];0.5051977420194087
0.0516715064428;0.120338499958;9;[96];0.5027920843318088
0.0100142574983;0.463976424664;9;[73, 38, 15];0.5027920843318088
0.358004498157;0.203432693157;7;[13];0.5027426649857027
0.655751045246;0.00321613710202;1;[61];0.5016080198358936
0.552608062699;0.139345058275;3;[34, 9, 9];0.5007507967265782
0.127386952372;0.00455601555252;3;[71, 50];0.5005850081297996
0.313116109478;0.00957404566715;6;[93, 54];0.500185795209959
0.372151174807;0.129197457882;9;[26, 22];0.4989727319836513
0.0852302110952;0.0325442820396;7;[70, 13, 5];0.49845481425896476
0.043197862726;0.0152891147263;4;[61, 57, 28];0.4976200647517485
0.323580156371;0.129533515494;10;[10, 5];0.4976200647517485
