Learning rate;Beta;Gamma;Dense sizes;MCC
0.138627208872;0.278000877555;2;[75, 28, 27];nan
0.0694938209666;0.968647613196;4;[67, 14, 4];nan
0.263339805524;0.15267615619;1;[49, 30, 10];nan
0.153012235404;0.0056759199249;4;[95, 33];0.5859830344649329
0.032555186194;0.00418193405886;4;[20, 19, 14];0.56857558113989
0.263034097454;0.0140951105225;8;[40];0.56857558113989
0.0723674918374;0.182994397451;8;[36];0.5683496244214739
0.101717900677;0.00653842802761;4;[84, 80];0.565573763474896
0.299982986735;0.00693302422013;8;[94, 80, 52];0.5635845221449637
0.0224326549606;0.00940971896194;10;[77, 22, 19];0.5629767031489454
0.0127336798522;0.0726776790262;10;[64, 31, 18];0.5629109541254644
0.0247702558287;0.466950595256;9;[74, 72];0.5621705111030167
0.225639212228;0.119587566443;2;[49, 35];0.5618248582299923
0.479390580491;0.0181202447949;2;[52, 48];0.5604908796237056
0.297416607309;0.00346561820724;9;[28];0.5602123351996856
0.0737828253964;0.00382658701655;10;[98];0.5597067940170062
0.212648488421;0.158224600667;3;[35];0.5593565454906894
0.0252564758966;0.327499472858;10;[97, 66];0.5588391906710413
0.0636661075008;0.513181008295;9;[93];0.5588391906710413
0.147405721497;0.182068868423;5;[73, 55, 19];0.5582109770198105
0.326691828722;0.046688776321;7;[82, 43];0.5575292444916119
0.186487871816;0.131442383025;5;[67];0.557485360061705
0.0437867793927;0.607376238029;8;[44];0.5572594801045418
0.170441488956;0.346401501703;5;[52, 6];0.5572594801045418
0.0438737500283;0.0512500470566;4;[65, 26];0.5560484207782952
0.180438806283;0.00449156868985;3;[31, 17];0.5559716835265279
0.0311201412533;0.00479524588096;7;[70, 67, 49];0.5549147684906997
0.0334434695082;0.216829239236;8;[81, 30, 6];0.5545291575441804
0.0426598190698;0.0134508286086;8;[42, 31, 7];0.554288854575934
0.0830170546913;0.286360845318;9;[19, 5];0.5524559025052116
0.0635237576634;0.00804952979447;8;[50, 27];0.5516080060836194
0.0567351292027;0.0557859443344;9;[28, 11];0.5499007171247795
0.0145772252263;0.0101943527292;7;[80, 32, 25];0.5496395512009767
0.0951863465297;0.517468893964;8;[35, 20, 6];0.5490298324919703
0.0263468937159;0.15235697511;4;[59, 16];0.5489422345518603
0.920638493583;0.00996121039132;6;[72, 24];0.5481080436082147
0.154401864216;0.355390305518;7;[46, 44, 27];0.5464057547720348
0.110527797192;0.0828660112163;8;[75];0.5459565320626968
0.014335582409;0.0964449560607;5;[88, 29];0.5455535029402452
0.0308343243717;0.546373435387;10;[69, 20, 5];0.5450605800139793
0.651809979345;0.00530271423595;3;[46];0.5444826649616418
0.0673474366075;0.29597819179;10;[76, 21, 20];0.544436888394952
0.0259016264659;0.612411710017;10;[37, 37];0.5444118249900193
0.0204385672043;0.0282860272032;9;[57, 15, 7];0.5442861891113003
0.103486514141;0.383368655448;6;[53, 20];0.5442121380131307
0.142260839452;0.0119498267966;2;[90, 41];0.5439973524377265
0.114118873321;0.0470887871362;7;[30];0.5432425460672079
0.353781038948;0.0605022590139;6;[55, 43, 17];0.5432425460672079
0.878849144641;0.0130893555446;1;[71];0.5431658057159032
