Learning rate;Beta;Gamma;Dense sizes;MCC
0.0433738942118;0.8989471211;5;[66, 57, 44];nan
0.624377602242;0.149825547106;1;[52, 37];nan
0.391999703516;0.1253439408;1;[35, 5, 5];nan
0.0440530431332;0.0435907578867;10;[59, 24];0.5885566646064435
0.0387317559346;0.00393764353779;9;[87, 67, 16];0.5760651034601538
0.333880773809;0.0953071858295;9;[74, 41, 28];0.5747761474433174
0.0833111223001;0.00502705413084;5;[18, 9, 5];0.5732849308335635
0.0539297360744;0.0345569748477;8;[35, 16];0.5731279372644523
0.148814044904;0.00316776672431;6;[64, 19];0.5728461356219438
0.0826618718394;0.0417964882773;10;[68, 46, 10];0.568932403270728
0.0809074175117;0.00418030846318;9;[58, 22];0.5673642524912117
0.705231667551;0.0245020846122;6;[78, 22];0.5673365349278118
0.417111568825;0.0865443830946;6;[44, 10];0.563250776446931
0.0376995096541;0.00328857279553;8;[93, 4];0.5606676765554558
0.155690863785;0.00785344336287;4;[62, 4];0.5602758545999789
0.0634861405839;0.0154057295372;5;[80, 68];0.5581269702901702
0.571563292065;0.0101224436472;8;[54, 17, 8];0.5577643009070484
0.274714835176;0.00471455110974;4;[36];0.5554182482547938
0.141309275207;0.0077962424984;8;[53, 43];0.5545272497736343
0.188631226501;0.00535525976103;5;[9, 6, 5];0.5501034745941751
0.179840725847;0.00369838570682;8;[75, 57];0.5499568691937319
0.0497325837078;0.0210437164659;10;[80, 45, 13];0.5479830560439927
0.628209647389;0.0049463608548;4;[77, 35, 14];0.5457732806804881
0.0990046474928;0.00859027667243;2;[22, 19, 9];0.5451511181026449
0.039421436179;0.674494832462;9;[53, 51];0.5418855356843307
0.117103481891;0.494793316272;8;[56, 19];0.5416717105207943
0.351505519946;0.0417666529352;4;[38, 24];0.5401359587163462
0.123633502885;0.00725533141802;3;[71, 65, 37];0.5392880579369757
0.192186964058;0.00529363443407;10;[19, 19, 18];0.5385755865658339
0.143713872977;0.00524475138889;5;[72, 70];0.5376367303095668
0.026014153716;0.00354644605086;8;[92, 74];0.536978407458754
0.0238455167429;0.0865501985152;5;[80, 41];0.5358420725923512
