Learning rate;Beta;Gamma;Dense sizes;MCC
0.105091237242;0.598848950627;6;[24, 18, 14];nan
0.0572004302736;0.00441972253128;10;[25];0.5994399306486238
0.0916637229923;0.00380461127641;9;[80, 34];0.5945067199296447
0.068879247846;0.0193740426815;10;[62, 7, 5];0.5936058113163544
0.0651528540379;0.0380492035414;8;[65, 8];0.5839765197117519
0.409180358462;0.00755411955012;7;[35];0.5808787440179568
0.0816714753517;0.0423066122778;8;[37, 32, 7];0.5804830565015524
0.213510590478;0.0112923308603;4;[33];0.5776993693089606
0.0453471052668;0.0115387468654;7;[35];0.5768422732240153
0.11872356882;0.0496973875529;6;[21];0.575830419022844
0.0114775254252;0.0269372484681;10;[87, 46, 21];0.5750618973530267
0.0167832714694;0.00495333518112;10;[33, 7];0.574134057134217
0.347486043959;0.15141174314;10;[59, 40];0.5720819870666827
0.0691210293117;0.034847451811;7;[29, 14, 9];0.569700244850105
0.359558455342;0.333596120618;8;[9, 9];0.5663670108065472
0.0845324560343;0.0215985846359;4;[13, 12, 6];0.5659591808557434
0.0914958890267;0.0146497821389;9;[98];0.5657164874224174
0.903027703762;0.018193908423;7;[78, 46, 17];0.5653655709089689
0.278215680121;0.00902094492574;2;[95, 72, 52];0.5636648059431476
0.204931818403;0.0128202548734;9;[39, 20];0.5635083519651355
0.445393448764;0.0657340918087;6;[24, 22];0.5632093683760195
0.0340025950646;0.0264485729337;6;[82, 25, 13];0.5626512138000549
0.0402381982915;0.00527576361046;3;[48, 47];0.5616463105590872
0.320420099217;0.0100391329337;3;[16];0.5609401445066815
0.541829859705;0.00794976236874;1;[30, 19];0.5607992539829078
0.699932894679;0.00942986126319;2;[64];0.5606969637202047
0.388071095247;0.00417500180418;10;[82];0.5605403774580299
0.194104864886;0.0133309454105;3;[37];0.5597219911390293
0.0815131248823;0.00662814840675;6;[68];0.5579490822198886
0.101409750488;0.00363091098966;6;[67, 11, 10];0.5579076636172597
0.230395895839;0.00904327679945;7;[7, 6, 4];0.5572838848313096
0.831777316609;0.0487728645041;1;[59, 54, 27];0.5571135087333835
0.152266650303;0.0183920606361;3;[55, 51];0.5565310833629847
0.217978574251;0.0103533010433;2;[16, 13, 8];0.5542800916245965
0.137085141664;0.014415744298;2;[16, 15, 10];0.5535858230597533
0.13969695789;0.0437839789017;3;[28, 5, 5];0.5530781830685287
0.474337168983;0.0345650111159;6;[19];0.552926192721392
0.0170021120709;0.0357485892473;8;[83, 66, 39];0.5527331538245492
0.0103068829737;0.0127410771573;9;[77, 66, 45];0.5520969007859821
0.022278189219;0.0264854849935;5;[96, 81, 50];0.551683705982581
0.0151704229984;0.00924044049601;6;[74, 41, 29];0.5506428034529189
0.374412912099;0.058518511266;5;[76, 50, 39];0.5498128293664793
0.481548565123;0.0383759507465;4;[51];0.5493605019242321
0.628858785281;0.0612728911698;9;[14, 9];0.5486164912861958
0.192315578677;0.0334572672409;3;[39, 5];0.5483897168667701
0.459455374283;0.0401265972959;3;[88];0.5474343674038822
0.0592736845666;0.0456898600695;8;[67];0.5474262369541536
0.0274363289518;0.0557476144571;3;[100, 92];0.5452691158107897
0.421447872466;0.0175001638356;6;[98, 59];0.5427919371289323
0.318899318163;0.0131168836903;3;[66];0.5424593604738734
0.132951362058;0.0250223222724;1;[91, 26, 12];0.5423904483393351
0.178536893127;0.00453522983667;3;[58, 53, 26];0.5404161632948371
0.078153126239;0.178071306976;9;[52, 7];0.5398972615814276
0.530918624448;0.127844690015;4;[83, 58, 46];0.5394909215408453
0.173645468827;0.0466122373207;6;[12, 8];0.5360049535039171
0.0202098327191;0.0376487732128;5;[92];0.5357328682732458
0.0508029937543;0.762762819375;10;[77];0.5350770497020554
0.173936990017;0.288608481231;8;[100, 29, 24];0.5345709973003455
0.159156726903;0.00824514957406;3;[40, 40];0.5335964591646188
0.0979893811753;0.206092307979;9;[98, 90, 25];0.533226874655108
0.0849729294853;0.207987000533;10;[68, 57, 46];0.531835142835424
0.614048523522;0.00331002497734;1;[100, 67];0.5317608467274574
0.0188804032066;0.0423239531854;8;[39, 35, 22];0.5316160631736966
0.124903333377;0.00650562908921;2;[49];0.5304502619882042
0.030823914734;0.0372938610893;3;[64, 27];0.5289025878661102
0.0617613336854;0.281145845366;9;[97];0.5282714988083813
0.435539700036;0.302187135858;5;[62, 50, 42];0.5280762785966135
0.274355820852;0.240909867959;8;[66, 56];0.5278096463105668
0.147249190184;0.0569327691571;3;[98, 63, 17];0.5273921710280227
0.126528193079;0.157077254837;8;[41];0.527315507531882
0.265662150407;0.0624652488967;6;[10, 7];0.5255277304488583
0.0853550030365;0.0256775386844;3;[35];0.5227531487686018
0.0289407261424;0.294073075124;9;[98, 73];0.522063639506968
0.0706428196841;0.0220577614731;10;[77];0.521855903543523
0.0423399568883;0.00377063659166;7;[34];0.5217154516907182
0.797066354895;0.01587529145;2;[93, 61];0.5215457565670553
0.116261338629;0.860336193915;10;[34, 10];0.5213424540629386
0.0787692440164;0.0686567473468;4;[72];0.5211867546249442
0.0238694000941;0.00582773438909;4;[64, 19];0.5207346776735474
0.0739905147853;0.187691133842;5;[67];0.520554887468289
0.516707941388;0.0179146054115;4;[60, 33];0.5197173572342947
0.0568747273757;0.538781144957;9;[78, 67, 28];0.5189724352926474
0.0445235118238;0.0161509100568;4;[30];0.5182580105652241
0.0315908521225;0.469437564874;6;[54];0.518249299789174
0.112855059328;0.992146961791;9;[89, 14];0.5177120681836904
0.0758330314681;0.129218726933;7;[8, 8, 7];0.5176498488680727
0.100115076257;0.0959053595361;10;[74];0.5176498488680727
0.0565687352145;0.0768284195844;3;[94];0.5174590071472961
0.0392517508541;0.474747315613;6;[76];0.5171226425940847
0.0423090730267;0.120316945342;6;[76, 46];0.5171049281989639
0.467127817032;0.641388462579;10;[67];0.5166323391559547
0.372033996983;0.161089853091;10;[26, 15, 4];0.51581647799358
0.357099006764;0.019606135969;2;[68];0.515372264734274
0.101209535525;0.280857545575;4;[95];0.5147315901313547
0.0255170227929;0.0307154675422;4;[87, 49, 7];0.5145569823459476
0.0380578639348;0.252451762492;10;[32];0.5141962004316573
0.418984929208;0.0412031664326;8;[22];0.5123949010411386
0.336563771956;0.0220438456875;1;[65];0.5108546262768865
0.26086164001;0.0180305991444;2;[88];0.5095802738475571
0.962554934761;0.0176379283813;10;[61, 33, 9];0.5095619543939562
0.337608623307;0.0357327214365;9;[73, 4];0.5081513094930836
0.645630657736;0.196281776769;6;[45, 29, 18];0.5078141128560107
0.97754411626;0.0101548623317;5;[14, 11];0.5068496709963297
