Learning rate;Beta;Gamma;Dense sizes;MCC
0.111631476787;0.68663588124;2;[96, 33];nan
0.0560876239362;0.72243086198;2;[8, 8, 5];nan
0.0760795499667;0.699268498943;5;[57, 8];nan
0.0405606351607;0.825680502752;6;[8, 7, 5];nan
0.0990334377133;0.26889058465;2;[15, 14, 10];nan
0.294754232993;0.344180551241;3;[59, 6];nan
0.0617198512692;0.00902331342671;6;[16, 4];0.6053759855005134
0.0468827896047;0.0207349152927;8;[27, 16];0.5938720480879857
0.149029705946;0.0406093427204;5;[38, 38, 24];0.5866861844418056
0.329500043672;0.204878391588;10;[49, 44];0.5862508897961926
0.0419142080166;0.00875976542348;8;[84, 51];0.5810022673958187
0.215061535523;0.797092660204;9;[87, 52];0.5784940721003945
0.894156447967;0.00588585813749;8;[85, 46];0.5768614953742783
0.0472764865621;0.0990947586722;6;[65, 27, 4];0.5762026566209674
0.0260882426331;0.0103811218168;6;[30, 15, 8];0.5747000077221478
0.0495440429235;0.0333333052059;6;[74, 39];0.5735548772302383
0.224466734093;0.0207513448922;6;[63];0.5724345967997748
0.0538605590843;0.0033293651322;5;[51, 31, 27];0.5691437039740624
0.0473588459899;0.0840431497801;8;[51, 10];0.5651582707838584
0.0293592946737;0.0911163456812;3;[87, 60, 8];0.5642377730477889
0.282198410881;0.22568290791;10;[32, 27, 8];0.5641600520184109
0.0757610410848;0.00867036368519;8;[50];0.5628578028251516
0.190502733381;0.0170100521952;7;[57, 52];0.5610152652386562
0.148125899672;0.00338270902738;3;[91, 28];0.5602803408925557
0.209404527807;0.0223262206658;2;[16, 12];0.5581398362803481
0.0202942229038;0.113922736683;10;[64, 43, 40];0.5578211301030713
0.0382381459751;0.139574264212;8;[94, 53];0.5562354812942455
0.0614864844048;0.199778277507;10;[25];0.5554037146712556
0.0668984705681;0.0295701089537;10;[18];0.5544117302400153
0.33923333199;0.0955130869893;9;[12, 6, 4];0.5535866927336546
