Learning rate;Beta;Gamma;Dense sizes;MCC
0.0641766667362;0.848485700649;9;[30, 10, 5];nan
0.021085987534;0.96663665208;7;[5, 5, 5];nan
0.0886451899752;0.656191272334;2;[77, 11];nan
0.0706498560906;0.612748047765;4;[84, 9, 5];nan
0.15666942274;0.534394699057;3;[11, 5];nan
0.275036710407;0.293269987433;1;[37, 29, 25];nan
0.0626949167674;0.248557023664;5;[27, 5, 5];0.5210627454368065
0.140995419423;0.168944209261;7;[51];0.5204532932834814
0.0656712129551;0.282523020156;9;[68, 20];0.5204532932834814
0.0739432424398;0.23170410162;6;[22, 14];0.5202512899551885
0.187411124324;0.207854778201;6;[30, 27];0.5202512899551885
0.125475473241;0.140628389402;3;[70, 23];0.5176512612775293
0.169452307559;0.510791457493;6;[47, 20];0.5169434709008245
0.0590983504064;0.534058687958;9;[22];0.5164700630851613
0.150542208997;0.346780144493;6;[43, 23];0.5164700630851613
0.240371805754;0.121740857689;5;[15];0.5164700630851613
0.105534252858;0.482229563349;10;[32];0.5133739145689797
0.114036984085;0.341344261088;7;[41];0.5127657017288342
0.0610828926566;0.148421398442;6;[89, 71, 10];0.5086804001112943
0.0179482347693;0.519606992265;10;[46, 41];0.5065395192474813
0.0582433508583;0.0835804271033;8;[90, 51, 14];0.5057075278241829
0.153956675538;0.0980645411214;2;[96, 10, 6];0.5032444704911394
0.0807735323116;0.345620357109;4;[87, 87, 87];0.5023542425391921
0.0952851293271;0.111527858208;7;[8];0.5012696273429256
0.11457676077;0.00885352118293;9;[78, 10];0.49934502305335543
0.123522718713;0.00621485943647;5;[79];0.49781407797460003
0.0499708829012;0.35910506294;6;[23];0.4974150701252057
0.0210592857342;0.543073986191;10;[90, 17];0.49676086449175944
0.0863812235037;0.00346796885081;6;[37];0.4965097312173813
0.043339654761;0.64239549727;8;[49];0.4954182164437345
0.102256289428;0.0464872245373;6;[11, 4];0.49332104137887417
0.00822161538659;0.754868938632;10;[76, 36, 17];0.490678770653828
0.102205868521;0.128036434879;7;[45, 10];0.48869524667883385
0.0410803233667;0.0484772591539;5;[62];0.48869524667883385
0.0198903201051;0.00486274187645;10;[92, 70];0.48869524667883385
0.215648141639;0.00683377869288;1;[71, 55, 27];0.48560991935815867
0.133246288143;0.0250360062331;2;[37];0.48416499587303946
0.0409427009508;0.00597606537654;3;[98, 25];0.48249359203628733
0.27566818895;0.0635558726758;4;[9, 5];0.48156589011966444
0.0671185972801;0.0942423786486;7;[30, 18];0.4805020827480851
0.22064549068;0.113443081428;7;[57, 56];0.4794328440429337
0.0506789291858;0.133875056538;10;[19];0.4769498913478409
0.201718900307;0.00670464049701;3;[83, 63];0.47641268871135856
0.0641559106942;0.00735260187218;9;[67, 37, 27];0.4732085625579158
0.153295424336;0.188365113868;10;[86, 51, 48];0.4724845925914677
0.054900287023;0.0115723084995;9;[37, 20];0.46954879244655423
0.0637174896321;0.00792203643719;3;[62, 41, 32];0.4686290021497467
