Learning rate;Beta;Gamma;Dense sizes;MCC
0.0410047841656;0.895901096859;3;[75, 12];nan
0.08541816921;0.917394395936;5;[54, 12];nan
0.137687389164;0.794530550027;6;[69, 20, 10];nan
0.103682872814;0.882804168774;5;[62, 11];nan
0.135880878299;0.109342587188;10;[10, 4];0.48849199530406023
0.223130882619;0.117037931343;5;[89, 22, 20];0.4814906567628521
0.0816419290906;0.216099902473;9;[75, 75];0.48111965997083983
0.0596868518359;0.240444298284;9;[61, 39, 29];0.4736648798044191
0.0356893847362;0.491983434765;10;[59, 21];0.4672676070130432
0.398477103616;0.0557291567624;6;[7];0.46553204489032113
0.127904022329;0.0616195122573;3;[20, 11, 6];0.46520337712060494
0.0930896851702;0.194666867001;10;[12, 8, 5];0.46520337712060494
0.0646842597009;0.136350558879;6;[92, 52];0.460748502400633
0.599548180607;0.0883391002019;3;[73, 40];0.4600353566808839
0.321661419682;0.139212038694;8;[22];0.4521200170491286
0.071382632354;0.0939445056522;10;[51, 40];0.4498465025706001
0.0730397725482;0.121436239516;8;[50, 11, 7];0.44198841662192073
0.60776864595;0.0886028765154;9;[73, 27, 25];0.438908707270544
0.114836291118;0.152152792878;4;[77, 11, 5];0.4344639112868449
0.12174168908;0.0658810878857;6;[18, 17];0.4340026260869275
0.994455727748;0.0297391348837;3;[39, 21];0.4320507023346925
0.643072721189;0.0773339842019;4;[57, 51, 6];0.42893899769000404
0.0296434195251;0.0232936248388;6;[88];0.42634212946214084
0.195532848007;0.0985165221811;8;[98, 14];0.42388297924193846
0.290760197681;0.375755516528;7;[16];0.4238579716431056
0.207983865768;0.0159251531757;1;[75, 55, 29];0.4238579716431056
0.0669601219265;0.256775267566;7;[4, 4];0.42171754422968544
0.0437986799901;0.125042995294;6;[36];0.42108121668853415
0.673956477806;0.0156407548486;1;[9];0.41888933070214357
0.655740231194;0.0337855087768;5;[87, 86];0.4188013091737825
0.0428074357983;0.00983532708257;10;[53, 10, 4];0.41830935186605916
0.156259263946;0.00446906415459;4;[10];0.4163686172139524
0.622896605501;0.0509001283465;4;[94, 67];0.4132776393976043
0.0360617085392;0.653900577467;8;[9, 5];0.409467093553056
0.287465705043;0.286698435851;4;[59, 20];0.40761530144217406
0.0329348704095;0.305864357442;5;[76, 17, 11];0.40752150870380666
0.0567394481061;0.0673955455788;5;[56, 15];0.40737268046991415
0.0290585857479;0.195712820476;6;[92, 18];0.40701284492652495
0.104738986397;0.0343182571461;3;[54];0.405950427596915
0.51318998206;0.0673434341673;7;[49, 14, 12];0.4051578020165102
0.338227801008;0.10353085229;3;[27];0.40450163762249813
0.63192562426;0.157812365257;2;[37, 33, 20];0.4014963327992762
0.546697403166;0.0683540722544;6;[70, 65, 52];0.40021403802442507
0.0686553701396;0.041726999962;5;[27];0.39814670029232496
0.017186857214;0.040441937865;8;[60, 20, 9];0.3978035112485865
0.0223437756656;0.0654716994442;9;[62, 61, 58];0.39633604732282757
0.969029703491;0.232341285464;3;[48, 30];0.3945532643748571
0.282209649674;0.0315681335331;10;[47, 35, 7];0.3935783804357816
0.542608615993;0.096938237173;9;[37];0.3919425898578607
0.0716561859159;0.0243401731656;9;[48, 11];0.3905591812908644
0.501935586861;0.165735641893;6;[89, 29];0.3879096510212233
0.893968624515;0.00346570391514;9;[8];0.38763601401858755
0.0470464641228;0.00573535669049;9;[89, 35, 34];0.38632071387857697
0.263329217982;0.00637600476318;5;[39, 38, 16];0.38524676289000004
0.0148433923745;0.014712351464;10;[80];0.3852397067027994
0.0723627302998;0.0183891610961;8;[12, 5, 5];0.3848120193043828
0.558635960518;0.0251667123339;10;[76, 21];0.3825625813632721
0.0831266836408;0.0716757865784;4;[7, 7];0.3810328375177155
0.795149635069;0.0234983270488;4;[27, 4, 4];0.3810328375177155
0.389590855946;0.00725444458583;1;[49, 37, 36];0.3791988756567441
0.0311980565789;0.00366574039477;7;[69, 52, 50];0.37879996053798165
0.70634395373;0.246878436271;9;[70, 26, 6];0.37747468443333404
0.0820666179164;0.0267281992279;6;[87, 16];0.375940808900143
0.0799380700707;0.0474352554582;9;[55];0.37581829692266155
0.0625776256971;0.0812854348809;4;[43];0.3750885965569801
0.0529801131535;0.0115317395777;10;[78];0.3740868352780667
0.494655376985;0.492209998796;10;[26];0.3732597048024371
0.458490240229;0.104949811343;7;[13, 13, 10];0.37188093481675805
0.134937312429;0.0274732244389;5;[60, 14];0.3690760157176651
0.279478611205;0.0037588759206;7;[62, 44, 28];0.36878581730633164
0.22215326436;0.059374625544;8;[8, 8, 5];0.3669987233676634
0.168039244094;0.0414451497091;8;[22];0.3638692117601397
0.862710544073;0.0938890687193;8;[35];0.3600452208475098
0.63216605996;0.0123684270138;9;[9, 8];0.35870404822535584
0.584179346901;0.0316913346597;6;[16];0.3569371301101899
0.0281046296243;0.00360031916023;6;[62, 57];0.35605263998404246
0.00703262363489;0.00479615896576;10;[80, 56];0.3547619025239858
0.688702680228;0.0465585903358;4;[25, 4, 4];0.3543391818174463
0.0100069730655;0.00784508150326;7;[72, 47, 20];0.35286512724940083
0.468535766379;0.0047697842933;9;[31, 14, 5];0.34971418397818216
0.503415813625;0.00495162391208;9;[81];0.3494101980022355
0.023404546759;0.00946658677553;9;[29, 23];0.34896377578738097
0.0769246078116;0.0486613626868;5;[13, 6, 6];0.3479596325317083
0.331635125771;0.00437187441297;8;[96];0.34690667254724517
0.0744524915586;0.123077515975;3;[79];0.346413701734922
0.137462313948;0.0138558481082;7;[40, 16];0.34572497774871913
0.899463957938;0.0391012326404;10;[61, 56, 50];0.3449389455499555
0.760958490227;0.0180786266331;8;[100, 46];0.34478191121360147
0.0836824279968;0.00421501842798;10;[27, 15];0.34154571636360026
