Learning rate;Beta;Gamma;Dense sizes;MCC
0.130413715614;0.660699123088;6;[94, 28, 26];nan
0.0708876121948;0.794114994448;10;[39, 21, 4];nan
0.399940746784;0.0480521224352;7;[80, 32, 19];0.4447856898261702
0.08635256253;0.355949201436;10;[70, 33, 12];0.4414364545098615
0.0417452953135;0.62438614423;7;[42, 17];0.4403266439682189
0.134032132259;0.200352070893;9;[58, 7];0.4403266439682189
0.0382528833719;0.598134588843;8;[60, 44];0.4375604010189048
0.0842220550194;0.228478571246;8;[86, 26, 25];0.43536382633289095
0.31921553206;0.0894462824791;5;[53, 8, 4];0.4348931419648508
0.0768469842085;0.299562361539;10;[27, 23];0.4322699447705184
0.23110590431;0.238170043492;8;[98, 5, 5];0.4322699447705184
0.515044679826;0.0411210209878;10;[80, 75, 64];0.4302931193360995
0.594506256725;0.280788817657;7;[55, 23];0.4300794271742735
0.151225333652;0.12300810166;7;[90, 89];0.42968958707178995
0.405511647147;0.144454174384;7;[65, 16];0.4267287645359604
0.0174959554096;0.737230898607;7;[92, 78];0.42660682431886493
0.103486001068;0.106176443334;9;[69, 34, 7];0.4238776642928809
0.324713757755;0.489223442869;7;[19, 15];0.42219401947337454
0.102022799643;0.0359758926019;3;[48, 8];0.42150010238800273
0.0594474251721;0.180891362956;10;[20, 12];0.4211337580998928
0.0521963507968;0.176448749936;7;[43];0.4208598712871435
0.119693855009;0.077461922911;5;[9, 5, 4];0.41843786523869364
0.495313298228;0.0180035958511;7;[23];0.4164426259256533
0.392781008073;0.0261516878994;6;[40];0.4139751431559092
0.0565289208552;0.149144209106;8;[40, 37];0.41272443792063507
0.587073932217;0.0144377305733;1;[80, 38];0.4068046632521706
0.144069359053;0.142975485191;5;[52];0.4056241735340538
0.474863057847;0.580597467157;8;[64];0.40507350453208474
0.111612920607;0.324275995094;1;[70, 42];0.4047558323202259
0.040655370513;0.0421847393549;6;[90];0.4031956647795167
0.0292700302208;0.15010390007;6;[58, 35, 21];0.40220756851458794
0.068137120617;0.0386755009017;9;[57];0.39964030599403655
0.465154754785;0.0507488631483;3;[78];0.3995369574356272
0.302334907973;0.0790885070761;2;[79, 39, 9];0.3995369574356272
0.223572099519;0.0187077884463;8;[16, 14, 5];0.3994571096354932
0.0561068125132;0.159157832826;8;[19];0.39774831871147753
0.0358576382069;0.128565315746;7;[49, 25, 8];0.39774831871147753
0.0271738476022;0.085539270587;8;[58, 22];0.39612037734178523
0.0540578093141;0.026853546014;4;[76];0.3960949566680812
0.0366621442298;0.0238603159242;9;[55];0.39471402323430665
0.645875195667;0.140032642425;8;[70, 59];0.3938356230129155
0.0970525478156;0.0184497834935;4;[31, 29, 29];0.3923118064186387
0.292424313061;0.0336840879895;6;[78];0.3923118064186387
0.0498531057129;0.00950220598445;5;[96, 41, 30];0.3923118064186387
0.202221474534;0.00428665451704;1;[89, 10, 6];0.3910444445028184
0.489470704959;0.0207936226562;3;[60, 22];0.3910361990102
0.21162641154;0.00565644585347;4;[43, 11, 7];0.39005772556032886
0.36325751503;0.0434379384906;2;[79, 7];0.3899163530701534
0.243474870164;0.0597005175507;6;[47, 19, 10];0.38854490624062754
0.0196173156099;0.0248265334184;8;[41, 27, 26];0.38806580596420626
0.0188594505574;0.104344948207;5;[73, 59, 45];0.3874688490921827
0.61810233221;0.372403632486;8;[86];0.38723548239617084
0.238130453129;0.377677889379;4;[80];0.3868003597580433
0.907120987515;0.0104378141991;9;[38, 11];0.386446453540677
0.179284272146;0.0252726732798;7;[33, 10, 9];0.3848312039921236
0.734642148006;0.0522392329752;5;[24, 6];0.3838828098540777
0.0489640946234;0.484269511913;5;[70];0.3812928467987471
0.0200901785514;0.203926159981;6;[45];0.38009493177045284
0.0735839637082;0.0055589544813;6;[82];0.37978995724959075
0.194124875748;0.176526606505;2;[74, 45];0.379279343528374
0.987465743122;0.185970719656;4;[36];0.3780348654240792
0.0488612277511;0.00464309037978;7;[22, 21, 17];0.37733536589595307
0.0679943276174;0.078981909128;4;[34];0.3755200170051079
0.0374674798773;0.00926995485477;8;[84];0.37492307171978256
0.0537022290305;0.0880297224828;5;[17, 9, 5];0.3745291240663417
0.0276710647418;0.0328252895615;5;[55, 38];0.3745291240663417
0.24179600293;0.04045385404;1;[54, 28];0.37376543627475023
0.152033785353;0.00336159968086;10;[69, 42];0.3724024607539544
0.0565930025566;0.00556248707032;4;[81, 35];0.3723313811151433
0.490847266473;0.162101847968;2;[6];0.3721275203646477
0.558728527577;0.0147958819932;1;[25, 21, 21];0.3711204627536225
0.0133454335776;0.0313984503852;8;[33, 24];0.37074160234799197
0.272881484764;0.0143414292264;1;[24, 21];0.36932605832869764
0.245435260442;0.0240885403888;3;[18, 8, 5];0.3689260085687494
0.0141368221346;0.0291861351089;6;[76, 50, 29];0.36825173411681494
