Learning rate;Beta;Gamma;Dense sizes;MCC
0.0548484847472;0.844192817778;5;[98, 96];nan
0.184733270358;0.115056969419;8;[65, 37, 35];0.4599679727198937
0.0667377066142;0.315302241021;9;[39, 17];0.4524053469458806
0.770456059838;0.134416424386;4;[66, 66, 27];0.4524053469458806
0.0896486757838;0.238397338903;8;[27, 19, 10];0.44525627597391626
0.352946810088;0.0148904204649;5;[98];0.4430521345246057
0.228274453739;0.269253046953;7;[13, 9, 8];0.44179634753988434
0.381898507476;0.341525970289;10;[4];0.4357780433815914
0.0777517074353;0.284961091968;7;[42, 16];0.43064403261218337
0.466939779499;0.0261468518402;1;[85, 55, 55];0.421733691721046
0.163964100523;0.0372977035893;10;[85, 25];0.4194557797206805
0.0234245481366;0.287097418847;9;[51, 44, 19];0.41417838970913523
0.368841855227;0.0163044341825;2;[31];0.41364849442290935
0.104317505922;0.428643462251;8;[13, 8];0.4135823322047069
0.0284093468236;0.062229141015;10;[92, 5, 4];0.41202400877554585
0.133795300819;0.0922350644113;9;[61];0.41202400877554585
0.365856627837;0.0619318821749;3;[88, 17];0.41081446231508706
0.0962971897526;0.520288347338;7;[30];0.41017119137155006
0.471345862574;0.409181372256;6;[58, 28];0.40889537279794563
0.101991328261;0.274951829903;7;[47];0.40803238275839115
0.077110532062;0.0895280684087;4;[19, 14, 7];0.40803238275839115
0.0918435990071;0.0473719066381;4;[74, 16];0.40530065467817894
0.0218612312438;0.25572512211;7;[47, 24, 5];0.4029254542512951
0.405827818749;0.0141743307557;6;[17];0.40242827247462376
0.578148609967;0.210526916424;4;[76, 52];0.40225637468205266
0.55109995106;0.117789332897;9;[76, 61];0.4019697943381826
0.0369174968683;0.151985025371;6;[94, 72];0.4006850493688284
0.142741360515;0.0088956835827;6;[73];0.4002770551069365
0.164087356309;0.0288759320495;8;[41, 24, 24];0.39962932275810753
0.212574406112;0.048805149705;7;[78, 32, 9];0.3982334129450889
0.307128383309;0.0511226779869;5;[56];0.39713783939337655
0.361934104827;0.325419010707;10;[75];0.3915375994074979
0.0364693869532;0.459482766541;9;[47];0.3911132478080363
0.0102147055621;0.70738923648;6;[71, 15];0.3899592662726488
0.463410369224;0.0675131022695;10;[8, 4, 4];0.3889368966193633
0.477227313337;0.0125285489387;6;[77, 24];0.38852926262414195
0.225691630152;0.317820987757;4;[13, 12];0.386891271618106
0.850938773646;0.0386055907258;5;[10];0.38500456363040614
0.324789361349;0.544079576726;5;[5];0.38332933140038133
0.0346583710681;0.0518297254854;9;[98, 11];0.3822516700112073
0.0980124966617;0.264011699187;4;[77];0.3821170893934441
0.198321280501;0.209329423773;3;[94, 13];0.38083737360490466
0.026682613933;0.112576387792;9;[96];0.38044498562027834
0.066713432678;0.0353360173037;8;[100];0.37960752843402634
0.170467206126;0.00390693322743;3;[81];0.37928286280337503
0.0449495373587;0.0220132114606;10;[21, 9, 7];0.37897922374769155
0.0923281765746;0.25908746507;4;[12];0.37842857063365287
0.909145874591;0.00834502418924;3;[39, 32, 30];0.3780565810141786
0.562627733481;0.184992683047;7;[14, 6, 4];0.3775412317215013
0.318478660732;0.443845503916;6;[45];0.37710182679003723
0.538237317913;0.0328875250604;9;[11];0.37470225739334556
0.817035265658;0.0327166131893;9;[36];0.3742497251557124
0.0240876463182;0.549423825844;5;[41];0.3732276717976382
