Learning rate;Beta;Gamma;Dense sizes;MCC
0.0410026313405;0.671452559337;4;[39, 29, 14];nan
0.168538810967;0.386065191679;3;[93, 83, 70];nan
0.341822781941;0.169441067267;8;[96];0.48504221371011996
0.0891141042027;0.429785013926;9;[11];0.46103183812330367
0.0524452571664;0.122246751558;4;[68, 32, 21];0.45311684001450975
0.153651792937;0.132404491242;9;[80, 58];0.45303129737313474
0.403805905163;0.235936349762;9;[73, 9];0.45181177958778873
0.0586807546074;0.215915534042;6;[94, 19];0.450650802917518
0.29414397873;0.00922887388823;2;[74, 5];0.4505685380623155
0.584362844834;0.049633790563;3;[84];0.44191167777254126
0.864046136466;0.0494211731878;1;[93, 87];0.43883149427197937
0.125160782283;0.100252763598;7;[35, 6];0.4334898824498792
0.0931044423399;0.243792797542;7;[75, 30, 23];0.4251602572731646
0.0354127108228;0.405228716934;8;[89, 69, 41];0.4251602572731646
0.050986603764;0.29603329685;10;[44];0.4250745240105555
0.150650462362;0.107062912312;4;[61, 40];0.4250745240105555
0.384628747754;0.0127926576397;9;[99];0.4244313771095127
0.0450540805009;0.285394220823;8;[45, 40, 11];0.42247138265987794
0.473205201011;0.154747664171;6;[10];0.4168701086450355
0.114836234467;0.0283384037378;4;[71, 45];0.40952194598525055
0.631595136787;0.0158825413769;6;[62];0.4087326151690234
0.159046770321;0.0234921379999;4;[87, 41, 33];0.4068098030357612
0.0929831020949;0.504826464865;6;[66, 36];0.40613808390623485
0.0507187430202;0.262623670623;8;[22, 19];0.40588580337604446
0.484416871475;0.052456288159;4;[55, 33, 11];0.4032674306782063
0.0742158515143;0.0224238570187;10;[89];0.3968823100271823
0.284915502903;0.0091526333013;8;[44];0.3955765253198875
0.109006957708;0.0531560017787;4;[100, 50];0.39440705260336806
0.133691056239;0.0718819677545;3;[11, 9];0.3937920382529558
0.937001460113;0.0237229134656;4;[27, 6];0.39098370801341553
0.0443293227261;0.0341748956797;3;[98, 8, 8];0.3907667111134759
0.0320531701192;0.133941444488;5;[85];0.38929561171729216
0.0219791814066;0.147945273976;8;[65, 5];0.38750162491159656
0.0337296407478;0.0582590012023;10;[87];0.38669708274153347
0.0629114654614;0.142032154376;5;[37];0.3857209227477108
0.0517207251949;0.0275702773265;8;[94];0.38262217333335435
0.102221964123;0.0936406860413;10;[52, 44, 31];0.3788935046305099
0.0133147005168;0.568644910472;10;[33];0.378859638788467
0.0780028016939;0.310626678895;5;[82];0.37311736710588655
0.233050721093;0.00621567520559;1;[31, 9, 5];0.37181456919542044
0.0297158746843;0.108416141128;9;[93, 68, 40];0.3711370563207141
0.0764644115902;0.0036755589249;5;[21];0.37056815505480356
0.298626741771;0.00831746209623;4;[100, 53, 49];0.3696445307360372
0.177059235152;0.0250513291539;9;[7, 6];0.3661179535847583
0.116714504584;0.105169876735;3;[13, 13];0.3661179535847583
0.0818129825386;0.00322842380511;4;[16, 13, 10];0.36267936557911074
0.0562338611639;0.0312109457213;4;[79, 11];0.360533066185799
0.629550891177;0.179685815166;6;[90, 66, 49];0.3595856362117236
0.197202979139;0.0635811508803;9;[96, 81];0.35945450568700377
0.0474589493959;0.0701230301557;9;[25];0.35650366700494196
0.649010241891;0.257624443782;10;[62, 48, 28];0.356441116587635
0.017699948497;0.00753147320268;8;[86, 76];0.3535327552971864
0.37916782818;0.0149588312238;5;[95, 45, 15];0.35062790688671974
0.052205038628;0.0365354298825;4;[68, 68];0.35062790688671974
0.227841847042;0.00459221490916;4;[60, 51];0.35025724892155724
0.101492607169;0.0441229033028;10;[50];0.35004775171425057
0.0265863077078;0.0188389543846;7;[82, 5];0.3477866589143127
0.0260383153195;0.00464151787615;9;[61];0.34648023559770563
0.00620691406283;0.0207394272483;9;[100, 57];0.3444370108682669
0.00819466106332;0.482340723832;8;[76, 74, 48];0.34379013517407453
