Learning rate;Beta;Gamma;Dense sizes;MCC
0.807876361128;0.172309821912;5;[23, 21];0.4643866788105102
0.149103093835;0.266948193946;9;[37, 35];0.4595250150938172
0.198264388426;0.105027070757;7;[77];0.45872997142104327
0.235054693097;0.128788598212;7;[90, 38, 37];0.4583391192627774
0.0543999530788;0.276631268014;9;[78, 29];0.4552151802046272
0.0370353895335;0.196597761233;6;[71, 53, 49];0.45310929196966027
0.0644187064266;0.255082539153;8;[58, 53];0.4517746627650973
0.0736811987594;0.246196827944;5;[89, 59, 37];0.44538164083152554
0.351868764717;0.243085109825;4;[68, 68, 40];0.4443757488930054
0.330543112846;0.0427677654214;6;[93, 89];0.44195067073513955
0.100781551583;0.339950839427;7;[60];0.4395938913446332
0.0728798986427;0.09900103885;8;[61, 54, 22];0.43449228762565434
0.138913197093;0.473638779428;10;[8, 8];0.43145401973778974
0.52253264508;0.608120840647;6;[36];0.4307590250876239
0.119066383282;0.0990809690709;7;[15, 6];0.42755176277534207
0.865768426646;0.00763478204128;1;[74];0.42576735210758004
0.136921872571;0.0657224662927;4;[33];0.4237593453347345
0.521174389403;0.0202451333661;4;[89];0.4214664327443066
0.186291778873;0.0997080152305;8;[5];0.4214664327443066
0.0364837093083;0.543654338285;8;[44];0.4209357857484044
0.249240545677;0.0257527692889;10;[99, 47, 42];0.42085232073712064
0.21536813238;0.0970641693197;4;[6];0.41866798842828873
0.126332384707;0.416529267506;7;[87, 46, 19];0.4185124767657351
0.170095568449;0.0134871292003;2;[26, 12];0.41816475119012214
0.109354850558;0.336459232677;6;[17, 7];0.4173801064262094
0.268264307224;0.0307749803106;8;[47, 17, 17];0.4154429567520259
0.0703854786177;0.00528420401565;10;[100];0.4154429567520259
0.163440518149;0.0577074337258;7;[98, 41, 27];0.41468987668831353
0.0389612909619;0.810045877941;8;[87];0.41317953388446227
0.0400677150094;0.0417157773652;10;[32, 24];0.41104343805905647
0.443524559921;0.0056299160377;1;[75, 52];0.41104343805905647
0.21596064306;0.0157834457047;10;[43];0.40909550147577406
0.100096152833;0.0299132356389;4;[65];0.40909550147577406
0.011520528614;0.0674600219598;9;[54];0.4086614999259652
0.161859620759;0.0232594559015;6;[27, 16, 16];0.40821790223419485
0.309085314957;0.159431742647;10;[30, 25, 23];0.4081616388489537
0.0779295131051;0.0223993066664;9;[88];0.40485057276630454
0.0537741483597;0.13626463578;5;[65];0.4046221831714899
0.0566129036666;0.640001305759;9;[78, 30];0.4045563063694204
