Learning rate;Beta;Gamma;Dense sizes;MCC
0.083977897332;0.534968188173;1;[37, 30];nan
0.0487094368479;0.827895369582;7;[8, 5, 5];nan
0.0541854087586;0.74853777237;4;[94, 43];nan
0.113305166713;0.669838092342;10;[15, 5, 4];nan
0.124223643122;0.525072451529;2;[64, 26];nan
0.228729121222;0.021658380352;5;[66, 31];0.41840696225277313
0.247702363304;0.0199199827311;8;[31, 8, 4];0.4142320482671654
0.23883620267;0.0945443402106;10;[64];0.40206008020183087
0.221939447244;0.004413255456;4;[19];0.3874347665969047
0.250259778399;0.0407193382774;2;[61, 41, 17];0.38545685541189484
0.394625616175;0.233740338725;8;[62];0.3829065659165516
0.230672258929;0.00399745888512;4;[74];0.3814270322632663
0.101551856271;0.0561031477437;6;[97, 32, 31];0.37246925687002824
0.310284510792;0.0166727025104;8;[79];0.3723275336185503
0.0943557532403;0.00324897027127;4;[94, 91];0.3699329027853877
0.6906952282;0.0137951030525;7;[37, 23];0.3698022697887814
0.115583261065;0.064109169138;6;[42];0.36458891561697443
0.591871308152;0.00473863237261;5;[44];0.36354768612833843
0.201035148355;0.0675038321262;7;[8, 5];0.3616191125934703
0.0171259349634;0.0818979934295;10;[89, 33, 30];0.36010024253648454
0.0696039274591;0.0132455284128;7;[84];0.3555486492756713
0.4762176847;0.023433126811;2;[41];0.3543829926215353
0.14654214357;0.0524743633956;6;[8, 6];0.3539304806892719
0.446944768014;0.0242323621041;2;[56, 54];0.3534568998540588
0.53478718474;0.0216063404821;6;[36, 21];0.35340839960475323
0.287403477771;0.0646602680329;3;[42, 22];0.35219764696177275
0.0602142992475;0.546021302534;5;[92, 63];0.3515956140850115
0.468984547603;0.0475078952101;10;[56, 34, 31];0.35112134088802793
0.143067690193;0.17457062992;7;[51, 6, 6];0.35047481083061754
0.339709360516;0.0270780643219;6;[71, 32];0.34965940963893927
0.185991864395;0.0288090044073;8;[58];0.3492187897614653
0.348795282491;0.020280444844;3;[45, 33, 30];0.347494126778671
0.694620062187;0.0039659679768;4;[20, 8];0.3451950984940011
0.0689860122595;0.41323203526;7;[27, 25];0.34435730083840477
0.491644130639;0.00524581667225;6;[40, 24];0.34302750608745197
0.0179383344768;0.770017605584;8;[80, 17];0.341921207932822
0.147987483994;0.0567513089085;10;[76];0.34004219491402654
0.213296652089;0.00757538441975;5;[78, 19];0.3400384984355894
0.153945895779;0.0524149542922;7;[77, 75];0.3379330163291465
0.1976569207;0.296017666045;5;[36, 34, 10];0.335862136178316
0.399127390681;0.11200097125;3;[32, 20, 11];0.335862136178316
0.601146235361;0.301736082969;5;[100];0.3354132940306176
0.0237462980369;0.262553290026;10;[78, 33, 17];0.33514940309041424
0.149224925882;0.267944634512;9;[23];0.33414865555558226
0.759776725157;0.0244606437139;3;[89, 62];0.33401579494771216
0.580843292233;0.146236164355;4;[80];0.33286462520325977
0.913124884054;0.0225922976863;5;[30, 7, 4];0.3314934938501804
0.263318498176;0.225302609133;10;[96];0.32984883658231234
0.0564842028171;0.311742724476;5;[21, 13, 8];0.32920185277039943
0.155013179771;0.0149446511069;7;[66, 29];0.32784614611853374
0.299966926654;0.0255173075373;10;[92, 14, 7];0.3268994455935901
0.697423436579;0.00502060299167;1;[55];0.3259446168635138
0.0447520593343;0.00378479427628;9;[29];0.32588645121153254
0.178295353995;0.423649644833;6;[40, 10];0.3241122754076747
0.0493121080693;0.0927664177629;5;[39, 32, 32];0.32350294482382447
0.449248194828;0.0777824043975;8;[19, 8, 5];0.3213315272327323
0.430604361267;0.19847049252;7;[14];0.32009987456050176
0.0693787425989;0.00974155202901;4;[32, 19];0.31845632839456794
0.0776504929986;0.256179335947;9;[90];0.3177873262981389
0.842961008948;0.155872345015;4;[51];0.31456642361875037
0.246537378287;0.0357902709939;2;[39, 12];0.3116985490275634
0.194729958105;0.0340482403134;2;[14, 13];0.31134951006369765
0.203333640418;0.0226250039489;4;[57, 20, 10];0.3100260094907083
0.670501589294;0.0139468404429;10;[31, 26];0.30893396853301514
0.0670596635265;0.138068878733;5;[33, 23];0.3068243311401949
0.137654943229;0.158126774023;3;[50, 31];0.3062980236985173
0.0753955632884;0.894402069261;8;[38];0.3040841360518878
0.355130971575;0.00509311210044;8;[19];0.30285111487587685
0.058102787899;0.0961741357949;9;[8, 5, 5];0.30250014196729985
0.936803711261;0.0117004395457;4;[67];0.30236030427621885
0.101052025839;0.00709355510176;9;[56];0.3020034104404068
0.0533917456442;0.261788684584;3;[85];0.3013154453792668
0.0142647896491;0.213415301997;9;[60, 57, 55];0.300463271383552
0.0704236198497;0.108929557971;2;[29, 5];0.2999374741486409
0.354438654338;0.256736512344;8;[81, 80, 54];0.29992544753931966
0.0153619641347;0.784100904162;4;[65, 29];0.2975419209911312
0.796343027227;0.0173063704716;8;[61, 47];0.29707891379208773
0.0660082844325;0.0483468876193;5;[28, 22];0.29605424795581503
0.12079636438;0.271761345371;4;[69];0.2932770186276066
0.0314511337387;0.90405321095;4;[37];0.29178546000818734
0.249849334122;0.0387760479787;5;[39, 12];0.2912861108545218
0.458882187171;0.041217403296;1;[99, 75, 13];0.2904770451706989
0.0313468307824;0.123568354942;3;[64, 24];0.28986104621712117
0.0259600310294;0.438625569187;5;[34, 16];0.2891823384501584
0.0706470946222;0.183587363435;2;[32];0.2867135271340302
0.795954802741;0.00870118913099;10;[51, 48];0.28414785465110864
0.0639287916797;0.0206690690952;3;[48, 25];0.28037499938413896
0.234218991666;0.00943401216318;8;[93];0.2781488477836003
0.167334434033;0.00343549891319;1;[77, 7, 6];0.27722971055742923
0.269269511154;0.06666230259;2;[58];0.27558917817224543
0.556510713842;0.162871973008;5;[7];0.2747581822299192
0.00553868228737;0.36748424296;10;[57, 19, 14];0.2736709602831588
0.0240248214094;0.00530506068807;8;[80, 56];0.2736094679567312
0.810675468778;0.050582584662;10;[60, 59];0.2723086800026067
0.689013330355;0.0832245930614;2;[40, 11, 7];0.2719643246508902
0.12623456037;0.00548150983415;6;[36, 13, 11];0.2718765890380405
0.0289676120981;0.0892046562063;9;[48, 34];0.27181497955794287
0.292943393538;0.117222940035;2;[32, 17];0.27167921058692535
0.562158496544;0.0585160680402;1;[83, 33];0.2706951184741597
0.0287249071194;0.0903940983735;6;[56, 56];0.27059445637281276
0.0131316629421;0.26393795231;9;[44];0.2683415934016502
0.0412444008939;0.0119802023333;2;[33, 33];0.2664883868411413
0.0206035465856;0.0121391395261;7;[82, 50];0.26449427693191807
0.0134604382686;0.00988451631757;7;[59, 47, 26];0.2638860288554507
0.0096931561257;0.00736669687494;3;[66, 20];0.26115145482916047
0.114261801567;0.0682700766255;1;[57];0.26066855203288836
0.0198026552559;0.435571496979;5;[15, 6, 5];0.25944805987464187
0.0231725909884;0.0846743851927;8;[56];0.2566124121050681
0.0356567412302;0.019979349192;4;[48, 34];0.25597652628538187
0.00653713620474;0.0283261474487;9;[93, 79, 39];0.25415416912094724
0.018892853686;0.00972188531848;8;[57];0.2538835008192535
0.0271306172553;0.221961780046;4;[33, 10, 7];0.25383997400193103
0.01957386662;0.00642739432237;4;[100];0.25330142652150095
0.0072303808294;0.462260792001;9;[42, 31, 11];0.25184817611141946
0.0473537392485;0.00461559884118;4;[55];0.2516455448065328
0.525298517514;0.0147901975811;3;[27, 20];0.2508231936583742
0.00732991499384;0.0130209037761;8;[87, 10, 8];0.24876122584890725
0.335334271823;0.00685167335536;6;[24];0.24854677049582038
0.00443106586216;0.00337788642454;10;[81];0.24317348716790496
0.0731691796631;0.0100458386304;1;[88, 63];0.24298305908007412
0.0283970577205;0.0149174388079;5;[17];0.24140238787778795
0.154895337982;0.00521639356639;1;[15, 8];0.2407196274917992
0.020439208387;0.176538349302;2;[55, 24];0.24031995504035633
0.0714251073218;0.193604665092;1;[90, 62];0.24013682588574348
0.00511565683943;0.314356648863;9;[60, 28, 12];0.23985940743234402
0.00786904805861;0.0128618126818;10;[56];0.2384936121273235
0.00606484085144;0.00375138746676;8;[76];0.2381666086830411
0.0735452647214;0.0444540884967;2;[92, 6, 6];0.23650950721988975
0.0187190399318;0.375320079759;4;[20];0.23538660393757826
0.126983293701;0.00603095426581;2;[33];0.23479856676743766
0.0347686158184;0.0201273269555;10;[52, 26];0.23430673409580038
0.0576564268957;0.0138275873701;4;[63];0.23368576886538028
0.0131202551315;0.0676670982182;6;[99];0.23313764053896296
0.0166367020347;0.0573975957023;8;[7, 5, 4];0.23093067056198877
0.372894165347;0.0101346652847;6;[43, 40];0.22828958678966585
