ClassName;Type;Value;Bound
org.apache.tools.ant.AntClassLoader;LargeClass;66.0;50.0
org.apache.tools.ant.ComponentHelper;LargeClass;52.0;50.0
org.apache.tools.ant.taskdefs.XSLTProcess;ControllerClass;0;0
org.apache.tools.ant.taskdefs.Javac;LargeClass;114.0;50.0
org.apache.tools.ant.taskdefs.email.EmailTask;LargeClass;55.0;50.0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile;LargeClass;85.0;50.0
org.apache.tools.ant.taskdefs.optional.junit.JUnitTestRunner;LargeClass;54.0;50.0
org.apache.tools.ant.taskdefs.optional.pvcs.Pvcs;LargeClass;53.0;50.0
org.apache.tools.ant.taskdefs.Rmic;LargeClass;74.0;50.0
org.apache.tools.ant.Project;LargeClass;140.0;50.0
org.apache.tools.ant.taskdefs.Java;LargeClass;77.0;50.0
org.apache.tools.ant.taskdefs.AbstractCvsTask;LargeClass;66.0;50.0
org.apache.tools.ant.taskdefs.ExecTask;LargeClass;65.0;50.0
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask;LargeClass;85.0;50.0
org.apache.tools.ant.taskdefs.Copy;LargeClass;65.0;50.0
org.apache.tools.ant.taskdefs.XSLTProcess;LargeClass;63.0;50.0
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector;LargeClass;59.0;50.0
org.apache.tools.ant.taskdefs.Redirector;LargeClass;66.0;50.0
org.apache.tools.ant.taskdefs.Zip;LargeClass;74.0;50.0
org.apache.tools.zip.ZipOutputStream;LargeClass;53.0;50.0
