ClassName;Type;Value;Bound
DatabaseManager;ControllerClass;0;0
org.apache.derbyTesting.junit.JDBC;LargeClass;46.0;43.5
org.apache.derby.iapi.types.SQLChar;LargeClass;130.0;43.5
org.apache.derbyTesting.functionTests.tests.jdbcapi.ParameterMappingTest;LargeClass;59.0;43.5
org.apache.derbyTesting.functionTests.util.ProcedureTest;LargeClass;63.0;43.5
org.apache.derbyTesting.junit.BaseJDBCTestCase;LargeClass;60.0;43.5
org.apache.derby.client.am.SqlException;LargeClass;49.0;43.5
org.apache.derby.iapi.error.StandardException;LargeClass;59.0;43.5
org.apache.derby.iapi.types.SQLBinary;LargeClass;55.0;43.5
org.apache.derby.impl.tools.ij.utilMain;LargeClass;44.0;43.5
org.apache.derby.jdbc.EmbedPooledConnection;LargeClass;48.0;43.5
org.apache.derbyTesting.functionTests.tests.jdbc4.PreparedStatementTest;LargeClass;66.0;43.5
org.apache.derbyTesting.functionTests.tests.jdbc4.ResultSetTest;LargeClass;72.0;43.5
org.apache.derbyTesting.functionTests.tests.jdbcapi.J2EEDataSourceTest;LargeClass;96.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.CastingTest;LargeClass;81.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.GrantRevokeTest;LargeClass;66.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.LangProcedureTest;LargeClass;50.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.RolesConferredPrivilegesTest;LargeClass;92.0;43.5
org.apache.derbyTesting.functionTests.tests.largedata.LobLimits;LargeClass;49.0;43.5
org.apache.derbyTesting.functionTests.tests.replicationTests.ReplicationRun;LargeClass;149.0;43.5
org.apache.derbyTesting.functionTests.tests.store.ReEncryptCrashRecovery;LargeClass;47.0;43.5
org.apache.derbyTesting.functionTests.tests.tools.dblook_test;LargeClass;51.0;43.5
org.apache.derbyTesting.functionTests.util.DerbyJUnitTest;LargeClass;70.0;43.5
org.apache.derbyTesting.functionTests.util.TestUtil;LargeClass;58.0;43.5
org.apache.derbyTesting.junit.TestConfiguration;LargeClass;121.0;43.5
org.apache.derbyTesting.system.nstest.NsTest;LargeClass;64.0;43.5
org.apache.derbyTesting.system.sttest.Sttest;LargeClass;45.0;43.5
org.apache.derby.impl.drda.DRDAConnThread;LargeClass;251.0;43.5
org.apache.derby.impl.drda.NetworkServerControlImpl;LargeClass;276.0;43.5
org.apache.derby.impl.jdbc.EmbedResultSet;LargeClass;220.0;43.5
org.apache.derby.impl.jdbc.EmbedStatement;LargeClass;84.0;43.5
org.apache.derby.tools.JDBCDisplayUtil;LargeClass;58.0;43.5
org.apache.derby.impl.jdbc.EmbedConnection;LargeClass;139.0;43.5
org.apache.derby.impl.sql.GenericPreparedStatement;LargeClass;99.0;43.5
org.apache.derby.impl.sql.compile.CompilerContextImpl;LargeClass;97.0;43.5
org.apache.derby.impl.sql.execute.BaseActivation;LargeClass;159.0;43.5
org.apache.derby.impl.sql.execute.BasicNoPutResultSetImpl;LargeClass;71.0;43.5
org.apache.derby.client.am.CallableStatement;LargeClass;106.0;43.5
org.apache.derby.client.am.CrossConverters;LargeClass;103.0;43.5
org.apache.derby.client.am.Cursor;LargeClass;126.0;43.5
org.apache.derby.client.am.PreparedStatement;LargeClass;137.0;43.5
org.apache.derby.client.am.ResultSet;LargeClass;392.0;43.5
org.apache.derby.iapi.tools.i18n.LocalizedResource;LargeClass;69.0;43.5
org.apache.derby.iapi.types.SQLTime;LargeClass;68.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.TimestampArithTest;LargeClass;51.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.outparams;LargeClass;72.0;43.5
org.apache.derby.iapi.sql.dictionary.TableDescriptor;LargeClass;92.0;43.5
org.apache.derby.iapi.sql.dictionary.ConstraintDescriptor;LargeClass;48.0;43.5
org.apache.derby.iapi.sql.dictionary.SPSDescriptor;LargeClass;60.0;43.5
org.apache.derby.iapi.sql.dictionary.TriggerDescriptor;LargeClass;66.0;43.5
org.apache.derby.impl.drda.DRDAResultSet;LargeClass;69.0;43.5
org.apache.derby.impl.drda.DRDAStatement;LargeClass;145.0;43.5
org.apache.derby.impl.drda.NetworkServerControlImpl;ControllerClass;0;0
org.apache.derby.impl.load.ImportReadData;LargeClass;76.0;43.5
org.apache.derby.impl.services.cache.Clock;LargeClass;56.0;43.5
org.apache.derby.impl.sql.compile.FromList;LargeClass;45.0;43.5
org.apache.derby.impl.sql.compile.SelectNode;LargeClass;77.0;43.5
org.apache.derby.impl.sql.execute.xplain.XPLAINSystemTableVisitor;ControllerClass;0;0
org.apache.derbyTesting.functionTests.tests.jdbcapi.CacheSessionDataTest;LargeClass;66.0;43.5
org.apache.derbyTesting.functionTests.tests.lang.LangProcedureTest;ControllerClass;0;0
org.apache.derbyTesting.functionTests.tests.lang.ProcedureInTriggerTest;ControllerClass;0;0
org.apache.derbyTesting.functionTests.tests.lang.dbManagerLimits;ControllerClass;0;0
org.apache.derbyTesting.functionTests.tests.memorydb.MemoryDbManager;ControllerClass;0;0
org.apache.derbyTesting.functionTests.util.ProcedureTest;ControllerClass;0;0
org.apache.derbyTesting.functionTests.util.SimpleProcedureTest;ControllerClass;0;0
org.apache.derbyTesting.junit.DriverManagerConnector;ControllerClass;0;0
org.apache.derbyTesting.system.oe.model.Customer;LargeClass;53.0;43.5
