ClassName;Type;Value;Bound
bsh.Parser;LargeClass;364.0;40.0
bsh.Interpreter;LargeClass;75.0;40.0
bsh.NameSpace;LargeClass;94.0;40.0
com.loomcom.ant.tasks.jarbundler.JarBundler;LargeClass;78.0;40.0
org.gjt.sp.jedit.jEdit;LargeClass;152.0;40.0
org.gjt.sp.jedit.GUIUtilities;ControllerClass;0;0
org.gjt.sp.jedit.PerspectiveManager;ControllerClass;0;0
org.gjt.sp.jedit.ServiceManager;ControllerClass;0;0
org.gjt.sp.jedit.buffer.LineManager;ControllerClass;0;0
org.gjt.sp.jedit.Buffer;LargeClass;96.0;40.0
org.gjt.sp.jedit.syntax.XModeHandler;LargeClass;50.0;40.0
org.gjt.sp.jedit.GUIUtilities;LargeClass;63.0;40.0
org.gjt.sp.jedit.textarea.TextAreaPainter;LargeClass;86.0;40.0
org.gjt.sp.jedit.textarea.FastRepaintManager;ControllerClass;0;0
org.gjt.sp.jedit.View;LargeClass;103.0;40.0
org.gjt.sp.jedit.textarea.Gutter;LargeClass;56.0;40.0
org.gjt.sp.jedit.textarea.JEditTextArea;LargeClass;308.0;40.0
org.gjt.sp.jedit.buffer.JEditBuffer;LargeClass;126.0;40.0
bsh.ClassGeneratorUtil;LargeClass;41.0;40.0
