CommitNumber;Entity;Method;Change
282f346ca230a8dec8d1956af05fcc9d511ad672;METHOD;org.apache.tools.ant.taskdefs.Get.execute();MODIFIED
282f346ca230a8dec8d1956af05fcc9d511ad672;METHOD;org.apache.tools.ant.taskdefs.Get.setVerbose(String);MODIFIED
282f346ca230a8dec8d1956af05fcc9d511ad672;METHOD;org.apache.tools.ant.taskdefs.Taskdef.setName(String);MODIFIED
282f346ca230a8dec8d1956af05fcc9d511ad672;METHOD;org.apache.tools.ant.taskdefs.Taskdef.setClass(String);MODIFIED
fd883b6209472356b4fdf69d79b9b3534863c988;METHOD;org.apache.tools.ant.taskdefs.Copydir.scanDir(File,File);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Main.main(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Main.runBuild();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Main.printUsage();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setOutput(PrintStream);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setOutputLevel(int);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getOutputLevel();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.log(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.log(String,int);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.log(String,String,int);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setProperty(String,String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setUserProperty(String,String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getProperty(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getProperties();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setDefaultTarget(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getDefaultTarget();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setDefault(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setName(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getName();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setBasedir(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.setBaseDir(File);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.getBaseDir();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.detectJavaVersion();MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.addTaskDefinition(String,Class);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.addTarget(Target);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.addOrReplaceTarget(Target);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.addOrReplaceTarget(String,Target);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.createTask(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.executeTarget(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.resolveFile(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.translatePath(String);MODIFIED
ce1511dc15b5b050c596c7be52d94e46e0b00afe;METHOD;org.apache.tools.ant.Project.Project();MODIFIED
8d93377343e4983f67afa27c006ca867d0ae1d81;METHOD;org.apache.tools.ant.taskdefs.Exec.execute();MODIFIED
8d93377343e4983f67afa27c006ca867d0ae1d81;METHOD;org.apache.tools.ant.taskdefs.Exec.setDir(String);MODIFIED
8d93377343e4983f67afa27c006ca867d0ae1d81;METHOD;org.apache.tools.ant.taskdefs.Exec.setOs(String);MODIFIED
8d93377343e4983f67afa27c006ca867d0ae1d81;METHOD;org.apache.tools.ant.taskdefs.Exec.setCommand(String);MODIFIED
8d93377343e4983f67afa27c006ca867d0ae1d81;METHOD;org.apache.tools.ant.taskdefs.Exec.setOutput(String);MODIFIED
76d46d23ea55dd61f32e1a1dc2aded0fe5077053;METHOD;org.apache.tools.ant.Main.main(String);MODIFIED
76d46d23ea55dd61f32e1a1dc2aded0fe5077053;METHOD;org.apache.tools.ant.Main.runBuild();MODIFIED
