Snapshot;Date;Entity;Code;ChangeType
c6c8ae7a68c4c45f25d1fb11ad62171fffedeb6a;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.RuleTest;M
ce66f92033c01bcbb8ea2b22f59e1e9a5961e8c7;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.BeiderMorseEncoderTest;M
ce66f92033c01bcbb8ea2b22f59e1e9a5961e8c7;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.PhoneticEngineTest;A
ce66f92033c01bcbb8ea2b22f59e1e9a5961e8c7;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.PhoneticTest;D
479b5d3fbb28f30801807bf3afc29b195e0366dc;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.PhoneticEngine;M
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.BeiderMorseEncoder;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.Lang;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.Languages;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.NameType;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.PhoneticEngine;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.ResourceConstants;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.Rule;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.bm.RuleType;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.BeiderMorseEncoderTest;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.LanguageGuessingTest;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.PhoneticTest;A
1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1;27 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.bm.RuleTest;A
5d72a46abc9bfc8f8ed146b5f598106802761e21;22 Jul 2011;CLASS;src.test.org.apache.commons.codec.StringEncoderComparatorTest;M
c4d54bc44dd45c38bc44858f54a7e9de8ae2c39b;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.DoubleMetaphone;M
c4d54bc44dd45c38bc44858f54a7e9de8ae2c39b;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base64Test;M
c4d54bc44dd45c38bc44858f54a7e9de8ae2c39b;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.digest.DigestUtilsTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.binary.BaseNCodec;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.ColognePhonetic;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.language.DoubleMetaphone;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.net.QCodec;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.net.QuotedPrintableCodec;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.java.org.apache.commons.codec.net.URLCodec;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.StringEncoderAbstractTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base32OutputStreamTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base32Test;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base32TestData;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base64OutputStreamTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.binary.Base64TestData;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.ColognePhoneticTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.DoubleMetaphoneTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.language.MetaphoneTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.net.BCodecTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.net.QCodecTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.net.QuotedPrintableCodecTest;M
acf70b38d27bf6063d76cd9897beafef8040ff02;11 Jul 2011;CLASS;src.test.org.apache.commons.codec.net.URLCodecTest;M
1440a376ccd084fa50c7e6f7adf251bb0d489512;20 May 2011;CLASS;src.java.org.apache.commons.codec.Encoder;M
608a7d6373e320789aaf7f1b9f91a5cf8af81998;20 May 2011;CLASS;src.java.org.apache.commons.codec.StringEncoderComparator;M
608a7d6373e320789aaf7f1b9f91a5cf8af81998;20 May 2011;CLASS;src.java.org.apache.commons.codec.binary.Base64;M
608a7d6373e320789aaf7f1b9f91a5cf8af81998;20 May 2011;CLASS;src.java.org.apache.commons.codec.language.Caverphone;D
