Snapshot;Date;Entity;Code;ChangeType
f957d81625a3aa70385f50d87f036ebe2c54613f;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.CharSequenceTranslator;M
f957d81625a3aa70385f50d87f036ebe2c54613f;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.UnicodeUnescaper;M
f957d81625a3aa70385f50d87f036ebe2c54613f;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.ClassUtilsTest;M
5e58c2cfd8e50f4c5a961f798caeb2859beadfe3;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.IncompleteArgumentExceptionTest;D
d8ae0bdbefd1df0dda95f3402c323ca93962d16e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.NullArgumentExceptionTest;D
687dc10a611d3ded6239baa2b8ebdff7ebfb9871;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.NotImplementedExceptionTest;D
f04f89bfda742435b86313a7ff01eb975dbbe00c;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.IllegalClassExceptionTest;D
26b587c7babccea6ff3f79cc43e1ad2da6c6b3cb;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.UnhandledExceptionTest;D
a2773b230e17d71022791d0ad50fafe0f6a856d1;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.ClassUtils;M
a2773b230e17d71022791d0ad50fafe0f6a856d1;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.exception.ExceptionUtils;M
72913ae9d7f453abf68edce7c2bd2d1f61b3d724;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.IncompleteArgumentException;D
4af0d359b4fb4b8b6ce95e2a0d4bbc07f2fa7aea;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.IllegalClassException;D
13ad49b57563aa53d12782a0bf11896bc160cb2d;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.NotImplementedException;D
eb888eb2ef4b68b242d5ae864ace2001fce56857;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.UnhandledException;D
9a0e5f8c0fd3f5105bf3808c875b397c77e01351;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.NullArgumentException;D
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.EntityArraysTest;A
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.EscapeUtilsTest;A
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.NumericEntityEscaperTest;A
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.UnescapeUtilsTest;A
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.UnicodeEscaperTest;A
cc6281fc3eac8fb781be34f38a36b12d5ccc718e;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.text.translate.UnicodeUnescaperTest;A
75b967beaa16f61bd30cc30932be90391645ac92;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.math.IEEE754rUtilsTest;M
84beb062c1cdee14f17f3aca46620c9e7d9448e0;20 Jul 2009;CLASS;src.test.org.apache.commons.lang.StringUtilsSubstringTest;M
4a30af02805e5fb639af71f17ffa58de9b442c6c;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.EnumUtils;M
d0e667d278c55bf60031a9a1fcb5d98e2641288f;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.UnicodeEscaper;M
d0e667d278c55bf60031a9a1fcb5d98e2641288f;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.UnicodeUnescaper;M
be336df54a6c48a7a8ec53d510c8a0a8df421488;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.AggregateTranslator;M
be336df54a6c48a7a8ec53d510c8a0a8df421488;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.CharSequenceTranslator;M
be336df54a6c48a7a8ec53d510c8a0a8df421488;20 Jul 2009;CLASS;src.java.org.apache.commons.lang.text.translate.CodePointTranslator;M
