Snapshot;Date;Entity;Code;ChangeType
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;src.java.org.apache.log4j.Hierarchy;M
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;src.java.org.apache.log4j.LogManager;M
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;src.java.org.apache.log4j.PropertyConfigurator;M
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;src.java.org.apache.log4j.config.PropertySetter;M
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;tests.src.java.org.apache.log4j.PatternLayoutTest;A
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;tests.src.java.org.apache.log4j.PatternLayoutTestCase;D
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;CLASS;tests.src.java.org.apache.log4j.helpers.BoundedFIFOTestCase;M
4b739de0b92f85ecafd65f7d658aefb074dcbea7;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanel;M
8a095aaa0b140ee6543c919a6caf16781a9b3117;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawStatusBar;M
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggingEventFieldResolver;M
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.rule.RuleTest;M
941587c63ad0eb3898b9fa399c5be422c50fe34b;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggingEventFieldResolver;M
adafc1e6d9bf474c6f666a2afd1f6c9a7f888692;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanel;M
d7a39f57779dc98b1ea596ba577da162c12f07e3;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogUI;M
32176442fb83240cd2b1055ddd4b633a6824f6e8;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawStatusBar;M
23d003d10f758c1c2f8521b6c8348feb3776f636;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.RuleMediator;M
632d830a6340708f2cc796f736858058723b5d5e;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanelLoggerTreeModel;M
dff34d6337ecf050971a912092eb9ac9525b07a4;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggerNameTreePanel;M
7422eed5cd61aa43b40ac8d729c97224137d92ff;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawColumns;M
8d932463756aa56a8e08b244dad07779a1f2c83a;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawCyclicBufferTableModel;M
8d932463756aa56a8e08b244dad07779a1f2c83a;17 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.EventContainer;M
e605cfc6abff5075e3a18358bbf6d4d3ce146798;16 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggingEventFieldResolver;M
f9f2b06111dcc669702a1ed0d079362b33402778;16 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggingEventFieldResolver;A
38e8d7c5719807886d0978c469d36cdeddb95d74;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.layout.EventDetailLayout;M
22c019fbc73081e4aea5de9dea610635ac9b74e9;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggerNameTreePanel;M
a42aeef744c24a09299f44028d2ab1f52fe7b7de;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanel;M
a42aeef744c24a09299f44028d2ab1f52fe7b7de;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogUI;M
a42aeef744c24a09299f44028d2ab1f52fe7b7de;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LoggerNameTreePanel;M
5b17dd0c0108881febbfdfe4f77395cd6516f89f;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogUI;M
b70557567e155f0e73cd8064720e3331bafa5c66;15 Sep 2003;CLASS;src.java.org.apache.log4j.net.SocketHubReceiver;M
05fff095ec3238d05a1eae3bda68c8eb1c055f73;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.rule.RuleTest;M
49a5c41ca820a1a43ad4854c9286c9f47604dd3c;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.rule.RuleTest;M
007c4e74fa84417b350adcbfab656bc1e9698cb7;15 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.rule.RuleTest;A
3cb9851a57b9bde85995a9ac1aef86dfe9803710;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawAppenderHandler;M
3cb9851a57b9bde85995a9ac1aef86dfe9803710;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawStatusBar;M
3cb9851a57b9bde85995a9ac1aef86dfe9803710;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogUI;M
0c4f13257a8526ea4fa76c42c9fd28dfb739a7a3;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanel;M
0c4f13257a8526ea4fa76c42c9fd28dfb739a7a3;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.TableColorizingRenderer;M
0c4f13257a8526ea4fa76c42c9fd28dfb739a7a3;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.color.Colorizer;A
0c4f13257a8526ea4fa76c42c9fd28dfb739a7a3;14 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.color.DefaultColorizer;A
7c2b0d4fff12dbb30fa645c8193c47a318f67d04;13 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawCyclicBufferTableModel;M
7c2b0d4fff12dbb30fa645c8193c47a318f67d04;13 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.ChainsawToolBarAndMenus;M
7c2b0d4fff12dbb30fa645c8193c47a318f67d04;13 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.EventContainer;M
7c2b0d4fff12dbb30fa645c8193c47a318f67d04;13 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.LogPanel;M
7c2b0d4fff12dbb30fa645c8193c47a318f67d04;13 Sep 2003;CLASS;src.java.org.apache.log4j.chainsaw.icons.ChainsawIcons;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.ImplicitRule;D
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.JoranParser;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.RuleStore;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.AppenderAction;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.AppenderRefAction;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.ImplicitAction;A
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.LoggerAction;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.NestComponentIA;A
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.action.RootLoggerAction;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.joran.helper.Option;A
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.log4j.PatternLayout;M
70b884ecb34e74d65eaf654a9bd489f6e9a68fe8;12 Sep 2003;CLASS;src.java.org.apache.log4j.pattern.PatternParser;M
