Snapshot;Date;Entity;Code;ChangeType
b9964b9e867c3d2512d087c87450601145a651c7;13 Sep 2006;CLASS;java.org.apache.struts2.components.DoubleListUIBean;M
b21dbe75d3f6925b0abf4ea188cb08cedce605d3;13 Sep 2006;CLASS;java.org.apache.struts2.interceptor.ScopeInterceptor;M
aa6492ef8a76fd1345979918c238a6fc2921af33;13 Sep 2006;CLASS;java.org.apache.struts2.StrutsConstants;M
aa6492ef8a76fd1345979918c238a6fc2921af33;13 Sep 2006;CLASS;java.org.apache.struts2.components.URL;M
a091eab487431c0235be705a10ac689d3a9fb05d;13 Sep 2006;CLASS;java.org.apache.struts2.components.ListUIBean;M
ba1b094eb3aaa9f449ac705be969cc108d750734;13 Sep 2006;CLASS;java.org.apache.struts2.dispatcher.Dispatcher;M
ba1b094eb3aaa9f449ac705be969cc108d750734;13 Sep 2006;CLASS;java.org.apache.struts2.portlet.dispatcher.Jsr168Dispatcher;M
ad5ed9d9c104bcda132ce54e0b983a78246fe06f;13 Sep 2006;CLASS;java.org.apache.struts2.components.Component;M
ad5ed9d9c104bcda132ce54e0b983a78246fe06f;13 Sep 2006;CLASS;java.org.apache.struts2.components.ListUIBean;M
433d83ac157bd78c0654db9256678c695b378cb8;13 Sep 2006;CLASS;java.org.apache.struts2.components.Include;M
3432ab2a85c1281b5e33c79041d2df17625e15a8;13 Sep 2006;CLASS;java.org.apache.struts2.portlet.dispatcher.DirectRenderFromEventAction;M
3432ab2a85c1281b5e33c79041d2df17625e15a8;13 Sep 2006;CLASS;java.org.apache.struts2.portlet.dispatcher.Jsr168Dispatcher;M
b79c7912b217c9fb2726e7577096f648748f077c;12 Sep 2006;CLASS;java.org.apache.struts2.interceptor.CheckboxInterceptor;M
2366820a2aff5ce2b5909e1f018ad71dd2b57d8c;11 Sep 2006;CLASS;java.org.apache.struts2.interceptor.CheckboxInterceptor;A
046059e618b30a57389d3b2cd7ee0cb4145d8fec;11 Sep 2006;CLASS;java.org.apache.struts2.jsf.FacesSetupInterceptor;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.components.Bean;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.components.Property;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.components.Text;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.components.template.BaseTemplateEngine;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.components.template.FreemarkerTemplateEngine;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.config.StrutsXMLConfigurationProvider;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.dispatcher.Dispatcher;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.dispatcher.FilterDispatcher;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.jsf.FacesSetupInterceptor;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.portlet.dispatcher.Jsr168Dispatcher;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.sitegraph.entities.FileBasedView;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.util.StrutsUtil;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.util.TokenHelper;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.views.freemarker.FreemarkerManager;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.views.freemarker.StrutsClassTemplateLoader;M
7a0a6d58016b244e9521442f1e9666521f5c61b9;10 Sep 2006;CLASS;java.org.apache.struts2.views.xslt.StringAdapter;M
