Snapshot;Date;Entity;Code;ChangeType
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.check.Main;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.instrument.Main;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.instrument.tp.ClassMap;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.merge.Main;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.reporting.Main;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.util.ConfigurationUtil;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.util.Header;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.ant.FunctionalConditionCoverageTest;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.jdk.JDK7Test;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.reporting.JUnitXMLHelper;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.reporting.JUnitXMLParserEntityResolver;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.test.util.TestUtils;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.thread.test.ThreadedFunctionalTest;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.util.FileFlooder;M
0e90a9877baa84d9c9d3f4d025446eaac17fe3ad;17 Jun 2013;CLASS;cobertura.src.test.java.net.sourceforge.cobertura.webapp.test.WebAppFunctionalTest;M
db1a19fd2ba9631bb2b41b9cfce57d242f929b74;14 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.check.Main;M
db1a19fd2ba9631bb2b41b9cfce57d242f929b74;14 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.instrument.Main;M
db1a19fd2ba9631bb2b41b9cfce57d242f929b74;14 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.instrument.tp.ClassMap;M
db1a19fd2ba9631bb2b41b9cfce57d242f929b74;14 Jun 2013;CLASS;cobertura.src.main.java.net.sourceforge.cobertura.merge.Main;M
