Snapshot;Date;Entity;Code;ChangeType
3cccb44e5f10d5bbc6cd1a1dbe9e5c757bb28e99;14 Sep 2011;CLASS;src.java.org.apache.cassandra.cli.CliClient;M
3cccb44e5f10d5bbc6cd1a1dbe9e5c757bb28e99;14 Sep 2011;CLASS;test.unit.org.apache.cassandra.cli.CliTest;M
d9bd402bf51567bd9711bcbe1d74c80b7aec2595;13 Sep 2011;CLASS;src.java.org.apache.cassandra.hadoop.ColumnFamilyRecordReader;M
95da430b39c51eae5540d61af742990a1613e7ad;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra;M
95da430b39c51eae5540d61af742990a1613e7ad;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.Constants;M
e1995c12568b9a638f47b61085c1a39d08a9a756;13 Sep 2011;CLASS;src.java.org.apache.cassandra.net.IncomingTcpConnection;M
71ebcafb49033dc895db971ddf7b702bed55a8cd;13 Sep 2011;CLASS;src.java.org.apache.cassandra.service.GCInspector;M
1f7ff16210dbdb96ac387341bdf3350e52c3208b;13 Sep 2011;CLASS;src.java.org.apache.cassandra.service.StorageService;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.AuthenticationException;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.AuthenticationRequest;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.AuthorizationException;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.CfDef;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.Column;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.ColumnDef;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.ColumnOrSuperColumn;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.ColumnParent;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.ColumnPath;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.CounterColumn;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.CounterSuperColumn;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.CqlResult;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.CqlRow;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.Deletion;M
6a958a90a8e95028fca55bd8f2e2ddcee7e1ce6a;13 Sep 2011;CLASS;interface.thrift.gen-java.org.apache.cassandra.thrift.IndexClause;M
