Snapshot;Date;Entity;Code;ChangeType
99c5008d71b61f84a114038b064d58c837ee7ed6;17 Oct 2010;CLASS;src.test.java.org.apache.commons.io.output.WriterOutputStreamTest;M
ab3f42c7e5d084d0b7a05c747678bebbc2de676d;17 Oct 2010;CLASS;src.test.java.org.apache.commons.io.output.WriterOutputStreamTest;M
464bb1796d2f95fab4e4a75ceedd5ceab872cbcd;15 Oct 2010;CLASS;src.test.java.org.apache.commons.io.monitor.FileAlterationObserverTestCase;M
5b3872f2b89f3227007bc08751e6792fe4a3ff0d;15 Oct 2010;CLASS;src.test.java.org.apache.commons.io.monitor.AbstractMonitorTestCase;M
5b3872f2b89f3227007bc08751e6792fe4a3ff0d;15 Oct 2010;CLASS;src.test.java.org.apache.commons.io.monitor.FileAlterationObserverTestCase;M
9436fa7239285285678252d0043f4686d486bc59;15 Oct 2010;CLASS;src.main.java.org.apache.commons.io.monitor.FileAlterationObserver;M
941cf6c6f55191f5bdb59b3c85bd4a166b0107bd;15 Oct 2010;CLASS;src.main.java.org.apache.commons.io.monitor.FileAlterationMonitor;M
941cf6c6f55191f5bdb59b3c85bd4a166b0107bd;15 Oct 2010;CLASS;src.test.java.org.apache.commons.io.monitor.FileAlterationMonitorTestCase;M
4e0b338d9871f8f5dae68e4c6f71345e2087e614;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.LineIteratorTestCase;M
7e6494dcfbcff992f6c8af187640cf10217ed928;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.LineIteratorTestCase;M
db112a356cc85342592d33e20de9ff83372e1904;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.FileUtilsListFilesTestCase;M
db112a356cc85342592d33e20de9ff83372e1904;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.FileUtilsTestCase;M
111e91b8f3d71b51edd1a5900e64be844c374bc9;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.FileUtilsListFilesTestCase;M
2abfa999f08533349b7067edb4c5d368f5b3612c;14 Oct 2010;CLASS;src.main.java.org.apache.commons.io.monitor.FileAlterationObserver;M
2abfa999f08533349b7067edb4c5d368f5b3612c;14 Oct 2010;CLASS;src.main.java.org.apache.commons.io.monitor.FileEntry;M
f06d54344383a8b1a2d9ad2c7400259b5da11ce7;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.LineIteratorTestCase;M
e07acbbff9fa0706298401441a123a01da112cc7;14 Oct 2010;CLASS;src.test.java.org.apache.commons.io.FileUtilsTestCase;M
9ec6f62abcf0283ec4d64c85f35e25c7252c0e23;13 Oct 2010;CLASS;src.main.java.org.apache.commons.io.LineIterator;M
709de522737d7d97118560416aad2d4f69a8720d;13 Oct 2010;CLASS;src.test.java.org.apache.commons.io.LineIteratorTestCase;M
5bb5a5e588ef0c2c52f517210df79bf7f5e91708;13 Oct 2010;CLASS;src.test.java.org.apache.commons.io.LineIteratorTestCase;M
