Snapshot;Date;Entity;Code;ChangeType
9167d3d0488a5973c718f3bb00582f6d22ebd638;14 Oct 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
539540cde099aee52fd523a09aca92e36522261c;14 Oct 2015;CLASS;client.src.main.java.org.apache.karaf.client.Main;M
d784a9bd14ebcfedfa329bd5b5836389976246db;12 Oct 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.Activator;M
693daef9186c323808b1236786bc6615e2281b4f;9 Oct 2015;CLASS;main.src.main.java.org.apache.karaf.main.InstanceHelper;M
faca848e1d265d704c2d549140f5456230b3be86;8 Oct 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.features.GenerateDescriptorMojo;M
fb857f479e982ec7785ce799b5041a2b70334791;7 Oct 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
fb857f479e982ec7785ce799b5041a2b70334791;7 Oct 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.AssemblyMojo;M
69ad7c8b116a025aba874f2254f827d351b9135d;8 Oct 2015;CLASS;features.core.src.test.java.org.apache.karaf.features.internal.service.FeatureConfigInstallerTest;M
3fc54bc71c4745d83b32463ec8fbbe9c8377fb26;7 Oct 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
cf4b858b054e05300d689c9ab41f1da60b566bc4;6 Oct 2015;CLASS;wrapper.src.main.java.org.apache.karaf.wrapper.commands.Install;M
a26dfee4e893821a3e9ffdd6602d984888008ba3;5 Oct 2015;CLASS;features.core.src.main.java.org.apache.karaf.features.internal.service.FeatureConfigInstaller;M
a26dfee4e893821a3e9ffdd6602d984888008ba3;5 Oct 2015;CLASS;features.core.src.test.java.org.apache.karaf.features.internal.service.FeatureConfigInstallerTest;A
c623f2e52ebb29e302846cea5da13110d2710074;5 Oct 2015;CLASS;wrapper.src.main.java.org.apache.karaf.wrapper.internal.WrapperServiceImpl;M
57df26d10f76a268daf94ae11545998dbc1fbf03;30 Sep 2015;CLASS;wrapper.src.main.java.org.apache.karaf.wrapper.internal.WrapperServiceImpl;M
31ff1dbbd04b4ccb0a2e1b9b2b2edb3961b1c824;29 Sep 2015;CLASS;main.src.main.java.org.apache.karaf.main.util.SimpleMavenResolver;M
f2f355ff7120ad8441706a6847266d7381b0a060;29 Sep 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
f2f355ff7120ad8441706a6847266d7381b0a060;29 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.AssemblyMojo;M
f2f355ff7120ad8441706a6847266d7381b0a060;29 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.VerifyMojo;M
266e1da6040d84e4267a8aa7cc66e8201c11ca7a;28 Sep 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.AssemblyDeployCallback;M
cd3448df56c71945030893f75d5d677871c0c4cf;25 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.ArchiveMojo;M
dbee7768c34a2e12791d67e9d84411bb531cac22;18 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.features.AbstractFeatureMojo;M
dbee7768c34a2e12791d67e9d84411bb531cac22;18 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.features.AddToRepositoryMojo;M
91678ff512523e7b0beca2892f131bc44092116c;15 Sep 2015;CLASS;wrapper.src.main.java.org.apache.karaf.wrapper.commands.Install;M
91678ff512523e7b0beca2892f131bc44092116c;15 Sep 2015;CLASS;wrapper.src.main.java.org.apache.karaf.wrapper.internal.WrapperServiceImpl;M
60c1aee173a0465623417058247bea82ee7cd7a9;10 Sep 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.ConsoleSessionImpl;M
42c424fdeabdc229319291c167d360044870180d;9 Sep 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.ShellCommand;M
db76362b2a860e3a7984496ace71952e24fb0be4;2 Sep 2015;CLASS;shell.console.src.main.java.org.apache.karaf.shell.console.impl.jline.ConsoleImpl;M
0732a4d2067c164013b3275c6c178c3571677c93;1 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.AssemblyMojo;M
c3f7954acc603ac94783240ca909ca0d07ed67ac;1 Sep 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
c3f7954acc603ac94783240ca909ca0d07ed67ac;1 Sep 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.AssemblyMojo;M
59c11e4deebd6940136149a44f8485a941653e28;1 Sep 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.Builder;M
f02f4d4bbb8ffeb2311f2031cef0a59677f2b3d6;30 Aug 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.features.GenerateDescriptorMojo;M
f02f4d4bbb8ffeb2311f2031cef0a59677f2b3d6;30 Aug 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.utils.MojoSupport;M
92626bbe3958474a5b2f35d934985394a0532254;28 Aug 2015;CLASS;client.src.main.java.org.apache.karaf.client.ClientConfig;M
1930a099880d43b88fbb6e02fa5aa625af46a999;28 Aug 2015;CLASS;shell.console.src.main.java.org.apache.karaf.shell.console.completer.CommandsCompleter;M
1930a099880d43b88fbb6e02fa5aa625af46a999;28 Aug 2015;CLASS;shell.console.src.main.java.org.apache.karaf.shell.console.impl.jline.ConsoleImpl;M
23668b681c8dd6173385d45924952292eef0acef;24 Aug 2015;CLASS;client.src.main.java.org.apache.karaf.client.Main;M
23668b681c8dd6173385d45924952292eef0acef;24 Aug 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.SshAction;M
23668b681c8dd6173385d45924952292eef0acef;24 Aug 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.SshTerminal;M
71f8732a1afa432de81421ace2cca67cda38978a;22 Aug 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.AssemblyDeployCallback;M
d4f464abbe4bf3cde14dcdfbdee6b5cb3117f234;22 Aug 2015;CLASS;profile.src.main.java.org.apache.karaf.profile.assembly.AssemblyDeployCallback;M
9eb83655d8425bb6e15a86b0fecefde14aeb22f8;21 Aug 2015;CLASS;features.command.src.main.java.org.apache.karaf.features.command.FeatureExport;M
4eddb09bc3e2762e75239801ec243ccbf5c2641a;20 Aug 2015;CLASS;jaas.modules.src.main.java.org.apache.karaf.jaas.modules.ldap.LDAPLoginModule;M
4eddb09bc3e2762e75239801ec243ccbf5c2641a;20 Aug 2015;CLASS;jaas.modules.src.test.java.org.apache.karaf.jaas.modules.ldap.LdapLoginModuleTest;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;client.src.main.java.org.apache.karaf.client.Main;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.ConsoleSessionImpl;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.HeadlessSessionImpl;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.JLineTerminal;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.KarafTerminal;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.osgi.LocalConsoleManager;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.core.src.main.java.org.apache.karaf.shell.impl.console.standalone.Main;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.SshTerminal;M
e5d531feb77ff1cf70dd66110f59ec84154a164a;18 Aug 2015;CLASS;webconsole.gogo.src.main.java.org.apache.karaf.webconsole.gogo.WebTerminal;M
0bf1f68dbcc8c38bb44532503047aa65390716c0;15 Aug 2015;CLASS;jaas.modules.src.test.java.org.apache.karaf.jaas.modules.ldap.LdapCaseInsensitiveDNTest;M
0bf1f68dbcc8c38bb44532503047aa65390716c0;15 Aug 2015;CLASS;jaas.modules.src.test.java.org.apache.karaf.jaas.modules.ldap.LdapLoginModuleTest;M
0bf1f68dbcc8c38bb44532503047aa65390716c0;15 Aug 2015;CLASS;jaas.modules.src.test.java.org.apache.karaf.jaas.modules.ldap.LdapLoginModuleWithEscapesTest;M
0bf1f68dbcc8c38bb44532503047aa65390716c0;15 Aug 2015;CLASS;jaas.modules.src.test.java.org.apache.karaf.jaas.modules.ldap.LdapSpecialCharsInPasswordTest;M
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;bundle.core.src.main.java.org.apache.karaf.bundle.command.List;M
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.JaasSecurityProvider;D
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.KarafOsgiManager;D
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.KarafOsgiManagerActivator;D
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider;A
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.servlet.KarafOsgiManager;A
9cec8766d72af263dd962e0c578457d6d436e5d4;12 Aug 2015;CLASS;webconsole.console.src.main.java.org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator;A
b5817f6c6d5d3dcac96ecc1b2610be78495c7a9c;12 Aug 2015;CLASS;jaas.modules.src.main.java.org.apache.karaf.jaas.modules.syncope.SyncopeLoginModule;M
51f5a252f9f6d17b60c1ca753c2784232cf66967;12 Aug 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.SshTerminal;M
e1c1ede07a51d4930db6baabce01edf9f695af58;12 Aug 2015;CLASS;bundle.core.src.main.java.org.apache.karaf.bundle.core.internal.BundleServiceImpl;M
a4213aef6e6db8ca7cf4168cca54b089df90cc2b;12 Aug 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.SshTerminal;M
2b820fee9d3d3cbf9c2b78a4059412961dd469b4;11 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.features.EnterpriseFeaturesTest;M
60a29b3cd854ac0fd3e4e868038955a7472532cc;11 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.KarafTestSupport;M
60a29b3cd854ac0fd3e4e868038955a7472532cc;11 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.features.Spring42FeaturesTest;A
3b537e571b35f6b027dae8e037c7ed4a8bbb3e46;11 Aug 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.ArchiveMojo;M
32520415a7860aa3ff90a4d8fd5ead9de5dba698;11 Aug 2015;CLASS;tooling.karaf-maven-plugin.src.main.java.org.apache.karaf.tooling.AssemblyMojo;M
7f35598a8d6d0d13d8b2a5bf28a9df74e422244a;11 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.features.EnterpriseFeaturesTest;M
8f4ee1ff4370fcf8934364b7b104248ea914d08c;11 Aug 2015;CLASS;shell.commands.src.main.java.org.apache.karaf.shell.commands.impl.NewAction;M
87268c66c78b8252af710127cc92a5d94f4357b0;11 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.features.EnterpriseFeaturesTest;M
37025ac14ee45929749bbe580099f3a596be28bc;10 Aug 2015;CLASS;shell.commands.src.main.java.org.apache.karaf.shell.commands.impl.NewAction;M
aa6bab593deb79d08775c598532b22c8c14c5c6d;10 Aug 2015;CLASS;shell.commands.src.main.java.org.apache.karaf.shell.commands.impl.NewAction;M
23847bc53d756f21a1289e37aaa95ed780ec38dd;10 Aug 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.features.EnterpriseFeaturesTest;M
56d2fdd411aead46533afc845f2add8578696834;9 Aug 2015;CLASS;client.src.main.java.org.apache.karaf.client.ClientConfig;M
162f583d210a52d1521313411cd6d7810193221f;6 Aug 2015;CLASS;log.src.main.java.org.apache.karaf.log.core.internal.LruList;M
64be61b7a8b1d9f408a00adefd213bd1b05aa292;4 Aug 2015;CLASS;features.command.src.main.java.org.apache.karaf.features.command.FeatureExport;A
a05c1d4a8b3c6e24665064b91a2551e258a6855a;3 Aug 2015;CLASS;kar.src.main.java.org.apache.karaf.kar.internal.KarServiceImpl;M
a05c1d4a8b3c6e24665064b91a2551e258a6855a;3 Aug 2015;CLASS;kar.src.main.java.org.apache.karaf.kar.internal.osgi.Activator;M
c264abcd44804fd25f1e74c1b126161372794b03;27 Jul 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.SshKeyFormatTest;M
bd8436821d38a47dac6ab39e30c98cacfe1b02b3;27 Jul 2015;CLASS;shell.ssh.src.test.java.org.apache.karaf.shell.ssh.OpenSSHGeneratorKeyFileProviderTest;M
e5d5a40bf0c0a5cee310fd358ae2be6a07b22080;27 Jul 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.SshKeyFormatTest;M
e5d5a40bf0c0a5cee310fd358ae2be6a07b22080;27 Jul 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.Activator;M
e5d5a40bf0c0a5cee310fd358ae2be6a07b22080;27 Jul 2015;CLASS;shell.ssh.src.main.java.org.apache.karaf.shell.ssh.OpenSSHGeneratorFileKeyProvider;A
e5d5a40bf0c0a5cee310fd358ae2be6a07b22080;27 Jul 2015;CLASS;shell.ssh.src.test.java.org.apache.karaf.shell.ssh.OpenSSHGeneratorKeyFileProviderTest;A
169c2dee2f8daccc1f9b517e665e8138c2f7074e;27 Jul 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.SshKeyFormatTest;M
0cad2acc36bccae242f78dcde75b6815b82318a9;27 Jul 2015;CLASS;shell.console.src.main.java.org.apache.karaf.shell.security.impl.SecuredCommandProcessorImpl;M
5fc3615b4f14e84b0b486e8c62bc951e0fb20b34;26 Jul 2015;CLASS;itests.src.test.java.org.apache.karaf.itests.SshKeyFormatTest;M
