Snapshot;Date;Entity;Code;ChangeType
e6310c914401eca1af1c626a42c4b1356336b6be;29 Jan 2007;CLASS;src.java.org.apache.log4j.net.SMTPAppender;M
e6310c914401eca1af1c626a42c4b1356336b6be;29 Jan 2007;CLASS;tests.src.java.org.apache.log4j.net.SMTPAppenderTest;M
772214480d6d68b2f9ab80999001cb57e3a4a578;28 Jan 2007;CLASS;src.java.org.apache.log4j.helpers.OptionConverter;M
702266a212a34b42d4401922598d70aec723c16c;28 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.HierarchyDynamicMBean;M
702266a212a34b42d4401922598d70aec723c16c;28 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.LoggerDynamicMBean;M
6afee7060a9ec3261d12addeb6cc261efbe5410d;28 Jan 2007;CLASS;src.java.org.apache.log4j.joran.JoranConfigurator;M
6afee7060a9ec3261d12addeb6cc261efbe5410d;28 Jan 2007;CLASS;src.java.org.apache.log4j.joran.action.LoggerAction;M
6afee7060a9ec3261d12addeb6cc261efbe5410d;28 Jan 2007;CLASS;tests.src.java.org.apache.log4j.joran.JoranConfiguratorTest;M
70a3a21a7caec4cf7a564ccb5aabb011c37c02e2;28 Jan 2007;CLASS;src.java.org.apache.log4j.concurrent.PatternLayout;D
34d5ff68a630e7e75e763104fdc40335fc6bf378;28 Jan 2007;CLASS;src.java.org.apache.log4j.net.TelnetAppender;M
34d5ff68a630e7e75e763104fdc40335fc6bf378;28 Jan 2007;CLASS;tests.src.java.org.apache.log4j.net.TelnetAppenderTest;A
b04c9417045d282541b06ffe30b8ace459edd252;28 Jan 2007;CLASS;src.java.org.apache.log4j.joran.action.LoggerAction;M
b04c9417045d282541b06ffe30b8ace459edd252;28 Jan 2007;CLASS;tests.src.java.org.apache.log4j.joran.JoranConfiguratorTest;M
92a661379c9ab0a4cce26fb6ece6c1529f9158e5;28 Jan 2007;CLASS;src.java.org.apache.log4j.helpers.SyslogWriter;M
92a661379c9ab0a4cce26fb6ece6c1529f9158e5;28 Jan 2007;CLASS;src.java.org.apache.log4j.net.SyslogAppender;M
92a661379c9ab0a4cce26fb6ece6c1529f9158e5;28 Jan 2007;CLASS;tests.src.java.org.apache.log4j.net.SyslogAppenderTest;M
1e79a2b29079d030c4092976eb5a8ac3352488b4;27 Jan 2007;CLASS;src.java.org.apache.log4j.net.SMTPAppender;M
1e79a2b29079d030c4092976eb5a8ac3352488b4;27 Jan 2007;CLASS;tests.src.java.org.apache.log4j.net.SMTPAppenderTest;M
482a2016df45aba1bb8968ed65f85f177c917ba5;27 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.AbstractDynamicMBean;M
482a2016df45aba1bb8968ed65f85f177c917ba5;27 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.AppenderDynamicMBean;M
482a2016df45aba1bb8968ed65f85f177c917ba5;27 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.HierarchyDynamicMBean;M
482a2016df45aba1bb8968ed65f85f177c917ba5;27 Jan 2007;CLASS;src.java.org.apache.log4j.jmx.LoggerDynamicMBean;M
482a2016df45aba1bb8968ed65f85f177c917ba5;27 Jan 2007;CLASS;tests.src.java.org.apache.log4j.jmx.HierarchyMBeanTest;A
e01e58133c3d68e9c4f45b5ebd1b5a106446469b;27 Jan 2007;CLASS;src.java.org.apache.log4j.helpers.SyslogWriter;M
e01e58133c3d68e9c4f45b5ebd1b5a106446469b;27 Jan 2007;CLASS;src.java.org.apache.log4j.net.SyslogAppender;M
e01e58133c3d68e9c4f45b5ebd1b5a106446469b;27 Jan 2007;CLASS;tests.src.java.org.apache.log4j.net.SyslogAppenderTest;M
0e1cc4a10b28f3f119baded6b3f00683faf2a2de;27 Jan 2007;CLASS;src.java.org.apache.log4j.Hierarchy;M
0e1cc4a10b28f3f119baded6b3f00683faf2a2de;27 Jan 2007;CLASS;src.java.org.apache.log4j.LogManager;M
0e1cc4a10b28f3f119baded6b3f00683faf2a2de;27 Jan 2007;CLASS;src.java.org.apache.log4j.spi.DefaultRepositorySelector;M
0e1cc4a10b28f3f119baded6b3f00683faf2a2de;27 Jan 2007;CLASS;src.java.org.apache.log4j.spi.RootLogger;M
0e1cc4a10b28f3f119baded6b3f00683faf2a2de;27 Jan 2007;CLASS;tests.src.java.org.apache.log4j.LogManagerTest;M
bc7ace697b7097329c5f4f7ffb978b0bd7f4dda2;27 Jan 2007;CLASS;src.java.org.apache.log4j.Category;M
bc7ace697b7097329c5f4f7ffb978b0bd7f4dda2;27 Jan 2007;CLASS;tests.src.java.org.apache.log4j.CategoryTest;M
c090818af022bb361b01e309ee9c232dfc6be114;27 Jan 2007;CLASS;src.java.org.apache.log4j.config.PropertySetter;M
