Snapshot;Date;Entity;Code;ChangeType
9ad9404bfac2b936e1b5f0f5e828335bc5a51b48;5 Oct 2015;CLASS;java.com.opensymphony.xwork2.conversion.impl.DateConverter;M
9638d7adaa9aaed3473e17c9291abdc3421a868a;29 Sep 2015;CLASS;java.org.apache.struts2.result.HttpHeaderResult;M
fdb6daec7859e0cf95a0da5482991b8342cf91ad;26 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.entities.PackageConfig;M
86afcbe611f7c3afda26e396cc4504d3c9998398;25 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.entities.PackageConfig;M
86afcbe611f7c3afda26e396cc4504d3c9998398;25 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.providers.XmlConfigurationProvider;M
f829e01f6e80902895876d372eecb2ebef87bec8;22 Sep 2015;CLASS;java.org.apache.struts2.util.ContainUtil;M
b3e8da2ec8ac8cc872b95979041cb32d6494a1a6;9 Sep 2015;CLASS;java.org.apache.struts2.util.ContainUtil;M
d511d282045fa30aee3f994c7fdac78c600cc417;8 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.entities.PackageConfig;M
294076145f153e291eb7c38bb58a9b04bf3fb0e5;8 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.entities.PackageConfig;M
a61a3692241d0da833139b9e4eab10a4a3e496aa;6 Sep 2015;CLASS;java.com.opensymphony.xwork2.DefaultActionProxy;M
a61a3692241d0da833139b9e4eab10a4a3e496aa;6 Sep 2015;CLASS;java.com.opensymphony.xwork2.DefaultUnknownHandlerManager;M
a61a3692241d0da833139b9e4eab10a4a3e496aa;6 Sep 2015;CLASS;java.com.opensymphony.xwork2.UnknownHandler;M
a61a3692241d0da833139b9e4eab10a4a3e496aa;6 Sep 2015;CLASS;java.com.opensymphony.xwork2.UnknownHandlerManager;M
0aaade64cd332a7a5f45ae5068b8f7be1abb3817;4 Sep 2015;CLASS;java.com.opensymphony.xwork2.config.providers.XmlConfigurationProvider;M
