Snapshot;Entity;Code;ChangeType
550f6379d2e184ba218895d6d8c6760c61805214;METHOD;org.apache.catalina.ant.jmx.JMXAccessorQueryTask.bindAttributes(MBeanServerConnection,String,String,ObjectName);MODIFIED
e9ac952390cb23116502c6621f776f1304d2dbdd;METHOD;org.apache.tomcat.util.modeler.Registry.convertValue(String,String);MODIFIED
d9c6580fca2a3554a66b5c2904d8f8513eac1a50;METHOD;org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource.execute();MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.load(String,Object,String);MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.sourceTypeFromExt(String);MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.loadDescriptors(String,ClassLoader);MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.loadMetaInfDescriptors(ClassLoader);MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.getModelerSource(String);MODIFIED
3d855ace74a03dca765fe04427ca9c1fb04c7a2c;METHOD;org.apache.tomcat.util.modeler.Registry.loadDescriptors(Object);MODIFIED
45b5cb87388027ef33a90403ac995fdcfa752970;METHOD;org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(FilterMap,String);MODIFIED
45b5cb87388027ef33a90403ac995fdcfa752970;METHOD;org.apache.catalina.deploy.FilterMap.setURLPattern(String);MODIFIED
4107ef876baf8f0087507f812fca461df3afc238;METHOD;org.apache.catalina.connector.CoyoteAdapter.service(org,org);MODIFIED
c38b7baaa710a7c876aef47a27b97614ad9efe60;METHOD;org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(FilterMap,String);MODIFIED
c38b7baaa710a7c876aef47a27b97614ad9efe60;METHOD;org.apache.catalina.core.ApplicationFilterFactory.matchFiltersServlet(FilterMap,String);MODIFIED
c38b7baaa710a7c876aef47a27b97614ad9efe60;METHOD;org.apache.catalina.deploy.FilterMap.toString();MODIFIED
c38b7baaa710a7c876aef47a27b97614ad9efe60;METHOD;org.apache.catalina.startup.WebRuleSet.addRuleInstances(Digester);MODIFIED
4e45752f90afa7adf438a4bef8c894eb5a19989d;METHOD;org.apache.catalina.startup.WebRuleSet.addRuleInstances(Digester);MODIFIED
10c7942700b1c57f79dbf482a3717f656ecba8a4;METHOD;org.apache.catalina.startup.ContextConfig.start();MODIFIED
4d00c5deebe9193ce7af121dd2f232431353a0e1;METHOD;org.apache.catalina.core.ApplicationFilterConfig.getFilter();MODIFIED
4d00c5deebe9193ce7af121dd2f232431353a0e1;METHOD;org.apache.catalina.core.ApplicationFilterConfig.release();MODIFIED
4d00c5deebe9193ce7af121dd2f232431353a0e1;METHOD;org.apache.catalina.core.ApplicationFilterConfig.setFilterDef(FilterDef);MODIFIED
4d00c5deebe9193ce7af121dd2f232431353a0e1;METHOD;org.apache.catalina.core.ApplicationFilterConfig.ApplicationFilterConfig(Context,FilterDef);MODIFIED
ad2406feae7edbff5588f1032ef186816fb77da8;METHOD;org.apache.catalina.core.NamingContextListener.getName();MODIFIED
ad2406feae7edbff5588f1032ef186816fb77da8;METHOD;org.apache.catalina.core.NamingContextListener.setName(String);MODIFIED
ad2406feae7edbff5588f1032ef186816fb77da8;METHOD;org.apache.catalina.core.NamingContextListener.getNamingContext();MODIFIED
f6e85aeecbbe539f8cd099315ba645c411a9eb6a;METHOD;org.apache.catalina.startup.Bootstrap.createClassLoader(String,ClassLoader);MODIFIED
f6e85aeecbbe539f8cd099315ba645c411a9eb6a;METHOD;org.apache.catalina.startup.Bootstrap.main(String);MODIFIED
f6e85aeecbbe539f8cd099315ba645c411a9eb6a;METHOD;org.apache.catalina.startup.ClassLoaderFactory.createClassLoader(File,File,URL,ClassLoader);MODIFIED
eed3e554ffa41c5918faa1ecac3e1627b5a61022;METHOD;org.apache.catalina.util.AnnotationProcessor.injectNamingResources(javax,Object);MODIFIED
a072883bc59691a1efd78e9863bb7ef9b90b81e9;METHOD;org.apache.jasper.compiler.TagLibraryInfoImpl.createTagFileInfo(TreeNode,String,URL);MODIFIED
a072883bc59691a1efd78e9863bb7ef9b90b81e9;METHOD;org.apache.naming.resources.FileDirContext.release();MODIFIED
e029bbae4da36ed24c22f051493933158f19fe6d;METHOD;org.apache.catalina.realm.DataSourceRealm.credentials(Connection,String);MODIFIED
e029bbae4da36ed24c22f051493933158f19fe6d;METHOD;org.apache.catalina.realm.DataSourceRealm.roles(Connection,String);MODIFIED
e029bbae4da36ed24c22f051493933158f19fe6d;METHOD;org.apache.catalina.realm.DataSourceRealm.start();MODIFIED
e029bbae4da36ed24c22f051493933158f19fe6d;METHOD;org.apache.catalina.session.StandardSession.getLastAccessedTime();MODIFIED
e029bbae4da36ed24c22f051493933158f19fe6d;METHOD;org.apache.catalina.valves.JDBCAccessLogValve.JDBCAccessLogValve();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.DefaultContextMBean.getEnvironments();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.DefaultContextMBean.getResources();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.DefaultContextMBean.getResourceLinks();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.GroupMBean.getRoles();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.GroupMBean.getUsers();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createGroup(String,String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createRole(String,String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.createUser(String,String,String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findGroup(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findRole(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.findUser(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeGroup(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeRole(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.MemoryUserDatabaseMBean.removeUser(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.NamingResourcesMBean.getEnvironments();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.NamingResourcesMBean.getResources();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.NamingResourcesMBean.getResourceLinks();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.StandardContextMBean.getEnvironments();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.StandardContextMBean.getResources();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.StandardContextMBean.getResourceLinks();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.UserMBean.getGroups();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.mbeans.UserMBean.getRoles();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.valves.ErrorReportValve.report(Request,Response,Throwable);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.catalina.valves.RequestFilterValve.precalculate(String);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSEFactory.getSocketFactory();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSEFactory.getSSLSupport(Socket);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSEImplementation.JSSEImplementation();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSESupport.getX509Certificates(SSLSession);MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSESupport.handShake();MODIFIED
5959268bd56da00377468dd5332042e14b7c6bce;METHOD;org.apache.tomcat.util.net.jsse.JSSESupport.JSSESupport(SSLSocket);MODIFIED
060c4e45c290b5f920cd2dc958f9d1750096e137;METHOD;org.apache.tomcat.util.net.AprEndpoint.start();MODIFIED
060c4e45c290b5f920cd2dc958f9d1750096e137;METHOD;org.apache.tomcat.util.net.Poller.run();MODIFIED
060c4e45c290b5f920cd2dc958f9d1750096e137;METHOD;org.apache.tomcat.util.net.Sendfile.run();MODIFIED
060c4e45c290b5f920cd2dc958f9d1750096e137;METHOD;org.apache.tomcat.util.net.Acceptor.run();MODIFIED
b7bd756e058fef661088498e89b472f54907f9d3;METHOD;org.apache.tomcat.util.net.Sendfile.init();MODIFIED
b7bd756e058fef661088498e89b472f54907f9d3;METHOD;org.apache.tomcat.util.net.Sendfile.destroy();MODIFIED
b7bd756e058fef661088498e89b472f54907f9d3;METHOD;org.apache.tomcat.util.net.Sendfile.run();MODIFIED
b7bd756e058fef661088498e89b472f54907f9d3;METHOD;org.apache.tomcat.util.net.Acceptor.run();MODIFIED
e604ae1ae35a873050a8cc4ebe4f3b4d00630715;METHOD;org.apache.tomcat.util.net.jsse.JSSESocketFactory.init();MODIFIED
e604ae1ae35a873050a8cc4ebe4f3b4d00630715;METHOD;org.apache.tomcat.util.net.jsse.JSSESocketFactory.getTrustManagers(String,String);MODIFIED
3a5b29cbef413b03f277393c76ee3dfefdb7603f;METHOD;org.apache.coyote.http11.Http11Processor.process(InputStream,OutputStream);MODIFIED
3a5b29cbef413b03f277393c76ee3dfefdb7603f;METHOD;org.apache.coyote.http11.Http11Protocol.start();MODIFIED
3a5b29cbef413b03f277393c76ee3dfefdb7603f;METHOD;org.apache.coyote.http11.Http11Protocol.destroy();MODIFIED
3a5b29cbef413b03f277393c76ee3dfefdb7603f;METHOD;org.apache.coyote.http11.Http11Protocol.Http11Protocol();MODIFIED
ee8c92e62c8a0cae8e3090aa2ab23c69612a17da;METHOD;org.apache.catalina.session.StandardSession.getLastAccessedTime();MODIFIED
8c3e00a6942d97924d246510fd003db81e9056e7;METHOD;org.apache.coyote.http11.Http11Processor.process(InputStream,OutputStream);MODIFIED
