Snapshot;Date;BugFix;Entity;Public;Code;ChangeType
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;SOURCE_FILE;true;tests/telephonytests/src/com/android/internal/telephony/mockril/MockRilTest.java;ADDED
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;CLASS;true;com.android.internal.telephony.mockril.MockRilTest;ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.mockril.MockRilTest.setUp();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.mockril.MockRilTest.tearDown();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.mockril.MockRilTest.log(String);ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testProtobufSerDes();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testEchoMsg();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testGetAs();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testGetRadioState();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testSetRadioState();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testStartIncomingCallAndHangup();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.mockril.MockRilTest.testSetCallTransitionFlag();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;SOURCE_FILE;true;tests/telephonytests/src/com/android/internal/telephony/gsm/UsimServiceTableTest.java;ADDED
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;CLASS;true;com.android.internal.telephony.gsm.UsimServiceTableTest;ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.gsm.UsimServiceTableTest.testUsimServiceTable();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;SOURCE_FILE;true;tests/telephonytests/src/com/android/internal/telephony/gsm/UsimDataDownloadTest.java;ADDED
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;CLASS;true;com.android.internal.telephony.gsm.UsimDataDownloadTest;ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.gsm.UsimDataDownloadTest.setUp();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.gsm.UsimDataDownloadTest.tearDown();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.gsm.UsimDataDownloadTest.testDataDownloadMessage1();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;true;com.android.internal.telephony.gsm.UsimDataDownloadTest.testDataDownloadMessage5();ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;SOURCE_FILE;true;tests/telephonytests/src/com/android/internal/telephony/gsm/UsimDataDownloadCommands.java;ADDED
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;CLASS;true;com.android.internal.telephony.gsm.UsimDataDownloadCommands;ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.gsm.UsimDataDownloadCommands.UsimDataDownloadCommands(Context);ADDED*
c38bb60d867c5d61d90b7179a9ed2b2d1848124f;2012-07-11 15:41:29 -0700;false;METHOD;false;com.android.internal.telephony.gsm.UsimDataDownloadCommands.expectAcknowledgeGsmSms(boolean,int);ADDED*
