Snapshot;Date;Entity;Code;ChangeType
ffb4fb679e305e9e74fd9134a8965838c982825d;27 Aug 2005;CLASS;org.gjt.sp.jedit.buffer.BufferIORequest;M
f31df45a8926287f3ca1b11c51db1dd1c9c8c911;19 Aug 2005;CLASS;org.gjt.sp.jedit.buffer.BufferSaveRequest;M
f31df45a8926287f3ca1b11c51db1dd1c9c8c911;19 Aug 2005;CLASS;org.gjt.sp.jedit.syntax.Chunk;M
f31df45a8926287f3ca1b11c51db1dd1c9c8c911;19 Aug 2005;CLASS;org.gjt.sp.jedit.textarea.FastRepaintManager;M
158ca832d78faf3e5da1e85ebf612bbb6ef40f50;14 Aug 2005;CLASS;org.gjt.sp.jedit.buffer.BufferSaveRequest;M
a54a37ecd63a4c56cf6b68b75cd2c69cd103cb74;11 Aug 2005;CLASS;org.gjt.sp.jedit.buffer.BufferSaveRequest;M
5bab0c359e26662a24fae8f6d3a19d9ec95226e9;10 Aug 2005;CLASS;org.gjt.sp.jedit.syntax.Chunk;M
ee568eb608a3d2a4690e036cc32a0d1afe2bbbd3;9 Aug 2005;CLASS;org.gjt.sp.jedit.jEdit;M
ff97390c21de533dbcd42cd1457840af7f31c9c3;8 Aug 2005;CLASS;org.gjt.sp.jedit.textarea.JEditTextArea;M
9f18601e56ae95a61727259aef6a360f89d90763;6 Aug 2005;CLASS;org.gjt.sp.jedit.textarea.JEditTextArea;M
dc9cc5399fa508bf4993e508a594d51e8f4cb268;5 Aug 2005;CLASS;org.gjt.sp.jedit.TextUtilities;M
0c493305af661f64e72b28ae1215307278e438b5;5 Aug 2005;CLASS;org.gjt.sp.jedit.Registers;M
0c493305af661f64e72b28ae1215307278e438b5;5 Aug 2005;CLASS;org.gjt.sp.jedit.gui.RegisterViewer;M
a83037f081305af974d9d556c96be6bbdaa65db0;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpHistoryModel;M
a83037f081305af974d9d556c96be6bbdaa65db0;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpViewer;M
4422d629cd05be7fd348322b39d4d2b848fc6e10;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpHistoryModel;M
4422d629cd05be7fd348322b39d4d2b848fc6e10;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpHistoryModelListener;M
4422d629cd05be7fd348322b39d4d2b848fc6e10;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HistoryButton;M
b6bfd430a8c300b50cccb3d9ce7f5374b40dee83;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpHistoryModel;A
b6bfd430a8c300b50cccb3d9ce7f5374b40dee83;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpHistoryModelListener;A
b6bfd430a8c300b50cccb3d9ce7f5374b40dee83;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HelpViewer;M
b6bfd430a8c300b50cccb3d9ce7f5374b40dee83;3 Aug 2005;CLASS;org.gjt.sp.jedit.help.HistoryButton;A
5e9a111cd31e1c2b8ede94551afed4934cdb2dc9;3 Aug 2005;CLASS;org.gjt.sp.jedit.textarea.TextAreaTransferHandler;M
306fb010869705ac18140279cfef4ef37b25efb3;2 Aug 2005;CLASS;org.gjt.sp.jedit.textarea.TextAreaTransferHandler;M
c7a4cc862a894e5564bdc2a351d0a221a4709734;1 Aug 2005;CLASS;org.gjt.sp.jedit.pluginmgr.PluginList;M
c7a4cc862a894e5564bdc2a351d0a221a4709734;1 Aug 2005;CLASS;org.gjt.sp.jedit.pluginmgr.PluginManager;M
